lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.27655005647742,19.318404932282927,Álvaro Obregón,bosque,bosque,0.5660941,0.6574372,2097.0,2574.0,False,False,False
-99.30305035735894,19.285526592884157,Álvaro Obregón,pastizal,bosque,0.37338373,0.64758366,1726.0,2216.0,True,False,True
-99.28724000835844,19.299001322145944,Álvaro Obregón,bosque,bosque,0.6821192,0.71666664,1841.5,1648.0,False,False,False
-99.31158435255809,19.263517868423225,Álvaro Obregón,bosque,bosque,0.6064114,0.7414294,1804.0,1498.5,False,False,False
-99.30215204207482,19.30421155079384,Álvaro Obregón,bosque,bosque,0.61360216,0.73085105,1340.5,1627.0,False,False,False
-99.3003554115066,19.31651847018628,Álvaro Obregón,bosque,bosque,0.6228493,0.7147066,1768.5,1746.0,False,False,False
-99.30017574844976,19.31454217656121,Álvaro Obregón,bosque,bosque,0.39672333,0.525801,2280.5,2262.0,False,False,False
-99.31571660286502,19.26091275409928,Álvaro Obregón,bosque,bosque,0.6891328,0.790566,1923.5,1898.0,False,False,False
-99.28436539944926,19.29675553393565,Álvaro Obregón,bosque,bosque,0.6261468,0.7593583,1418.0,1645.0,False,False,False
-99.30394867264306,19.26612298274717,Álvaro Obregón,bosque,bosque,0.5678466,0.6137751,2126.0,1851.0,False,False,False
-99.29703164495534,19.31454217656121,Álvaro Obregón,bosque,bosque,0.6313726,0.7626871,1560.0,2414.0,False,False,False
-99.24537851611846,19.346342537619044,Álvaro Obregón,bosque,bosque,0.26991352,0.39094248,1395.0,1420.5,False,False,False
-99.32038784234244,19.247348193309072,Álvaro Obregón,bosque,bosque,0.42357364,0.6451765,2177.0,1748.0,False,False,False
-99.29406720451776,19.28166383716244,Álvaro Obregón,bosque,bosque,0.6585207,0.74092245,1272.5,1774.0,False,False,False
-99.29092310102332,19.2776214183839,Álvaro Obregón,bosque,bosque,0.69419307,0.7775148,2246.5,1877.5,False,False,False
-99.21142219837876,19.35388838600565,Álvaro Obregón,bosque,bosque,0.35298535,0.5333837,1801.5,1521.5,False,False,False
-99.2809518013696,19.294869071838995,Álvaro Obregón,bosque,bosque,0.65850973,0.7339033,1508.0,1622.5,False,False,False
-99.29227057394952,19.312386219879325,Álvaro Obregón,bosque,bosque,0.7057974,0.71601206,2067.0,1704.0,False,False,False
-99.3215556522118,19.25687033532074,Álvaro Obregón,pastizal,bosque,0.3752556,0.45984253,2017.5,1854.0,True,False,True
-99.3102368796319,19.272411189736008,Álvaro Obregón,bosque,bosque,0.5153971,0.6814658,2337.5,2386.0,False,False,False
-99.30287069430211,19.291185979174102,Álvaro Obregón,bosque,bosque,0.6135531,0.733853,1762.0,1557.0,False,False,False
-99.305026650984,19.29549789253788,Álvaro Obregón,pastizal,bosque,0.41545668,0.49127182,2266.5,2691.0,True,False,True
-99.28643152460272,19.275375630173603,Álvaro Obregón,bosque,bosque,0.6171317,0.7052221,1869.0,1747.0,False,False,False
-99.32038784234244,19.262080563968635,Álvaro Obregón,bosque,bosque,0.66776246,0.78876406,1902.5,1592.0,False,False,False
