lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.20522382291831,19.48441359678821,Azcapotzalco,bosque,bosque,0.38620117,0.32449567,2084.5,2298.0,False,False,False
-99.20764927418544,19.4977984945216,Azcapotzalco,bosque,bosque,0.59729016,0.7785362,2122.0,2345.0,False,False,False
-99.21016455698098,19.48782719486787,Azcapotzalco,bosque,bosque,0.34734735,0.20728126,1682.5,1028.0,False,False,False
-99.1786336905084,19.497439168407947,Azcapotzalco,bosque,bosque,0.41671985,0.5102421,1665.0,1622.0,False,False,False
-99.2148357964584,19.4888153416804,Azcapotzalco,bosque,bosque,0.26870355,0.29719853,1920.5,2130.0,False,False,False
-99.20737977960022,19.4977984945216,Azcapotzalco,bosque,bosque,0.5702541,0.77802444,2101.0,2403.0,False,False,False
-99.2117815244924,19.49914596744777,Azcapotzalco,bosque,bosque,0.291965,0.35369992,1624.0,1994.0,False,False,False
-99.21205101907763,19.488456015566754,Azcapotzalco,bosque,bosque,0.37062937,0.42212942,1764.0,1703.0,False,False,False
-99.21223068213446,19.49851714674889,Azcapotzalco,bosque,bosque,0.4107855,0.48278192,2034.0,2196.0,False,False,False
-99.20486449680467,19.4843237652598,Azcapotzalco,bosque,bosque,0.46993244,0.40167683,2175.5,1839.0,False,False,False
-99.17998116343456,19.49851714674889,Azcapotzalco,bosque,bosque,0.505597,0.6651291,2017.5,1805.0,False,False,False
-99.20782893724228,19.49797815757842,Azcapotzalco,bosque,bosque,0.6044118,0.7558946,2182.0,2532.0,False,False,False
-99.17989133190616,19.49977478814666,Azcapotzalco,bosque,bosque,0.42369774,0.54758346,1940.5,2329.5,False,False,False
-99.20818826335592,19.497618831464774,Azcapotzalco,bosque,bosque,0.58432907,0.77793854,2022.0,2458.0,False,False,False
-99.20459500221943,19.485671238185983,Azcapotzalco,bosque,bosque,0.47522366,0.50842494,2143.5,2059.0,False,False,False
