lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.1921982512986,19.313284535163447,Coyoacán,pastizal,bosque,0.23133983,0.33892038,1328.0,1358.0,True,False,True
-99.12293814289298,19.319482910623872,Coyoacán,bosque,bosque,0.5348288,0.6726605,2275.0,2279.0,False,False,False
-99.17216582046272,19.35541552198865,Coyoacán,bosque,bosque,0.563874,0.76359534,1974.0,2148.5,False,False,False
-99.1358738829843,19.353708722948824,Coyoacán,bosque,bosque,0.30881163,0.6112676,1619.0,2431.0,False,False,False
-99.18510156055405,19.31930324756705,Coyoacán,pastizal,bosque,0.2580483,0.33187893,1250.5,1221.0,True,False,True
-99.13686202979684,19.354607038232945,Coyoacán,bosque,bosque,0.3917502,0.633631,1493.0,1875.0,False,False,False
-99.17881335356522,19.31301504057821,Coyoacán,pastizal,bosque,0.15971898,0.20194851,1857.0,2159.0,True,False,True
-99.13982647023442,19.35065445098282,Coyoacán,pastizal,bosque,0.6785329,0.8111934,4279.0,5501.5,True,False,True
-99.18312526692898,19.32145920424893,Coyoacán,bosque,bosque,0.24528302,0.34962696,1270.5,1311.5,False,False,False
-99.1750404293719,19.35397821753406,Coyoacán,bosque,bosque,0.55984217,0.6876377,1779.0,1723.5,False,False,False
-99.16947087461035,19.35451720670453,Coyoacán,bosque,bosque,0.63135314,0.6731125,2471.5,2487.5,False,False,False
-99.17773537522427,19.313643861277093,Coyoacán,pastizal,bosque,0.1864529,0.29340592,1646.5,1603.5,True,False,True
-99.18267610928692,19.31472183961804,Coyoacán,pastizal,bosque,0.26190478,0.3895184,1351.5,1471.5,True,False,True
-99.1712675051786,19.356493500329595,Coyoacán,bosque,bosque,0.57317805,0.7794145,1959.0,2416.0,False,False,False
-99.1936355557532,19.312386219879325,Coyoacán,bosque,bosque,0.30524108,0.38825214,1556.5,1453.5,False,False,False
-99.1404552909333,19.353259565306765,Coyoacán,bosque,bosque,0.54347825,0.7621359,1917.0,2178.0,False,False,False
-99.1734234618605,19.31957274215228,Coyoacán,bosque,bosque,0.57048225,0.7001927,2963.5,2206.0,False,False,False
-99.1967796592476,19.30888279027126,Coyoacán,bosque,bosque,0.2421392,0.36457616,1155.5,990.0,False,False,False
-99.1193448817565,19.318315100754518,Coyoacán,bosque,bosque,0.6646392,0.78300345,3010.5,2995.0,False,False,False
-99.19327622963954,19.31795577464087,Coyoacán,pastizal,bosque,0.27431256,0.394224,1425.0,1484.5,True,False,True
-99.20028308885568,19.30915228485649,Coyoacán,bosque,bosque,0.23339427,0.3938356,1012.0,1221.0,False,False,False
-99.14099428010378,19.35299007072153,Coyoacán,pastizal,bosque,0.51287246,0.79778904,2615.0,3903.0,True,False,True
-99.13704169285366,19.355864679630717,Coyoacán,bosque,bosque,0.4479927,0.749276,2380.5,4228.0,False,False,False
-99.13856882883664,19.35110360862488,Coyoacán,bosque,bosque,0.568331,0.784031,1971.0,2536.0,False,False,False
-99.18519139208246,19.318315100754518,Coyoacán,bosque,bosque,0.2483059,0.35135135,1289.5,1312.5,False,False,False
-99.17279464116162,19.31921341603864,Coyoacán,bosque,bosque,0.4171917,0.5170199,1574.5,1771.5,False,False,False
-99.19633050160554,19.30555902372002,Coyoacán,bosque,bosque,0.24723424,0.35712248,1296.5,1188.5,False,False,False
-99.14153326927423,19.348947651942996,Coyoacán,bosque,bosque,0.50048405,0.63073456,1550.0,1448.5,False,False,False
-99.17288447269004,19.356044342687536,Coyoacán,bosque,bosque,0.5064888,0.6246023,2089.5,2298.0,False,False,False
-99.18941347391782,19.324243981629703,Coyoacán,bosque,bosque,0.2240148,0.42016807,1157.0,1183.0,False,False,False
-99.1914795990713,19.31615914407263,Coyoacán,pastizal,bosque,0.20305955,0.27616647,1651.5,1518.0,True,False,True
-99.1696505376672,19.355056195875004,Coyoacán,bosque,bosque,0.57650805,0.7893462,2228.0,2586.5,False,False,False
-99.1396468071776,19.35388838600565,Coyoacán,bosque,bosque,0.5904999,0.76882195,2076.0,1997.0,False,False,False
-99.17369295644572,19.354607038232945,Coyoacán,bosque,bosque,0.4809936,0.54526156,1967.5,2001.5,False,False,False
-99.19354572422478,19.31804560616928,Coyoacán,pastizal,bosque,0.25026265,0.31976745,1487.5,1475.5,True,False,True
-99.13901798647872,19.347240852903163,Coyoacán,pastizal,bosque,0.5726573,0.81982976,2605.5,4116.0,True,False,True
-99.1404552909333,19.35254091307947,Coyoacán,bosque,bosque,0.5219512,0.72465354,2106.0,2364.5,False,False,False
-99.18348459304264,19.31472183961804,Coyoacán,pastizal,bosque,0.21885228,0.30174562,1396.5,1435.5,True,False,True
-99.18968296850306,19.316877796299924,Coyoacán,pastizal,bosque,0.25397202,0.33886376,1322.0,1331.5,True,False,True
-99.19291690352588,19.314093018919152,Coyoacán,pastizal,bosque,0.25048545,0.30973873,1449.0,1378.5,True,False,True
-99.17746588063903,19.31481167114645,Coyoacán,pastizal,bosque,0.20045872,0.301514,1308.5,1268.0,True,False,True
-99.14000613329124,19.352810407664705,Coyoacán,pastizal,bosque,0.6481158,0.7713217,3302.0,3551.5,True,False,True
-99.18501172902565,19.31993206826593,Coyoacán,bosque,bosque,0.27559808,0.39567596,1333.0,1339.5,False,False,False
-99.1696505376672,19.353259565306765,Coyoacán,bosque,bosque,0.60665435,0.7676282,2173.0,2206.0,False,False,False
-99.1908507783724,19.311487904595207,Coyoacán,bosque,bosque,0.23413675,0.31956133,1254.5,1293.5,False,False,False
-99.1982169637022,19.3061878444189,Coyoacán,bosque,bosque,0.40058246,0.48129424,1322.5,1465.0,False,False,False
-99.1388383234219,19.354607038232945,Coyoacán,pastizal,bosque,0.44520894,0.73540235,2153.0,2712.0,True,False,True
-99.19947460509997,19.309062453328085,Coyoacán,pastizal,bosque,0.21633238,0.29020333,1273.5,1396.0,True,False,True
-99.17737604911062,19.314003187390743,Coyoacán,pastizal,bosque,0.27654186,0.37329504,1764.5,1913.0,True,False,True
-99.1395569756492,19.351373103210115,Coyoacán,pastizal,bosque,0.43938842,0.59258133,2965.5,3928.5,True,False,True
-99.141263774689,19.350115461812347,Coyoacán,bosque,bosque,0.43236846,0.77765423,1967.0,3198.0,False,False,False
-99.1231178059498,19.344006917880336,Coyoacán,bosque,bosque,0.4470543,0.68549794,1879.0,2170.5,False,False,False
-99.19839662675902,19.30609801289049,Coyoacán,bosque,bosque,0.35285434,0.486839,1374.5,1567.5,False,False,False
-99.20010342579884,19.3084336326292,Coyoacán,bosque,bosque,0.3074585,0.38953906,1398.0,1454.5,False,False,False
-99.12347713206344,19.35110360862488,Coyoacán,bosque,bosque,0.42956927,0.67111856,1535.0,2002.0,False,False,False
-99.1906711153156,19.31606931254421,Coyoacán,pastizal,bosque,0.25696456,0.3485294,1410.0,1375.5,True,False,True
-99.1395569756492,19.349666304170288,Coyoacán,pastizal,bosque,0.5803664,0.68340504,2286.0,2640.0,True,False,True
-99.19049145225875,19.327208422067297,Coyoacán,bosque,bosque,0.21107784,0.3120939,1618.0,1565.0,False,False,False
-99.14009596481966,19.35307990224994,Coyoacán,bosque,bosque,0.48700958,0.75868875,2132.0,2897.0,False,False,False
-99.19857628981585,19.305469192191605,Coyoacán,bosque,bosque,0.35279804,0.42121083,1390.0,1655.0,False,False,False
-99.18303543540056,19.320291394379577,Coyoacán,bosque,bosque,0.24356617,0.36014163,1353.0,1344.5,False,False,False
-99.17081834753655,19.3557748481023,Coyoacán,bosque,bosque,0.53528875,0.79286695,1675.0,2614.0,False,False,False
-99.17665739688331,19.3129252090498,Coyoacán,pastizal,bosque,0.21137737,0.3425677,1554.5,1623.5,True,False,True
-99.19282707199748,19.311308241538384,Coyoacán,pastizal,bosque,0.21749938,0.3315173,1224.5,1222.0,True,False,True
-99.19390505033842,19.31750661699881,Coyoacán,pastizal,bosque,0.30853197,0.4529274,1468.5,1551.0,True,False,True
-99.17252514657638,19.31984223673752,Coyoacán,bosque,bosque,0.5423146,0.67514384,2355.5,2766.5,False,False,False
-99.19138976754289,19.31606931254421,Coyoacán,pastizal,bosque,0.1949665,0.25273895,1828.0,1658.0,True,False,True
-99.1689318854399,19.35361889142041,Coyoacán,bosque,bosque,0.63577,0.79472035,2254.5,2430.5,False,False,False
-99.1410841116322,19.349935798755524,Coyoacán,bosque,bosque,0.5979881,0.81103534,2224.0,3651.5,False,False,False
-99.19561184937824,19.317237122413573,Coyoacán,bosque,bosque,0.34889928,0.4327354,1516.5,1597.5,False,False,False
-99.17351329338892,19.3557748481023,Coyoacán,bosque,bosque,0.64281774,0.78696513,2233.0,2474.5,False,False,False
-99.19112027295763,19.317776111584045,Coyoacán,pastizal,bosque,0.2137231,0.28492033,1733.5,1734.0,True,False,True
-99.17036918989449,19.351462934738525,Coyoacán,bosque,bosque,0.66716343,0.8507971,2517.0,2989.5,False,False,False
-99.19633050160554,19.311937062237263,Coyoacán,bosque,bosque,0.5553435,0.67383736,2037.5,2645.5,False,False,False
-99.196869490776,19.30753531734508,Coyoacán,bosque,bosque,0.23543888,0.27630058,1129.5,1104.0,False,False,False
-99.1960610070203,19.308613295686023,Coyoacán,pastizal,bosque,0.2331478,0.31390375,1495.5,1228.5,True,False,True
-99.19327622963954,19.312565882936152,Coyoacán,pastizal,bosque,0.22334455,0.33898306,1362.5,1382.5,True,False,True
-99.17845402745156,19.31112857848156,Coyoacán,pastizal,bosque,0.15001929,0.2551976,1491.0,1373.5,True,False,True
-99.19965426815678,19.30753531734508,Coyoacán,bosque,bosque,0.3382467,0.42434698,1725.0,2167.5,False,False,False
-99.1245551104044,19.35110360862488,Coyoacán,bosque,bosque,0.4658616,0.6498986,1578.0,2033.5,False,False,False
-99.18914397933258,19.316787964771517,Coyoacán,pastizal,bosque,0.20088191,0.26740125,1225.5,1179.0,True,False,True
-99.18752701182116,19.31094891542473,Coyoacán,pastizal,bosque,0.24785894,0.3114657,1238.5,1109.5,True,False,True
-99.17054885295131,19.354696869761355,Coyoacán,bosque,bosque,0.55564785,0.5135135,1873.0,1554.0,False,False,False
-99.19839662675902,19.30870312721444,Coyoacán,bosque,bosque,0.28543904,0.37686676,1167.5,1175.5,False,False,False
-99.14234175302995,19.33493393351073,Coyoacán,bosque,bosque,0.4718032,0.67757416,1585.5,1922.5,False,False,False
-99.0998514400911,19.313284535163447,Xochimilco,bosque,bosque,0.45406824,0.62872237,1662.0,1695.5,False,False,False
-99.19094060990082,19.327477916652533,Coyoacán,pastizal,bosque,0.24044333,0.41490927,1371.0,1442.5,True,False,True
-99.19561184937824,19.313194703635038,Coyoacán,bosque,bosque,0.3316402,0.3956019,1573.0,1539.0,False,False,False
-99.12042286009743,19.31858459533975,Coyoacán,bosque,bosque,0.59134126,0.82727545,2720.0,3041.5,False,False,False
-99.14081461704696,19.34822899971569,Coyoacán,pastizal,bosque,0.34026745,0.7479043,1804.0,2867.0,True,False,True
-99.19848645828743,19.30582851830525,Coyoacán,bosque,bosque,0.40416855,0.53857565,1549.5,2074.0,False,False,False
-99.19597117549188,19.307265822759845,Coyoacán,pastizal,bosque,0.29179978,0.35609144,1213.0,1082.5,True,False,True
-99.17144716823545,19.355235858931827,Coyoacán,bosque,bosque,0.6636005,0.81091446,2532.0,3069.5,False,False,False
-99.17297430421844,19.3557748481023,Coyoacán,bosque,bosque,0.4570797,0.6545389,2143.0,2296.5,False,False,False
-99.17306413574684,19.35254091307947,Coyoacán,bosque,bosque,0.51766306,0.6710591,2234.0,2568.0,False,False,False
-99.16983020072402,19.35182226085217,Coyoacán,bosque,bosque,0.6677569,0.8345573,2422.0,3310.0,False,False,False
-99.17216582046272,19.3557748481023,Coyoacán,bosque,bosque,0.53580153,0.6686699,2043.0,2082.5,False,False,False
-99.17396245103096,19.353259565306765,Coyoacán,bosque,bosque,0.4664706,0.5504745,1246.5,898.5,False,False,False
-99.19354572422478,19.31570998643057,Coyoacán,bosque,bosque,0.2916191,0.39367887,1414.0,1378.0,False,False,False
-99.10012093467634,19.31094891542473,Coyoacán,bosque,bosque,0.26951137,0.3636944,1435.5,1602.0,False,False,False
-99.14027562787648,19.35263074460788,Coyoacán,bosque,bosque,0.5737931,0.73627037,2282.0,2877.0,False,False,False
-99.18977280003146,19.31526082878851,Coyoacán,pastizal,bosque,0.2745893,0.3365166,1493.5,1469.5,True,False,True
-99.17692689146855,19.312835377521388,Coyoacán,pastizal,bosque,0.20322256,0.29454824,1493.5,1680.0,True,False,True
-99.17225565199114,19.315979481015805,Coyoacán,bosque,bosque,0.43430656,0.7001385,2161.5,2455.0,False,False,False
-99.19875595287266,19.30753531734508,Coyoacán,bosque,bosque,0.36821127,0.48479035,1373.0,1354.5,False,False,False
-99.1697403691956,19.35478670128977,Coyoacán,bosque,bosque,0.3830766,0.6117552,1728.5,1494.5,False,False,False
-99.17081834753655,19.355235858931827,Coyoacán,bosque,bosque,0.47999296,0.7780072,2099.0,2583.0,False,False,False
-99.19552201784984,19.31633880712945,Coyoacán,bosque,bosque,0.33243847,0.39249447,1489.0,1577.0,False,False,False
