lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.13237045337624,19.5323836329602,Gustavo A. Madero,pastizal,bosque,0.07919075,0.30105114,1867.0,2754.0,True,False,True
-99.1208720177395,19.586102886950545,Gustavo A. Madero,pastizal,bosque,0.55366206,0.57172906,2142.5,1868.0,True,False,True
-99.1178177457735,19.57568242965476,Gustavo A. Madero,bosque,bosque,0.3458676,0.3040422,1718.0,1669.5,False,False,False
-99.12096184926791,19.559333091483783,Gustavo A. Madero,pastizal,bosque,0.21948889,0.316847,1276.5,1278.0,True,False,True
-99.10542099485264,19.503727375396785,Gustavo A. Madero,pastizal,bosque,0.26708075,0.3970708,1224.0,1717.0,True,False,True
-99.14234175302995,19.50525451137979,Gustavo A. Madero,urbano,bosque,0.34027913,0.3539326,1704.5,1687.0,True,False,True
-99.11970420787014,19.560680564409964,Gustavo A. Madero,bosque,bosque,0.27904743,0.4608234,1665.0,1650.0,False,False,False
-99.076495242704,19.457374306736217,Gustavo A. Madero,pastizal,bosque,0.14520253,0.22868334,2127.5,2039.0,True,False,True
-99.11988387092696,19.564992477773732,Gustavo A. Madero,pastizal,bosque,0.29449838,0.3394244,1600.0,1466.0,True,False,True
-99.11449397922226,19.4910611298907,Gustavo A. Madero,pastizal,bosque,0.17917965,0.3042058,1229.0,1597.0,True,False,True
-99.11593128367684,19.56274668956344,Gustavo A. Madero,pastizal,bosque,0.17726706,0.26675788,1652.0,1852.0,True,False,True
-99.10721762542089,19.501930744828545,Gustavo A. Madero,pastizal,bosque,0.16310395,0.28386167,993.0,1782.0,True,False,True
-99.11898555564284,19.55313471602336,Gustavo A. Madero,pastizal,bosque,0.23735632,0.28614587,2153.0,1490.0,True,False,True
-99.12401612123392,19.57343664144446,Gustavo A. Madero,bosque,bosque,0.27835664,0.34860173,1073.5,1398.5,False,False,False
-99.12186016455205,19.583407941098187,Gustavo A. Madero,pastizal,bosque,0.44270205,0.30649662,1794.0,1639.0,True,False,True
-99.11341600088132,19.573167146859223,Gustavo A. Madero,pastizal,bosque,0.25519848,0.3613522,996.0,1490.0,True,False,True
-99.1247347734612,19.58511474013801,Gustavo A. Madero,bosque,bosque,0.27324188,0.3654321,1462.0,1659.0,False,False,False
-99.11539229450638,19.55816528161443,Gustavo A. Madero,bosque,bosque,0.32614398,0.33427015,2275.0,1899.0,False,False,False
-99.12221949066569,19.55079909628465,Gustavo A. Madero,pastizal,bosque,0.2282848,0.3135656,1255.0,1772.0,True,False,True
-99.13533489381382,19.578826533149176,Gustavo A. Madero,pastizal,bosque,0.21484308,0.3080785,1751.5,1433.0,True,False,True
-99.12284831136456,19.585563897780077,Gustavo A. Madero,bosque,bosque,0.53586006,0.3633056,1975.5,1311.5,False,False,False
-99.12042286009743,19.59203176782573,Gustavo A. Madero,bosque,bosque,0.4353827,0.5197486,1430.0,1693.0,False,False,False
-99.14961810683133,19.533461611301146,Gustavo A. Madero,urbano,bosque,0.43099862,0.52548814,2063.5,2207.0,True,False,True
