lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.08790384681232,19.40365505274587,Iztacalco,bosque,bosque,0.19138756,0.24115287,1494.0,1701.0,False,False,False
-99.09059879266468,19.404822862615227,Iztacalco,bosque,bosque,0.29634118,0.40387812,1337.5,1267.0,False,False,False
-99.08646654235773,19.406260167069817,Iztacalco,bosque,bosque,0.3489573,0.42200488,1698.0,1454.0,False,False,False
-99.09068862419308,19.40706865082553,Iztacalco,bosque,bosque,0.35264271,0.65627706,1599.5,1913.0,False,False,False
-99.08817334139756,19.403026232046987,Iztacalco,bosque,bosque,0.31883878,0.3153558,2669.0,2634.0,False,False,False
-99.08808350986914,19.40347538968905,Iztacalco,bosque,bosque,0.25404993,0.3338843,1645.0,1614.0,False,False,False
-99.09050896113628,19.404822862615227,Iztacalco,bosque,bosque,0.26668334,0.4002433,1267.0,1151.0,False,False,False
-99.08835300445438,19.40347538968905,Iztacalco,bosque,bosque,0.20897774,0.34665188,1602.5,1820.0,False,False,False
-99.08799367834072,19.4031160635754,Iztacalco,bosque,bosque,0.41425562,0.2995341,3189.5,2371.0,False,False,False
-99.08691569999978,19.40419404191634,Iztacalco,bosque,bosque,0.3162246,0.41301864,1910.5,1856.0,False,False,False
-99.08817334139756,19.40491269414364,Iztacalco,bosque,bosque,0.3133346,0.46653828,1696.5,1523.0,False,False,False
-99.09059879266468,19.407158482353932,Iztacalco,bosque,bosque,0.53543925,0.801628,2442.5,2988.0,False,False,False
-99.0885326675112,19.402846568990164,Iztacalco,pastizal,bosque,0.3152461,0.3139785,1369.5,1222.0,True,False,True
-99.08754452069869,19.40356522121746,Iztacalco,bosque,bosque,0.28811088,0.39505574,1324.5,1439.0,False,False,False
-99.0884428359828,19.40356522121746,Iztacalco,bosque,bosque,0.28702438,0.40562615,1649.0,1549.0,False,False,False
-99.09041912960784,19.40500252567205,Iztacalco,pastizal,bosque,0.29505947,0.43050084,1415.5,1271.0,True,False,True
-99.08799367834072,19.40527202025729,Iztacalco,bosque,bosque,0.29828498,0.42529675,2025.0,1741.0,False,False,False
-99.09032929807944,19.404822862615227,Iztacalco,pastizal,bosque,0.2365701,0.35116774,2123.5,1591.0,True,False,True
-99.08817334139756,19.4046431995584,Iztacalco,bosque,bosque,0.28016824,0.36993563,1978.5,1809.0,False,False,False
-99.08790384681232,19.405092357200463,Iztacalco,bosque,bosque,0.41360626,0.55365473,2348.0,1998.0,False,False,False
-99.08745468917026,19.403295726632223,Iztacalco,bosque,bosque,0.3628016,0.5267576,1595.5,1455.0,False,False,False
-99.08826317292596,19.40356522121746,Iztacalco,bosque,bosque,0.21154875,0.32949933,1699.5,1965.0,False,False,False
-99.08673603694297,19.40679915624029,Iztacalco,bosque,bosque,0.42913526,0.6386431,1991.5,2222.0,False,False,False
-99.08799367834072,19.404733031086813,Iztacalco,bosque,bosque,0.44684684,0.49694324,2007.5,1714.0,False,False,False
-99.0877241837555,19.40365505274587,Iztacalco,bosque,bosque,0.18403159,0.2214433,1349.5,1481.0,False,False,False
-99.08736485764184,19.403295726632223,Iztacalco,bosque,bosque,0.35351735,0.5557895,1520.0,1478.0,False,False,False
-99.08799367834072,19.405092357200463,Iztacalco,bosque,bosque,0.3424271,0.4635313,2140.5,1836.0,False,False,False
-99.08736485764184,19.40374488427428,Iztacalco,bosque,bosque,0.18858382,0.35337758,1645.0,1733.0,False,False,False
-99.08592755318725,19.40563134637093,Iztacalco,bosque,bosque,0.3197158,0.64327484,1486.0,1405.0,False,False,False
-99.09041912960784,19.404463536501577,Iztacalco,pastizal,bosque,0.24891888,0.37625754,1805.0,1368.0,True,False,True
-99.08808350986914,19.40527202025729,Iztacalco,bosque,bosque,0.29376557,0.39124244,1945.5,1954.0,False,False,False
-99.08790384681232,19.40347538968905,Iztacalco,bosque,bosque,0.37576595,0.46886447,1740.0,1604.0,False,False,False
-99.09589885284096,19.395570215188798,Iztacalco,bosque,bosque,0.5117612,0.6429174,1912.0,1948.5,False,False,False
-99.08646654235773,19.40599067248458,Iztacalco,bosque,bosque,0.35336134,0.5812987,1610.5,1522.0,False,False,False
-99.08673603694297,19.406619493183463,Iztacalco,bosque,bosque,0.3204956,0.6462899,2211.5,2141.0,False,False,False
-99.08745468917026,19.40356522121746,Iztacalco,bosque,bosque,0.2409582,0.33367193,1321.0,1313.0,False,False,False
-99.08799367834072,19.405182188728872,Iztacalco,bosque,bosque,0.34744948,0.4619412,2100.0,1815.0,False,False,False
-99.08763435222708,19.403295726632223,Iztacalco,bosque,bosque,0.35663158,0.5167394,1611.0,1563.0,False,False,False
-99.08817334139756,19.403385558160632,Iztacalco,bosque,bosque,0.26251692,0.319933,1866.0,1970.0,False,False,False
-99.08817334139756,19.4031160635754,Iztacalco,bosque,bosque,0.309071,0.31051892,2392.0,2336.0,False,False,False
-99.08826317292596,19.40347538968905,Iztacalco,bosque,bosque,0.15761144,0.23258492,1720.5,2141.0,False,False,False
-99.0862868793009,19.406170335541404,Iztacalco,bosque,bosque,0.3949818,0.58676726,1723.5,1367.0,False,False,False
-99.09059879266468,19.40455336802999,Iztacalco,bosque,bosque,0.3330182,0.47773886,1410.0,1477.0,False,False,False
-99.0884428359828,19.40275673746175,Iztacalco,pastizal,bosque,0.3152461,0.5023585,1369.5,1274.0,True,False,True
-99.08619704777249,19.405900840956168,Iztacalco,bosque,bosque,0.37649485,0.5888177,1669.0,1364.0,False,False,False
-99.08592755318725,19.40599067248458,Iztacalco,bosque,bosque,0.297561,0.63593656,1330.0,1393.0,False,False,False
-99.08826317292596,19.40365505274587,Iztacalco,bosque,bosque,0.2520157,0.44991055,1514.0,1621.0,False,False,False
-99.09589885284096,19.39539055213197,Iztacalco,bosque,bosque,0.4346716,0.5754397,1545.5,1276.5,False,False,False
-99.0884428359828,19.40365505274587,Iztacalco,bosque,bosque,0.30551216,0.44020355,1462.5,1415.0,False,False,False
-99.08817334139756,19.40320589510381,Iztacalco,bosque,bosque,0.2977055,0.36133286,2234.0,1961.0,False,False,False
-99.08835300445438,19.403385558160632,Iztacalco,bosque,bosque,0.20593543,0.27165064,1503.5,1718.0,False,False,False
-99.09050896113628,19.40419404191634,Iztacalco,bosque,bosque,0.25744894,0.4797361,1878.0,1570.0,False,False,False
-99.0884428359828,19.4031160635754,Iztacalco,bosque,bosque,0.18855153,0.20989451,1536.5,1663.0,False,False,False
-99.0884428359828,19.403385558160632,Iztacalco,bosque,bosque,0.23100883,0.24636477,1778.5,1500.0,False,False,False
-99.08799367834072,19.40365505274587,Iztacalco,bosque,bosque,0.21415716,0.31984437,1518.0,1696.0,False,False,False
-99.08736485764184,19.40347538968905,Iztacalco,bosque,bosque,0.31132296,0.47667342,1410.0,1456.0,False,False,False
-99.08592755318725,19.40581100942776,Iztacalco,bosque,bosque,0.30153403,0.58820057,1357.5,1346.0,False,False,False
-99.08790384681232,19.405182188728872,Iztacalco,bosque,bosque,0.3880306,0.4974639,2313.5,1919.0,False,False,False
-99.08763435222708,19.40527202025729,Iztacalco,bosque,bosque,0.35173443,0.4357213,1812.0,1463.0,False,False,False
-99.08736485764184,19.40356522121746,Iztacalco,bosque,bosque,0.2711331,0.3015873,1413.5,1312.0,False,False,False
-99.08826317292596,19.404822862615227,Iztacalco,bosque,bosque,0.33368018,0.4840629,1922.5,1746.0,False,False,False
-99.08727502611345,19.403295726632223,Iztacalco,bosque,bosque,0.33449098,0.49655852,1537.0,1522.0,False,False,False
-99.08835300445438,19.403026232046987,Iztacalco,bosque,bosque,0.358043,0.5025967,1374.0,1302.0,False,False,False
-99.08592755318725,19.405721177899345,Iztacalco,bosque,bosque,0.3203747,0.6044212,1409.5,1379.0,False,False,False
-99.08601738471566,19.405900840956168,Iztacalco,bosque,bosque,0.19396052,0.5204236,1285.0,1005.0,False,False,False
-99.08835300445438,19.402936400518573,Iztacalco,pastizal,bosque,0.3887267,0.4962963,1546.0,1414.0,True,False,True
-99.08808350986914,19.403295726632223,Iztacalco,bosque,bosque,0.28180736,0.47474748,1886.5,1898.0,False,False,False
-99.08736485764184,19.40320589510381,Iztacalco,bosque,bosque,0.40610427,0.56989247,1658.5,1460.0,False,False,False
-99.0877241837555,19.40320589510381,Iztacalco,bosque,bosque,0.34003952,0.4385965,1865.0,1681.0,False,False,False
-99.08808350986914,19.404822862615227,Iztacalco,bosque,bosque,0.36334035,0.46910113,1779.5,1569.0,False,False,False
-99.08790384681232,19.403295726632223,Iztacalco,bosque,bosque,0.35070893,0.51544714,1619.5,1398.0,False,False,False
-99.09571918978416,19.395570215188798,Iztacalco,bosque,bosque,0.46280155,0.65863276,1804.0,1892.5,False,False,False
-99.08619704777249,19.40599067248458,Iztacalco,bosque,bosque,0.37746194,0.6097011,1696.0,1427.0,False,False,False
-99.08619704777249,19.405721177899345,Iztacalco,bosque,bosque,0.25247526,0.5205298,1644.5,1148.0,False,False,False
-99.08817334139756,19.405182188728872,Iztacalco,bosque,bosque,0.2900265,0.42953587,1827.0,1694.0,False,False,False
-99.08799367834072,19.403295726632223,Iztacalco,bosque,bosque,0.29364792,0.44605902,1782.0,1642.0,False,False,False
-99.08637671082931,19.405900840956168,Iztacalco,bosque,bosque,0.43953487,0.6114746,1857.0,1601.0,False,False,False
-99.0878140152839,19.4031160635754,Iztacalco,bosque,bosque,0.43749157,0.31630647,2659.0,2010.0,False,False,False
-99.08583772165883,19.40581100942776,Iztacalco,bosque,bosque,0.3720778,0.57349664,1570.0,1413.0,False,False,False
-99.08763435222708,19.403385558160632,Iztacalco,bosque,bosque,0.34969893,0.48610383,1457.0,1417.0,False,False,False
-99.08736485764184,19.403385558160632,Iztacalco,bosque,bosque,0.3310153,0.510395,1435.5,1453.0,False,False,False
-99.08619704777249,19.40581100942776,Iztacalco,bosque,bosque,0.3355177,0.5964691,1528.5,1266.0,False,False,False
-99.0877241837555,19.4031160635754,Iztacalco,bosque,bosque,0.43749157,0.31630647,2659.0,2010.0,False,False,False
-99.09050896113628,19.404283873444754,Iztacalco,bosque,bosque,0.30862173,0.49971956,1597.5,1337.0,False,False,False
-99.08871233056804,19.40275673746175,Iztacalco,pastizal,bosque,0.17741537,0.4006116,2382.5,1374.0,True,False,True
-99.08790384681232,19.40500252567205,Iztacalco,bosque,bosque,0.40304813,0.49836898,2324.5,2067.0,False,False,False
-99.0878140152839,19.405182188728872,Iztacalco,bosque,bosque,0.42459828,0.54734606,2305.0,1822.0,False,False,False
-99.08826317292596,19.4046431995584,Iztacalco,bosque,bosque,0.29433092,0.42763963,1963.5,1751.0,False,False,False
-99.08826317292596,19.40374488427428,Iztacalco,bosque,bosque,0.25822574,0.34049585,1510.5,1622.0,False,False,False
-99.0884428359828,19.403026232046987,Iztacalco,bosque,bosque,0.21098398,0.30037665,1323.0,1381.0,False,False,False
-99.09032929807944,19.40455336802999,Iztacalco,pastizal,bosque,0.23977189,0.3018868,2500.0,1725.0,True,False,True
-99.08610721624407,19.405721177899345,Iztacalco,bosque,bosque,0.14987715,0.50181025,1404.0,1037.0,False,False,False
-99.0884428359828,19.402936400518573,Iztacalco,bosque,bosque,0.21767904,0.4069961,1288.0,1267.0,False,False,False
-99.08799367834072,19.404822862615227,Iztacalco,bosque,bosque,0.4181818,0.4703833,2008.5,1899.0,False,False,False
-99.08682586847137,19.406619493183463,Iztacalco,bosque,bosque,0.3779297,0.7047374,2116.5,2321.0,False,False,False
-99.08601738471566,19.40599067248458,Iztacalco,bosque,bosque,0.16965085,0.52034885,1306.5,1046.0,False,False,False
-99.08592755318725,19.405900840956168,Iztacalco,bosque,bosque,0.27895752,0.6246264,1325.0,1359.0,False,False,False
-99.08790384681232,19.40356522121746,Iztacalco,bosque,bosque,0.28003457,0.32189348,1481.0,1117.0,False,False,False
