lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.0923055917045,19.344456075522395,Iztapalapa,bosque,bosque,0.20781527,0.20158856,1530.0,1891.0,False,False,False
-99.0149606457418,19.323884655516057,Iztapalapa,bosque,bosque,0.20070526,0.35213676,1021.5,1582.0,False,False,False
-99.08493940637472,19.31202689376568,Iztapalapa,bosque,bosque,0.2872873,0.51096547,1607.5,1498.5,False,False,False
-99.09374289615909,19.34194079272686,Iztapalapa,pastizal,bosque,0.22615714,0.26624498,1861.0,1651.5,True,False,True
-99.03104048932757,19.37877171937576,Iztapalapa,pastizal,bosque,0.20519783,0.35921296,1553.5,2556.0,True,False,True
-99.03023200557185,19.37913104548941,Iztapalapa,bosque,bosque,0.27481663,0.4363349,1303.5,2273.0,False,False,False
-99.0960785158978,19.34194079272686,Iztapalapa,bosque,bosque,0.25921568,0.24874371,1605.5,1491.0,False,False,False
-99.03166931002644,19.378592056318936,Iztapalapa,bosque,bosque,0.16940789,0.32223904,1066.5,1748.0,False,False,False
-99.0299625109866,19.379041213961,Iztapalapa,bosque,bosque,0.28098217,0.44259077,1382.5,2205.0,False,False,False
-99.08565805860202,19.311847230708857,Iztapalapa,bosque,bosque,0.24749455,0.23439458,1431.5,1231.0,False,False,False
-99.0127148575315,19.32810673735142,Iztapalapa,bosque,bosque,0.1845238,0.21350142,995.0,2984.0,False,False,False
-99.08961064585216,19.347330684431576,Iztapalapa,bosque,bosque,0.31030327,0.27993655,1631.0,1614.0,False,False,False
-99.09329373851703,19.34194079272686,Iztapalapa,pastizal,bosque,0.21210995,0.2196609,1631.5,1600.5,True,False,True
-99.0119962053042,19.32837623193665,Iztapalapa,bosque,bosque,0.20273632,0.31137484,967.0,2458.5,False,False,False
-99.09023946655104,19.34508489622128,Iztapalapa,bosque,bosque,0.24420677,0.29976246,1221.5,1368.0,False,False,False
-99.08835300445438,19.34508489622128,Iztapalapa,bosque,bosque,0.2782194,0.3204934,1407.0,1525.5,False,False,False
-98.99286208975246,19.33125084084584,Iztapalapa,pastizal,bosque,0.19453925,0.27749747,1750.0,1899.0,True,False,True
-99.09356323310227,19.342210287312096,Iztapalapa,pastizal,bosque,0.20734453,0.23110308,1742.5,1702.0,True,False,True
-99.08817334139756,19.34481540163604,Iztapalapa,bosque,bosque,0.12824059,0.28865978,816.0,1312.5,False,False,False
-99.09347340157386,19.34256961342574,Iztapalapa,bosque,bosque,0.21342742,0.2849741,1590.5,1612.0,False,False,False
-98.99780282381512,19.33089151473219,Iztapalapa,pastizal,bosque,0.19822814,0.36027515,1082.0,1582.0,True,False,True
-99.00247406329257,19.332149156129955,Iztapalapa,bosque,bosque,0.27212104,0.34983498,1240.0,1636.0,False,False,False
-99.09392255921593,19.34194079272686,Iztapalapa,pastizal,bosque,0.2121412,0.27810287,1837.0,2075.0,True,False,True
-98.99762316075832,19.330262694033305,Iztapalapa,suelo_desnudo,bosque,0.051186018,0.1747627,842.0,1052.0,True,False,True
-99.00301305246302,19.368710588193625,Iztapalapa,bosque,bosque,0.21102394,0.6399171,1505.0,2769.0,False,False,False
-99.0938327276875,19.342839108010978,Iztapalapa,bosque,bosque,0.26915848,0.27733332,1519.5,1437.0,False,False,False
-99.08934115126692,19.347240852903163,Iztapalapa,bosque,bosque,0.21672848,0.25606796,1476.5,1552.5,False,False,False
-99.09077845572148,19.34580354844857,Iztapalapa,bosque,bosque,0.28840792,0.29424194,1964.5,1837.5,False,False,False
-99.0967971681251,19.342210287312096,Iztapalapa,bosque,bosque,0.18292454,0.28668684,1579.5,1701.0,False,False,False
-99.01531997185546,19.324243981629703,Iztapalapa,bosque,bosque,0.16030014,0.33333334,850.5,2632.0,False,False,False
