lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.0720036662834,19.138472380873782,Milpa Alta,bosque,bosque,0.47550315,0.5872093,1814.5,1638.0,False,False,False
-99.13452641005811,19.134789288208896,Milpa Alta,bosque,bosque,0.5914239,0.8032499,1967.0,2053.0,False,False,False
-99.02259632565682,19.135418108907785,Milpa Alta,pastizal,bosque,0.42915308,0.5143546,1755.0,1727.5,True,False,True
-99.04747965902692,19.14134698978297,Milpa Alta,pastizal,bosque,0.43284938,0.5723502,1579.0,1706.0,True,False,True
-99.05960691536256,19.059600298928093,Milpa Alta,pastizal,bosque,0.517591,0.6072488,2469.5,2439.0,True,False,True
-99.1156617890916,19.14440126174897,Milpa Alta,pastizal,bosque,0.517645,0.6093881,2139.5,1920.0,True,False,True
-98.998431644514,19.156798012669825,Milpa Alta,pastizal,bosque,0.38170347,0.44125873,1971.0,2061.0,True,False,True
-99.02026070591812,19.126884113708645,Milpa Alta,bosque,bosque,0.36013728,0.45691383,1387.0,1454.0,False,False,False
-99.04694066985648,19.11179241693544,Milpa Alta,bosque,bosque,0.6112311,0.7509549,1492.0,1146.0,False,False,False
-99.12796870848403,19.154372561402703,Milpa Alta,bosque,bosque,0.61899227,0.79980934,2088.5,2360.0,False,False,False
-99.04074229439604,19.11924843379363,Milpa Alta,bosque,bosque,0.66818184,0.618107,1651.5,983.0,False,False,False
-99.04747965902692,19.117092477111743,Milpa Alta,bosque,bosque,0.61960906,0.69659287,1305.0,1705.5,False,False,False
-99.0343642558788,19.15086913179464,Milpa Alta,bosque,bosque,0.53262585,0.6425121,1697.0,1530.0,False,False,False
-99.12886702376817,19.1528454254197,Milpa Alta,bosque,bosque,0.37453875,0.45798394,1862.5,2043.0,False,False,False
-99.10685829930723,19.07630896321272,Milpa Alta,bosque,bosque,0.66397774,0.7324986,1495.5,1522.0,False,False,False
-99.0908682872499,19.17359650848286,Milpa Alta,bosque,bosque,0.51747245,0.63666666,1585.0,1964.0,False,False,False
-99.06616461693662,19.155360708215238,Milpa Alta,bosque,bosque,0.4650092,0.53277224,1591.0,1502.5,False,False,False
-99.03705920173115,19.095622741821288,Milpa Alta,bosque,bosque,0.5747318,0.6940928,1651.5,1606.0,False,False,False
-99.05745095868066,19.115295846543503,Milpa Alta,bosque,bosque,0.54401314,0.769863,1412.0,1453.5,False,False,False
-99.09589885284096,19.073434354303533,Milpa Alta,bosque,bosque,0.57338554,0.61517614,2010.0,1639.0,False,False,False
-99.04927628959516,19.07783609919572,Milpa Alta,bosque,bosque,0.5776116,0.6287478,1740.5,1847.0,False,False,False
-99.12976533905228,19.11358904750368,Milpa Alta,bosque,bosque,0.5415254,0.6435798,1819.0,1584.0,False,False,False
-99.05933742077733,19.084393800769792,Milpa Alta,bosque,bosque,0.55331486,0.6936354,1540.5,1570.0,False,False,False
-98.9975333292299,19.125087483140405,Milpa Alta,bosque,bosque,0.5383497,0.7275812,2116.0,1782.0,False,False,False
-99.0434372402484,19.12032641213457,Milpa Alta,bosque,bosque,0.4551167,0.70782095,1621.0,1736.0,False,False,False
-99.05062376252135,19.086998915093737,Milpa Alta,bosque,bosque,0.6257572,0.6623165,1811.5,1528.5,False,False,False
-99.09949211397746,19.159942116164245,Milpa Alta,pastizal,bosque,0.30784142,0.32511687,1855.5,1559.0,True,False,True
-99.10766678306294,19.07406317500242,Milpa Alta,bosque,bosque,0.6789718,0.8214959,1535.0,1449.0,False,False,False
-99.0095707540371,19.144940250919447,Milpa Alta,pastizal,bosque,0.45948523,0.5358807,1531.0,1648.0,True,False,True
