lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-98.99025697542852,19.26423652065052,Tláhuac,urbano,bosque,0.4510665,0.5095677,2313.0,2130.0,True,False,True
-98.97525511018372,19.234681947802983,Tláhuac,bosque,bosque,0.47017863,0.60441214,2428.0,3200.0,False,False,False
-98.97040420764948,19.23288531723475,Tláhuac,bosque,bosque,0.5293296,0.68935996,2190.0,2072.0,False,False,False
-99.02870486958884,19.26288904772434,Tláhuac,bosque,bosque,0.110822834,0.16862746,1498.5,1043.0,False,False,False
-98.97606359393944,19.27744175532708,Tláhuac,bosque,bosque,0.2236587,0.5794251,1893.0,2088.0,False,False,False
-98.94920396694428,19.220758060899136,Tláhuac,pastizal,bosque,0.5060663,0.6550681,2793.0,2735.0,True,False,True
-98.96160071786512,19.215547832251243,Tláhuac,pastizal,bosque,0.5296765,0.44998303,2719.0,2138.0,True,False,True
-99.04442538706093,19.28085535340673,Tláhuac,bosque,bosque,0.49332577,0.5652725,2629.0,2470.0,False,False,False
-99.06257135580016,19.281574005634027,Tláhuac,urbano,bosque,0.27944818,0.3931474,1808.5,2185.5,True,False,True
-98.98702304040567,19.26324837383799,Tláhuac,pastizal,bosque,0.2960549,0.4294455,1889.0,1869.0,True,False,True
-98.97588393088262,19.234592116274577,Tláhuac,pastizal,bosque,0.40169537,0.4839837,2563.0,2548.0,True,False,True
-98.97390763725755,19.23414295863252,Tláhuac,bosque,bosque,0.53934604,0.6750202,2142.0,2072.0,False,False,False
-98.97022454459264,19.23243615959269,Tláhuac,bosque,bosque,0.6011236,0.4388443,2565.0,2241.0,False,False,False
-98.96402616913224,19.21869193574566,Tláhuac,bosque,bosque,0.6798299,0.69614035,2765.0,2417.0,False,False,False
-99.02870486958884,19.26360769995164,Tláhuac,bosque,bosque,0.51509213,0.6879699,1932.5,2020.5,False,False,False
-98.98055517036003,19.23072936055286,Tláhuac,bosque,bosque,0.49982488,0.63531226,2141.0,2121.0,False,False,False
-99.02951335334454,19.263697531480048,Tláhuac,bosque,bosque,0.41299516,0.64106166,2702.0,2921.5,False,False,False
-98.96941606083696,19.231807338893805,Tláhuac,agua,bosque,0.15122724,0.23642172,727.0,387.0,True,False,True
-99.02897436417408,19.26270938466752,Tláhuac,bosque,bosque,0.51370996,0.6942551,2291.0,2610.0,False,False,False
-98.97642292005308,19.234502284746164,Tláhuac,bosque,bosque,0.57214594,0.6078853,2348.0,2243.0,False,False,False
-98.97516527865533,19.23378363251887,Tláhuac,bosque,bosque,0.30316743,0.48633093,1728.0,2066.0,False,False,False
-99.0291540272309,19.263158542309576,Tláhuac,bosque,bosque,0.5370769,0.680829,1964.0,2027.5,False,False,False
-98.97220083821772,19.27726209227025,Tláhuac,bosque,bosque,0.33310673,0.38411573,1961.0,2344.0,False,False,False
-99.04765932208376,19.281933331747677,Tláhuac,bosque,bosque,0.4954867,0.66529316,1532.5,1313.5,False,False,False
-99.0472999959701,19.28148417410561,Tláhuac,bosque,bosque,0.49784997,0.6835227,1567.5,1481.5,False,False,False
-98.98342977926922,19.258846628945804,Tláhuac,bosque,bosque,0.50919765,0.6813447,1928.0,1775.5,False,False,False
-98.97390763725755,19.27753158685549,Tláhuac,bosque,bosque,0.33310392,0.55940115,1937.0,2005.0,False,False,False
-98.97031437612108,19.23297514876316,Tláhuac,bosque,bosque,0.5838833,0.61127955,2280.0,2657.0,False,False,False
-98.96187021245036,19.21581732683648,Tláhuac,bosque,bosque,0.49714583,0.5033557,2885.0,2464.0,False,False,False
-98.99061630154218,19.264326352178934,Tláhuac,bosque,bosque,0.4786104,0.47698745,2575.0,2118.0,False,False,False
-98.9660024627573,19.322088024947817,Tláhuac,bosque,bosque,0.31701112,0.4225564,2071.0,2365.0,False,False,False
-98.99034680695694,19.263967026065284,Tláhuac,urbano,bosque,0.4510665,0.46274874,2313.0,1580.5,True,False,True
-99.02942352181614,19.26342803689481,Tláhuac,bosque,bosque,0.4209686,0.6499417,2002.5,2121.0,False,False,False
-99.01235553141788,19.271692537508716,Tláhuac,bosque,bosque,0.3882567,0.6467236,1525.0,1734.0,False,False,False
