lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.2027983716512,19.15176744707876,Tlalpan,pastizal,bosque,0.45689818,0.5486064,1914.0,2278.0,True,False,True
-99.23522755340792,19.12634512453817,Tlalpan,bosque,bosque,0.7109226,0.7469833,2471.0,2244.0,False,False,False
-99.21097304073668,19.1611099260336,Tlalpan,bosque,bosque,0.55007863,0.7296962,1478.0,1395.0,False,False,False
-99.2080086002991,19.244743078985127,Tlalpan,bosque,bosque,0.54569894,0.6861739,1725.0,1808.0,False,False,False
-99.13937731259236,19.180783030755816,Tlalpan,bosque,bosque,0.5342526,0.62091804,1752.5,1774.5,False,False,False
-99.17746588063903,19.21851227268884,Tlalpan,bosque,bosque,0.560579,0.73307395,1967.5,2227.0,False,False,False
-99.27241780617048,19.17961522088646,Tlalpan,bosque,bosque,0.72353625,0.8028169,2222.5,2112.0,False,False,False
-99.16354199373518,19.26145174326975,Tlalpan,bosque,bosque,0.3941019,0.61692846,2080.0,1853.0,False,False,False
-99.23226311297032,19.1956950644722,Tlalpan,bosque,bosque,0.4345171,0.6021441,1585.5,1345.0,False,False,False
-99.21654259549824,19.16721846996561,Tlalpan,bosque,bosque,0.51285523,0.6258503,1677.0,1195.0,False,False,False
-99.18878465321892,19.25040246527508,Tlalpan,bosque,bosque,0.54730743,0.58336544,1803.0,2056.0,False,False,False
-99.15294187338256,19.21941058797296,Tlalpan,bosque,bosque,0.5,0.5549946,2340.0,2156.0,False,False,False
-99.25328369061872,19.132723163055424,Tlalpan,bosque,bosque,0.5529917,0.689243,1447.0,1484.0,False,False,False
-99.18914397933258,19.28947918013428,Tlalpan,bosque,bosque,0.38246042,0.40361446,1702.5,1631.0,False,False,False
-99.23900047760122,19.19874933643821,Tlalpan,bosque,bosque,0.4265976,0.528798,1858.5,1831.5,False,False,False
-99.17036918989449,19.18545427023324,Tlalpan,bosque,bosque,0.56378007,0.64043957,2176.0,1866.0,False,False,False
-99.17881335356522,19.10981612331037,Tlalpan,bosque,bosque,0.48586118,0.5691334,1734.0,1611.5,False,False,False
-99.23693435244776,19.166769312323552,Tlalpan,bosque,bosque,0.47306943,0.57346356,1702.5,1933.0,False,False,False
-99.159140248843,19.10801949274213,Tlalpan,bosque,bosque,0.67948025,0.7831431,2326.5,2031.0,False,False,False
-99.18671852806548,19.24770751942272,Tlalpan,bosque,bosque,0.51115924,0.630303,1743.5,1883.0,False,False,False
-99.18644903348024,19.10236010645218,Tlalpan,bosque,bosque,0.61730653,0.7311741,1990.5,2138.0,False,False,False
-99.23396991201017,19.206924005523696,Tlalpan,bosque,bosque,0.6772658,0.8339782,1938.5,1303.5,False,False,False
-99.20818826335592,19.24393459522942,Tlalpan,bosque,bosque,0.5682715,0.62542623,1987.0,1668.5,False,False,False
-99.17513026090032,19.19695270586997,Tlalpan,bosque,bosque,0.5468589,0.5029821,1877.5,1512.0,False,False,False
-99.20540348597515,19.15383357223223,Tlalpan,pastizal,bosque,0.49633124,0.68594104,1427.5,1487.0,True,False,True
-99.27708904564788,19.19758152656885,Tlalpan,bosque,bosque,0.4975214,0.55262,1661.5,1763.0,False,False,False
-99.27457376285236,19.193539107790315,Tlalpan,bosque,bosque,0.5032,0.605274,1879.0,1948.0,False,False,False
-99.15518766159286,19.28399945690115,Tlalpan,bosque,bosque,0.666309,0.8311768,2329.5,2972.0,False,False,False
-99.24232424415246,19.124548493969936,Tlalpan,bosque,bosque,0.63828516,0.69502074,2054.0,1634.0,False,False,False
-99.2643329686134,19.163086219658663,Tlalpan,bosque,bosque,0.64063764,0.77304965,1518.0,1500.0,False,False,False
-99.2028882031796,19.138292717816963,Tlalpan,bosque,bosque,0.6219984,0.7273146,2094.0,1875.0,False,False,False
-99.17000986378083,19.09445493195193,Tlalpan,pastizal,bosque,0.3895293,0.55095863,1446.5,1537.0,True,False,True
-99.26612959918162,19.19039500429589,Tlalpan,bosque,bosque,0.6259781,0.71013653,2078.0,1472.0,False,False,False
-99.27160932241476,19.199647651722326,Tlalpan,bosque,bosque,0.5386108,0.71788657,1982.5,1772.0,False,False,False
-99.25939223455072,19.1588641378233,Tlalpan,bosque,bosque,0.70127076,0.7772675,2175.5,1548.0,False,False,False
-99.23172412379984,19.149611490396868,Tlalpan,bosque,bosque,0.5724605,0.64172125,1741.5,1755.0,False,False,False
-99.17602857618444,19.183657639665,Tlalpan,pastizal,bosque,0.40273038,0.50753444,2466.0,2351.0,True,False,True
-99.25445150048807,19.143772441050093,Tlalpan,bosque,bosque,0.5240539,0.537925,1782.0,1764.0,False,False,False
-99.25525998424378,19.22605812107544,Tlalpan,bosque,bosque,0.6935603,0.68862814,1716.0,1871.0,False,False,False
-99.21878838370851,19.11197207999226,Tlalpan,bosque,bosque,0.33377814,0.41669932,1999.0,1807.0,False,False,False
-99.20540348597515,19.170003247346383,Tlalpan,bosque,bosque,0.4984238,0.5688274,2139.0,2154.0,False,False,False
-99.23495805882268,19.126524787595,Tlalpan,bosque,bosque,0.6525081,0.69118905,2042.5,1977.0,False,False,False
-99.23801233078868,19.257409324491213,Tlalpan,bosque,bosque,0.5235776,0.3263452,1720.5,1423.5,False,False,False
-99.19947460509997,19.1197874229641,Tlalpan,bosque,bosque,0.4515882,0.60952824,1896.5,1723.0,False,False,False
-99.29325872076204,19.206115521767988,Tlalpan,bosque,bosque,0.5516908,0.62034065,1606.0,1641.0,False,False,False
-99.18860499016212,19.22830390928574,Tlalpan,bosque,bosque,0.40933514,0.4349238,2098.5,2872.0,False,False,False
-99.27214831158524,19.18455595494912,Tlalpan,bosque,bosque,0.5590236,0.7250168,1948.0,1929.0,False,False,False
-99.19183892518494,19.138023223231727,Tlalpan,bosque,bosque,0.52367634,0.6257527,1906.5,1755.0,False,False,False
-99.19695932230442,19.16434386105643,Tlalpan,bosque,bosque,0.5173003,0.6896552,1776.0,1617.0,False,False,False
-99.26720757752256,19.191742477222075,Tlalpan,bosque,bosque,0.5700381,0.66507936,1855.0,1573.5,False,False,False
-99.246366662931,19.154552224459525,Tlalpan,bosque,bosque,0.5196833,0.5820348,1727.5,1726.0,False,False,False
-99.15788260744525,19.100024486713476,Tlalpan,bosque,bosque,0.54830617,0.60235506,1851.0,1769.0,False,False,False
-99.24465986389116,19.154372561402703,Tlalpan,bosque,bosque,0.5235281,0.5376782,1675.5,1510.0,False,False,False
-99.24268357026612,19.16667948079514,Tlalpan,pastizal,bosque,0.38712308,0.49189728,1702.0,1496.0,True,False,True
-99.19713898536124,19.20198327146104,Tlalpan,bosque,bosque,0.55133927,0.615304,1737.5,1541.0,False,False,False
-99.26208718040309,19.1595827900506,Tlalpan,bosque,bosque,0.66387725,0.76838446,1789.5,1527.0,False,False,False
-99.2921807424211,19.18698140621624,Tlalpan,bosque,bosque,0.7199356,0.8215488,1870.0,1623.0,False,False,False
-99.22552574833942,19.2039595650861,Tlalpan,bosque,bosque,0.5088813,0.39986092,1210.5,1006.5,False,False,False
-99.22319012860072,19.12760276593594,Tlalpan,bosque,bosque,0.63376004,0.7356143,1882.5,1674.0,False,False,False
-99.26020071830644,19.15823531712441,Tlalpan,bosque,bosque,0.5847274,0.73257023,2013.0,1665.0,False,False,False
-99.23495805882268,19.268638265542705,Tlalpan,bosque,bosque,0.5505569,0.6679671,1775.0,1924.0,False,False,False
-99.30547580862608,19.21635631600695,Tlalpan,bosque,bosque,0.48972732,0.70751363,1994.0,1801.0,False,False,False
-99.220854508862,19.131465521657656,Tlalpan,bosque,bosque,0.5266002,0.6757803,1836.5,1731.5,False,False,False
-99.2027085401228,19.158055654067592,Tlalpan,bosque,bosque,0.5975052,0.7411765,1921.0,1998.0,False,False,False
-99.30260119971688,19.20440872272816,Tlalpan,bosque,bosque,0.5628164,0.5490542,1698.0,1535.5,False,False,False
-99.1960610070203,19.264056857593697,Tlalpan,pastizal,bosque,0.33277312,0.35021833,1586.0,1546.0,True,False,True
-99.181598130946,19.15095896332305,Tlalpan,bosque,bosque,0.60910213,0.7523766,2280.5,1935.5,False,False,False
-99.26864488197717,19.225069974262908,Tlalpan,bosque,bosque,0.38440964,0.5650257,1811.5,2130.0,False,False,False
-99.22660372668037,19.1220332111744,Tlalpan,bosque,bosque,0.618024,0.5771692,1957.0,1540.5,False,False,False
-99.2592125714939,19.204768048841807,Tlalpan,pastizal,bosque,0.39580473,0.63892037,1780.0,1806.5,True,False,True
-99.165248792775,19.122392537288047,Tlalpan,bosque,bosque,0.59313214,0.7403451,1531.0,2118.0,False,False,False
-99.15581648229175,19.260463596457218,Tlalpan,bosque,bosque,0.23024055,0.32993197,1253.0,1368.5,False,False,False
-99.19453387103732,19.142514799652325,Tlalpan,bosque,bosque,0.5567715,0.71206224,1707.0,1760.0,False,False,False
-99.20711028501498,19.097329540861114,Tlalpan,bosque,bosque,0.5903982,0.68741095,2087.0,1776.0,False,False,False
-99.19390505033842,19.15482171904476,Tlalpan,bosque,bosque,0.5836966,0.73554605,1816.5,1621.0,False,False,False
-99.29550450897234,19.177459264204572,Tlalpan,bosque,bosque,0.5073892,0.5487042,1530.0,1733.0,False,False,False
-99.22777153654972,19.17359650848286,Tlalpan,pastizal,bosque,0.38892934,0.50926787,1907.0,1628.5,True,False,True
-99.23819199384552,19.200995124648507,Tlalpan,bosque,bosque,0.6788816,0.77150303,1981.5,2039.0,False,False,False
-99.19121010448606,19.14089783214091,Tlalpan,bosque,bosque,0.5882784,0.6332329,2168.0,1897.0,False,False,False
-99.27816702398884,19.17826774796028,Tlalpan,bosque,bosque,0.6428068,0.8453696,1750.0,2172.0,False,False,False
-99.19956443662838,19.144311430220565,Tlalpan,pastizal,bosque,0.48155695,0.79241514,1817.5,2245.0,True,False,True
-99.14611467722328,19.09113116540069,Tlalpan,bosque,bosque,0.5028844,0.54517764,1498.0,1522.0,False,False,False
-99.2186087206517,19.25435505252521,Tlalpan,pastizal,bosque,0.26118433,0.3706866,1698.5,1926.5,True,False,True
-99.2396292983001,19.10801949274213,Tlalpan,pastizal,bosque,0.40549573,0.6143358,1892.5,2072.0,True,False,True
-99.22013585663473,19.098766845315705,Tlalpan,bosque,bosque,0.6498625,0.78093946,2250.0,1971.5,False,False,False
-99.22354945471436,19.178716905602343,Tlalpan,pastizal,bosque,0.2478656,0.45188835,2265.5,2210.5,True,False,True
-99.27098050171588,19.189856015125425,Tlalpan,bosque,bosque,0.5805656,0.8381783,2082.0,1897.0,False,False,False
-99.29155192172222,19.193539107790315,Tlalpan,bosque,bosque,0.44829017,0.52554375,1747.0,1508.0,False,False,False
-99.18662869653706,19.11296022680479,Tlalpan,bosque,bosque,0.4641577,0.44912472,1634.0,1324.5,False,False,False
-99.2839162418072,19.20297141827357,Tlalpan,bosque,bosque,0.52884614,0.6297558,1590.0,1435.0,False,False,False
-99.23459873270905,19.13128585860083,Tlalpan,bosque,bosque,0.5808112,0.6964625,1919.5,2230.0,False,False,False
-99.15366052560988,19.09400577430987,Tlalpan,bosque,bosque,0.4888889,0.62057287,1239.5,1315.5,False,False,False
-99.23630553174884,19.120775569776637,Tlalpan,bosque,bosque,0.6841152,0.7500863,2324.5,2535.0,False,False,False
-99.28795866058572,19.20081546159168,Tlalpan,bosque,bosque,0.53073967,0.6579108,1593.5,1357.0,False,False,False
-99.2493311033686,19.209439288319228,Tlalpan,bosque,bosque,0.4544206,0.6196721,2118.0,1482.0,False,False,False
-99.223908780828,19.138292717816963,Tlalpan,bosque,bosque,0.6315673,0.7663789,1840.0,1739.0,False,False,False
-99.21384764964588,19.24779735095113,Tlalpan,pastizal,bosque,0.28964436,0.37444344,1441.5,1543.5,True,False,True
-99.2252562537542,19.17907623171599,Tlalpan,bosque,bosque,0.52112126,0.627948,1953.5,1846.5,False,False,False
-99.24654632598782,19.11161275387861,Tlalpan,bosque,bosque,0.51122713,0.42741042,2170.5,1932.0,False,False,False
-99.20333736082168,19.132723163055424,Tlalpan,bosque,bosque,0.5948787,0.6624305,2086.5,2093.0,False,False,False
-99.24960059795384,19.211685076529527,Tlalpan,bosque,bosque,0.47272062,0.6644752,2011.0,1835.5,False,False,False
-99.23819199384552,19.20566636412593,Tlalpan,bosque,bosque,0.6792785,0.7846583,1908.5,1599.5,False,False,False
-99.14324006831409,19.214829180023948,Tlalpan,bosque,bosque,0.5783516,0.6424627,2231.0,2007.5,False,False,False
-99.276460224949,19.17458465529539,Tlalpan,bosque,bosque,0.44085532,0.65202487,1583.5,1927.5,False,False,False
-99.21681209008348,19.165511670925785,Tlalpan,bosque,bosque,0.48804373,0.7181598,1633.5,1774.0,False,False,False
-99.19570168090664,19.189856015125425,Tlalpan,bosque,bosque,0.47581095,0.57100296,1990.5,1582.0,False,False,False
-99.2493311033686,19.243215943002124,Tlalpan,bosque,bosque,0.6627602,0.7497995,2376.5,2182.0,False,False,False
-99.2118713560208,19.24195830160436,Tlalpan,bosque,bosque,0.53888077,0.6259251,1835.5,1812.5,False,False,False
-99.1951626917362,19.13227400541336,Tlalpan,bosque,bosque,0.5612446,0.6731557,1982.0,1633.0,False,False,False
-99.2358563741068,19.15670818114141,Tlalpan,bosque,bosque,0.50075567,0.5142443,1489.5,1568.0,False,False,False
-99.25867358232344,19.229022561513037,Tlalpan,bosque,bosque,0.46415251,0.3986075,1766.5,1607.0,False,False,False
-99.14458754124026,19.257409324491213,Tlalpan,bosque,bosque,0.39292452,0.4428602,1476.5,1695.0,False,False,False
-99.20917641016844,19.15598952891412,Tlalpan,bosque,bosque,0.51374817,0.68660665,1569.0,1593.0,False,False,False
-99.19911527898633,19.13550794043619,Tlalpan,bosque,bosque,0.5718631,0.7137648,2067.0,1880.0,False,False,False
-99.21474596493,19.17683044350569,Tlalpan,bosque,bosque,0.46204895,0.56829405,1762.5,1429.5,False,False,False
-99.21357815506065,19.10909747108308,Tlalpan,pastizal,bosque,0.34652278,0.51105934,1684.5,1298.0,True,False,True
-99.20854758946956,19.28903002249222,Tlalpan,bosque,bosque,0.3703019,0.4101207,1668.0,1665.0,False,False,False
-99.22669355820878,19.19937815713709,Tlalpan,pastizal,bosque,0.34950644,0.43228266,2016.5,2067.5,True,False,True
-99.1878863379348,19.094275268895107,Tlalpan,bosque,bosque,0.6906051,0.79410064,1795.0,1551.0,False,False,False
-99.20064241496932,19.29558772406629,Tlalpan,bosque,bosque,0.43587464,0.57501763,1615.0,1677.0,False,False,False
-99.24843278808449,19.19425776001761,Tlalpan,bosque,bosque,0.56657,0.783457,1485.5,1622.5,False,False,False
-99.2365750263341,19.191922140278898,Tlalpan,bosque,bosque,0.43682444,0.5035461,1927.5,1378.0,False,False,False
-99.23666485786252,19.23108868666651,Tlalpan,bosque,bosque,0.56163734,0.67948717,1640.5,1572.0,False,False,False
-99.15806227050204,19.10011431824188,Tlalpan,bosque,bosque,0.46978724,0.5399142,1727.0,1794.0,False,False,False
-99.23388008048174,19.21653597906377,Tlalpan,bosque,bosque,0.6685381,0.77072406,1857.5,1687.5,False,False,False
-99.24537851611846,19.13910120157267,Tlalpan,bosque,bosque,0.57902884,0.41284403,2040.5,1848.0,False,False,False
-99.1824964462301,19.248066845536368,Tlalpan,bosque,bosque,0.34662008,0.57227004,1638.5,1735.0,False,False,False
-99.20450517069104,19.245461731212423,Tlalpan,bosque,bosque,0.47980338,0.57823455,1731.0,1631.5,False,False,False
-99.19624067007712,19.275555293230425,Tlalpan,bosque,bosque,0.3020651,0.28966463,1860.0,1644.0,False,False,False
-99.28966545962555,19.15706750725506,Tlalpan,pastizal,bosque,0.43080044,0.4939759,2292.5,2263.0,True,False,True
-99.1818676255312,19.24492274204195,Tlalpan,bosque,bosque,0.49785808,0.5313002,2010.5,1908.0,False,False,False
-99.23621570022046,19.14646738690245,Tlalpan,bosque,bosque,0.45593157,0.62097514,1957.5,1762.0,False,False,False
-99.24268357026612,19.231717507365392,Tlalpan,bosque,bosque,0.44074607,0.6060696,2510.5,2699.0,False,False,False
-99.19417454492364,19.27672310309978,Tlalpan,bosque,bosque,0.42937258,0.45878747,2039.0,2141.5,False,False,False
-99.26505162084068,19.17961522088646,Tlalpan,bosque,bosque,0.54502755,0.74650514,1891.5,1874.0,False,False,False
-99.2087272525264,19.155809865857293,Tlalpan,bosque,bosque,0.4806421,0.7336427,1568.0,1868.0,False,False,False
-99.2449293584764,19.25767881907645,Tlalpan,bosque,bosque,0.5087344,0.42572972,2116.0,1648.5,False,False,False
-99.19803730064535,19.26666197191764,Tlalpan,bosque,bosque,0.47013903,0.51818556,1877.0,1857.5,False,False,False
-99.15797243897364,19.22129705006961,Tlalpan,bosque,bosque,0.48771498,0.42809224,1816.5,1703.0,False,False,False
-99.2629854956872,19.20342057591563,Tlalpan,bosque,bosque,0.45809603,0.680091,1792.0,1846.0,False,False,False
-99.277987360932,19.15446239293112,Tlalpan,bosque,bosque,0.54843384,0.55197424,2138.0,1926.0,False,False,False
-99.24205474956725,19.15006064803893,Tlalpan,bosque,bosque,0.59111667,0.626409,1916.5,2020.0,False,False,False
-99.26226684345993,19.16982358428956,Tlalpan,bosque,bosque,0.5128688,0.7605354,1807.5,1775.5,False,False,False
-99.22723254737926,19.19910866255185,Tlalpan,pastizal,bosque,0.5365174,0.6973459,2067.0,1982.5,True,False,True
-99.31490811910932,19.22318351216626,Tlalpan,bosque,bosque,0.5433636,0.65843725,1828.5,1629.0,False,False,False
-99.19399488186684,19.150330142624163,Tlalpan,bosque,bosque,0.5558912,0.70914066,2060.0,1874.5,False,False,False
-99.2328919336692,19.17359650848286,Tlalpan,pastizal,bosque,0.3954984,0.5641264,1953.0,1683.0,True,False,True
-99.2470853151583,19.207552826222575,Tlalpan,bosque,bosque,0.5623538,0.7141505,2170.5,1811.0,False,False,False
-99.17980150037776,19.15176744707876,Tlalpan,bosque,bosque,0.5485869,0.6275057,2000.0,1603.5,False,False,False
-99.23244277602714,19.16614049162467,Tlalpan,bosque,bosque,0.47256282,0.46952552,1831.5,1850.5,False,False,False
-99.21393748117428,19.26765011873017,Tlalpan,pastizal,bosque,0.33636364,0.45527014,1543.5,1643.0,True,False,True
-99.22067484580518,19.12814175510641,Tlalpan,bosque,bosque,0.64685255,0.62975204,2348.0,1972.0,False,False,False
-99.17845402745156,19.152575930834463,Tlalpan,bosque,bosque,0.5736,0.70929956,1967.0,1787.5,False,False,False
-99.29011461726762,19.205127374955456,Tlalpan,bosque,bosque,0.55710244,0.6776596,1789.5,1577.0,False,False,False
-99.27816702398884,19.17593212822157,Tlalpan,bosque,bosque,0.4123149,0.5675998,1812.0,1974.0,False,False,False
-99.17306413574684,19.18051353617058,Tlalpan,bosque,bosque,0.5914634,0.7833136,2218.5,2255.0,False,False,False
-99.2230104655439,19.25121094903079,Tlalpan,pastizal,bosque,0.33004406,0.42716238,1887.0,1881.0,True,False,True
-99.20935607322528,19.16290655660184,Tlalpan,pastizal,bosque,0.44752276,0.59267735,1789.5,1392.0,True,False,True
-99.1982169637022,19.133890972924775,Tlalpan,bosque,bosque,0.6221766,0.7004049,2172.5,2100.0,False,False,False
