lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.11799740883032,19.420453548558903,Venustiano Carranza,bosque,bosque,0.2754202,0.5522496,1916.0,2139.0,False,False,False
-99.11808724035872,19.42063321161573,Venustiano Carranza,bosque,bosque,0.35029685,0.577418,1592.0,1900.0,False,False,False
-99.11925505022808,19.419555233274785,Venustiano Carranza,bosque,bosque,0.47147146,0.5488419,1960.0,2307.0,False,False,False
-99.054037360601,19.433928277820694,Venustiano Carranza,pastizal,bosque,0.27881873,0.43380573,2576.5,2074.0,True,False,True
-99.10640914166518,19.409853428206294,Venustiano Carranza,bosque,bosque,0.45487544,0.65177894,2204.5,2182.0,False,False,False
-99.1184465664724,19.420004390916844,Venustiano Carranza,bosque,bosque,0.20423798,0.4244736,1847.0,2334.0,False,False,False
-99.054037360601,19.43401810934911,Venustiano Carranza,pastizal,bosque,0.30697614,0.55778223,2562.0,2332.0,True,False,True
-99.1201533655122,19.420094222445258,Venustiano Carranza,bosque,bosque,0.42248252,0.35535908,2186.0,2184.5,False,False,False
-99.07990884078365,19.447133512497256,Venustiano Carranza,bosque,bosque,0.4244429,0.62886596,2045.5,1896.0,False,False,False
-99.05367803448736,19.433928277820694,Venustiano Carranza,pastizal,bosque,0.19185655,0.33245382,2210.0,2020.0,True,False,True
-99.11880589258602,19.419914559388435,Venustiano Carranza,bosque,bosque,0.4330268,0.61422706,1792.0,2065.0,False,False,False
-99.1186262295292,19.4196450648032,Venustiano Carranza,bosque,bosque,0.41997492,0.6290996,1699.0,2049.0,False,False,False
-99.0538576975442,19.43401810934911,Venustiano Carranza,pastizal,bosque,0.46757048,0.6697588,2381.5,2700.0,True,False,True
-99.11826690341556,19.42063321161573,Venustiano Carranza,bosque,bosque,0.34576327,0.43312007,2021.0,2408.0,False,False,False
-99.11880589258602,19.4196450648032,Venustiano Carranza,bosque,bosque,0.4267057,0.5736951,1584.0,1711.0,False,False,False
-99.11997370245538,19.419555233274785,Venustiano Carranza,bosque,bosque,0.51922345,0.59330857,1995.5,2143.0,False,False,False
-99.11853639800078,19.41982472786002,Venustiano Carranza,bosque,bosque,0.43316978,0.57040745,1825.5,2197.0,False,False,False
-99.11952454481332,19.4196450648032,Venustiano Carranza,bosque,bosque,0.3581662,0.4363974,2133.0,2320.5,False,False,False
-99.05376786601578,19.43734187590035,Venustiano Carranza,agua,bosque,0.31615505,0.4557377,1468.5,1332.0,True,False,True
-99.1184465664724,19.420094222445258,Venustiano Carranza,bosque,bosque,0.19973676,0.4349544,1823.0,2360.5,False,False,False
-99.11889572411444,19.42063321161573,Venustiano Carranza,bosque,bosque,0.39621103,0.40982044,1713.5,2218.0,False,False,False
-99.11826690341556,19.419734896331608,Venustiano Carranza,bosque,bosque,0.27125242,0.4508209,1959.0,2408.0,False,False,False
-99.11898555564284,19.42108236925779,Venustiano Carranza,bosque,bosque,0.4327496,0.482065,1984.0,2634.0,False,False,False
-99.1193448817565,19.4211722007862,Venustiano Carranza,bosque,bosque,0.43218198,0.3931388,1700.0,1766.5,False,False,False
-99.11889572411444,19.420004390916844,Venustiano Carranza,bosque,bosque,0.38448948,0.6097466,1691.5,2064.5,False,False,False
-99.1179075773019,19.420812874672556,Venustiano Carranza,bosque,bosque,0.31498808,0.7323106,1792.0,2766.5,False,False,False
-99.08017833536888,19.447223344025662,Venustiano Carranza,bosque,bosque,0.42368343,0.54611135,2392.5,1819.0,False,False,False
-99.05412719212944,19.43401810934911,Venustiano Carranza,pastizal,bosque,0.19643095,0.45720795,2246.0,2239.0,True,False,True
-99.1187160610576,19.420363717030494,Venustiano Carranza,bosque,bosque,0.390225,0.5139807,1792.0,2233.5,False,False,False
-99.05358820295896,19.43437743546276,Venustiano Carranza,pastizal,bosque,0.25442177,0.3110285,1844.0,1587.0,True,False,True
-99.07981900925525,19.446774186383607,Venustiano Carranza,bosque,bosque,0.44808266,0.60996443,2067.5,2262.0,False,False,False
-99.11799740883032,19.42054338008732,Venustiano Carranza,bosque,bosque,0.35044384,0.54283684,1749.5,2170.0,False,False,False
-99.11952454481332,19.42063321161573,Venustiano Carranza,bosque,bosque,0.40795353,0.5746438,1575.5,1906.5,False,False,False
-99.11880589258602,19.420094222445258,Venustiano Carranza,bosque,bosque,0.3745223,0.6110355,1618.5,2073.0,False,False,False
-99.08017833536888,19.446684354855197,Venustiano Carranza,bosque,bosque,0.53768194,0.60480046,2958.5,2875.0,False,False,False
-99.11880589258602,19.419555233274785,Venustiano Carranza,bosque,bosque,0.45415878,0.5643702,1538.5,1686.0,False,False,False
-99.05331870837372,19.434287603934347,Venustiano Carranza,pastizal,bosque,0.254524,0.28153718,1594.5,1534.0,True,False,True
-99.11898555564284,19.41946540174637,Venustiano Carranza,bosque,bosque,0.37899888,0.56927025,1832.0,2752.5,False,False,False
-99.11925505022808,19.42027388550208,Venustiano Carranza,bosque,bosque,0.2819237,0.38662446,1546.0,1752.0,False,False,False
-99.106588804722,19.409943259734707,Venustiano Carranza,bosque,bosque,0.4492875,0.6967841,1729.0,1939.0,False,False,False
-99.07999867231206,19.447223344025662,Venustiano Carranza,bosque,bosque,0.4244429,0.5950486,2045.5,1804.0,False,False,False
-99.054037360601,19.433838446292285,Venustiano Carranza,pastizal,bosque,0.28760463,0.4596888,2384.0,2064.0,True,False,True
