lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.27655005647742,19.318404932282927,2016,bosque,dynamic_world,749.0,712.5,581.0,2097.0,1672.0,909.5,0.5660941,-0.4927923
-99.28724000835844,19.299001322145944,2016,bosque,dynamic_world,615.5,537.5,348.0,1841.5,912.0,406.5,0.6821192,-0.54812944
-99.31158435255807,19.263517868423225,2016,bosque,dynamic_world,633.5,577.0,442.0,1804.0,1234.5,666.0,0.6064114,-0.5153297
-99.30215204207482,19.304211550793838,2016,bosque,dynamic_world,592.5,493.5,321.0,1340.5,866.0,458.0,0.61360216,-0.46183205
-99.30035541150659,19.316518470186278,2016,bosque,dynamic_world,623.0,560.0,411.0,1768.5,1105.0,492.0,0.6228493,-0.5190036
-99.30017574844976,19.314542176561215,2016,bosque,dynamic_world,1046.5,985.0,985.0,2280.5,1423.0,838.0,0.39672333,-0.39672333
-99.31571660286502,19.260912754099277,2016,bosque,dynamic_world,589.0,511.0,354.0,1923.5,1007.5,491.0,0.6891328,-0.58020127
-99.28436539944926,19.29675553393565,2016,bosque,dynamic_world,582.5,487.0,326.0,1418.0,823.0,419.0,0.6261468,-0.48871392
-99.30394867264306,19.26612298274717,2016,bosque,dynamic_world,715.0,702.5,586.0,2126.0,1553.0,885.5,0.5678466,-0.50327027
-99.29703164495534,19.314542176561215,2016,bosque,dynamic_world,597.5,514.5,352.5,1560.0,788.0,380.5,0.6313726,-0.5039769
-99.24537851611846,19.346342537619044,2016,bosque,dynamic_world,875.0,793.0,802.0,1395.0,1782.0,1196.0,0.26991352,-0.2751371
-99.32038784234244,19.247348193309072,2016,bosque,dynamic_world,837.5,863.5,881.5,2177.0,1687.0,981.5,0.42357364,-0.43200132
-99.29406720451775,19.28166383716244,2016,bosque,dynamic_world,561.0,434.0,262.0,1272.5,692.5,300.5,0.6585207,-0.49135658
-99.29092310102332,19.2776214183839,2016,bosque,dynamic_world,644.0,579.0,405.5,2246.5,1184.0,559.5,0.69419307,-0.590161
-99.21142219837876,19.35388838600565,2016,bosque,dynamic_world,931.5,886.0,861.5,1801.5,1859.0,1201.5,0.35298535,-0.34065115
-99.2809518013696,19.294869071838995,2016,bosque,dynamic_world,591.0,467.5,310.5,1508.0,868.0,395.0,0.65850973,-0.5267021
-99.29227057394951,19.312386219879325,2016,bosque,dynamic_world,634.5,544.5,356.5,2067.0,978.5,472.0,0.7057974,-0.5829983
-99.3102368796319,19.272411189736008,2016,bosque,dynamic_world,764.5,789.0,747.5,2337.5,1777.5,965.0,0.5153971,-0.49528226
-99.30287069430211,19.291185979174106,2016,bosque,dynamic_world,613.5,583.0,422.0,1762.0,1085.5,533.0,0.6135531,-0.50277185
-99.28643152460273,19.275375630173603,2016,bosque,dynamic_world,641.5,618.0,442.5,1869.0,1222.5,610.0,0.6171317,-0.5030157
-99.32038784234244,19.262080563968635,2016,bosque,dynamic_world,596.0,528.5,379.0,1902.5,1075.5,529.5,0.66776246,-0.5651995
-99.30242153666006,19.28642490816827,2016,bosque,dynamic_world,733.0,753.0,669.5,2021.0,1779.5,1035.0,0.502323,-0.45710167
-99.28562304084703,19.289389348605866,2016,bosque,dynamic_world,601.0,564.0,349.5,2023.0,946.5,438.5,0.70537406,-0.5639737
-99.30987755351825,19.291096147645693,2016,bosque,dynamic_world,849.0,845.5,875.0,1847.5,1818.5,1099.0,0.35720846,-0.37207577
-99.273405952983,19.302145425640365,2016,bosque,dynamic_world,711.0,602.5,438.0,1854.0,935.0,502.0,0.6178011,-0.5094647
-99.25642779411314,19.366195305398087,2016,bosque,dynamic_world,855.0,733.0,596.0,1843.5,1529.0,787.0,0.5113753,-0.43101105
-99.2944265306314,19.302235257168775,2016,bosque,dynamic_world,622.5,559.0,342.5,2187.0,950.5,410.0,0.7291955,-0.59286237
-99.25597863647108,19.345713716920162,2016,bosque,dynamic_world,789.0,658.5,534.0,1554.0,1414.0,680.0,0.48850575,-0.40474576
-99.30403850417147,19.267650118730174,2016,bosque,dynamic_world,605.5,564.5,365.0,2039.0,970.5,451.0,0.6963394,-0.56635296
-99.30808092295001,19.27753158685549,2016,bosque,dynamic_world,602.0,560.5,373.0,1212.0,569.0,291.5,0.5293375,-0.36755994
-99.2900247857392,19.283909625372736,2016,bosque,dynamic_world,607.5,527.0,317.5,1615.5,717.0,327.0,0.6714951,-0.50805134
-99.31122502644443,19.258487302832155,2016,bosque,dynamic_world,592.0,542.5,349.5,1862.0,1290.5,628.0,0.6839249,-0.54876274
-99.29550450897234,19.279058722838492,2016,bosque,dynamic_world,579.0,507.0,325.5,1578.5,844.0,403.5,0.6580882,-0.51378566
-99.25597863647108,19.351373103210115,2016,bosque,dynamic_world,855.0,766.0,693.5,1494.5,1312.0,889.0,0.36608776,-0.32227382
-99.32110649456975,19.261631406326572,2016,bosque,dynamic_world,784.0,791.0,775.5,1950.0,1874.0,1138.5,0.4309301,-0.4228384
-99.22453760152689,19.392785437808023,2016,bosque,dynamic_world,1034.5,998.5,1003.0,1817.0,1635.0,1073.0,0.28865248,-0.29071212
-99.29020444879603,19.284807940656858,2016,bosque,dynamic_world,610.0,544.0,353.0,2220.5,967.5,402.5,0.72566545,-0.60643876
-99.28795866058573,19.277980744497548,2016,bosque,dynamic_world,581.5,483.5,294.0,1534.0,755.5,317.5,0.678337,-0.52069396
-99.22669355820878,19.369519071949327,2016,bosque,dynamic_world,838.0,740.0,626.0,1539.0,1143.5,674.5,0.421709,-0.35059237
-99.31490811910932,19.277980744497548,2016,bosque,dynamic_world,818.0,790.5,733.0,1965.0,1428.0,804.5,0.45663455,-0.42623842
-99.29173158477903,19.30942177944173,2016,bosque,dynamic_world,595.5,509.0,324.5,1676.5,878.5,394.5,0.67566216,-0.5342027
-99.29667231884169,19.297653849219767,2016,bosque,dynamic_world,688.5,680.0,533.5,1865.0,1260.0,682.5,0.55513865,-0.46561885
-99.32290312513798,19.2430362799453,2016,bosque,dynamic_world,703.5,718.5,643.5,1768.5,1371.5,698.0,0.4664179,-0.4221954
-99.29604349814281,19.304391213850664,2016,bosque,dynamic_world,581.5,489.5,288.5,1543.5,757.0,334.0,0.6850437,-0.5184457
-99.29514518285869,19.278699396724846,2016,bosque,dynamic_world,604.0,550.0,354.0,1970.5,861.0,491.0,0.69541836,-0.56357867
-99.29945709622247,19.268997591656355,2016,bosque,dynamic_world,589.0,537.5,348.5,1757.0,906.0,469.0,0.66896224,-0.53148836
-99.31616576050709,19.257229661434387,2016,bosque,dynamic_world,605.5,551.0,374.5,2147.5,1011.0,458.5,0.7030135,-0.591625
-99.31688441273438,19.261092417156103,2016,bosque,dynamic_world,623.0,611.5,430.5,2214.5,1342.5,659.0,0.67448014,-0.56723285
-99.29182141630744,19.288760527906984,2016,bosque,dynamic_world,630.5,590.5,401.0,2341.0,1096.0,507.5,0.70751274,-0.5971346
-99.27277713228412,19.32361516093082,2016,bosque,dynamic_world,723.5,658.5,481.0,1905.0,1455.0,709.5,0.59681475,-0.48624927
-99.28283826346625,19.282651983974972,2016,bosque,dynamic_world,683.0,661.0,438.5,2299.0,1180.0,554.0,0.6796347,-0.5533784
-99.29245023700634,19.28678423428192,2016,bosque,dynamic_world,613.5,549.0,353.5,2295.0,919.0,394.0,0.7330564,-0.613924
-99.28831798669938,19.286514739696685,2016,bosque,dynamic_world,674.0,626.5,491.0,1773.0,1188.5,553.5,0.56625444,-0.47780788
-99.31913020094468,19.26064325951404,2016,bosque,dynamic_world,593.5,537.0,355.0,2344.0,1007.0,449.0,0.7369396,-0.62721276
-99.30206221054641,19.2858859189978,2016,bosque,dynamic_world,708.5,711.5,640.0,1981.5,1728.5,1019.5,0.5117299,-0.47159302
-99.31787255954691,19.245102405098773,2016,bosque,dynamic_world,803.5,799.0,791.5,1933.5,1909.5,1301.5,0.41908258,-0.41518757
-99.29586383508598,19.30475053996431,2016,bosque,dynamic_world,560.0,451.5,295.5,1621.5,803.0,347.0,0.69170576,-0.5643994
-99.2584040877382,19.348228999715694,2016,bosque,dynamic_world,1038.0,940.0,967.5,1160.0,1131.5,830.0,0.09048179,-0.104761906
-99.31032671116031,19.303133572452897,2016,bosque,dynamic_world,608.5,578.0,350.5,2133.5,930.5,433.0,0.7177939,-0.5736677
