lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.15590631382017,19.37149536557439,2016,bosque,dynamic_world,834.5,773.5,570.0,2367.0,1422.0,760.0,0.61184883,-0.50740325
-99.15725378674634,19.372932670028984,2016,bosque,dynamic_world,832.0,766.5,543.0,1898.0,1213.0,601.0,0.5551004,-0.42465752
-99.17764554369586,19.379490371603055,2016,bosque,dynamic_world,826.5,731.5,560.0,1847.0,1106.0,605.0,0.5346905,-0.43261588
-99.17710655452538,19.37571744740975,2016,bosque,dynamic_world,826.5,755.5,549.5,2572.0,1365.5,669.5,0.6479257,-0.54590535
-99.165248792775,19.359547772295603,2016,bosque,dynamic_world,833.0,743.0,604.5,1704.5,1106.0,634.0,0.4763967,-0.39284983
-99.16551828736024,19.35909861465354,2016,bosque,dynamic_world,885.0,768.0,726.5,2029.0,1257.5,786.0,0.47269097,-0.45084018
-99.16453014054771,19.35909861465354,2016,bosque,dynamic_world,846.0,789.5,628.0,2072.0,1293.0,763.5,0.53481483,-0.4481915
-99.16461997207612,19.359368109238776,2016,bosque,dynamic_world,1005.0,932.5,866.0,2108.0,1432.5,898.5,0.41761938,-0.38661405
-99.16497929818978,19.35864945701148,2016,bosque,dynamic_world,794.5,719.0,514.5,2266.0,1186.0,599.5,0.6299227,-0.518258
-99.1780048698095,19.378592056318936,2016,bosque,dynamic_world,841.5,756.0,554.0,1654.5,1029.0,532.5,0.498302,-0.37274423
-99.17674722841174,19.37553778435293,2016,bosque,dynamic_world,900.0,771.0,658.5,1601.5,1227.5,722.0,0.41725662,-0.35005268
-99.17836419592315,19.378142898676877,2016,bosque,dynamic_world,808.5,737.0,502.0,1716.0,1101.5,567.0,0.5473399,-0.39910313
-99.16470980360454,19.359637603824012,2016,bosque,dynamic_world,1018.5,963.5,915.5,2523.5,1408.0,897.0,0.4675778,-0.44737595
-99.17971166884934,19.378502224790523,2016,bosque,dynamic_world,839.0,749.5,557.0,2116.5,1217.5,619.5,0.58331776,-0.4769714
-99.1561758084054,19.370776713347094,2016,bosque,dynamic_world,863.0,831.5,699.5,2268.0,1392.0,787.5,0.5285594,-0.46346185
-99.17755571216745,19.389192176671546,2016,bosque,dynamic_world,872.5,780.5,591.5,2175.5,1251.5,645.0,0.5724611,-0.4719215
