lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.19219825129859,19.313284535163447,2024,bosque,dynamic_world,409.5,549.0,670.5,1358.0,1768.0,1331.0,0.33892038,-0.42422652
-99.12293814289298,19.319482910623872,2024,bosque,dynamic_world,300.5,462.0,446.0,2279.0,1211.0,668.5,0.6726605,-0.66289675
-99.17216582046272,19.35541552198865,2024,bosque,dynamic_world,246.0,425.0,288.0,2148.5,1336.0,680.5,0.76359534,-0.6697105
-99.1358738829843,19.353708722948824,2024,bosque,dynamic_world,373.5,579.0,586.5,2431.0,1606.0,1014.0,0.6112676,-0.6152824
-99.18510156055405,19.319303247567046,2024,bosque,dynamic_world,422.0,520.0,612.5,1221.0,1699.0,1295.5,0.33187893,-0.40264216
-99.13686202979683,19.354607038232945,2024,bosque,dynamic_world,331.5,468.0,420.5,1875.0,1319.0,746.0,0.633631,-0.60051215
-99.17881335356522,19.31301504057821,2024,bosque,dynamic_world,715.5,988.5,1433.5,2159.0,2922.5,2030.0,0.20194851,-0.37188244
-99.13982647023442,19.35065445098282,2024,bosque,dynamic_world,517.0,983.5,573.5,5501.5,2056.0,990.5,0.8111934,-0.69668466
-99.18312526692898,19.321459204248935,2024,bosque,dynamic_world,410.5,511.5,632.0,1311.5,1632.5,1238.5,0.34962696,-0.43883708
-99.1750404293719,19.35397821753406,2024,bosque,dynamic_world,247.5,382.0,319.0,1723.5,934.5,572.5,0.6876377,-0.6371408
-99.16947087461037,19.354517206704532,2024,bosque,dynamic_world,324.5,533.5,486.0,2487.5,1477.5,835.0,0.6731125,-0.6468057
-99.17773537522427,19.313643861277093,2024,bosque,dynamic_world,468.0,651.0,876.0,1603.5,2092.0,1519.0,0.29340592,-0.42248836
-99.18267610928693,19.314721839618038,2024,bosque,dynamic_world,417.0,589.0,646.5,1471.5,1921.5,1393.5,0.3895184,-0.4282941
-99.1712675051786,19.356493500329595,2024,bosque,dynamic_world,266.0,414.5,299.5,2416.0,1200.0,574.0,0.7794145,-0.70711887
-99.19363555575319,19.312386219879325,2024,bosque,dynamic_world,397.5,530.0,640.5,1453.5,1721.5,1269.0,0.38825214,-0.46559113
-99.1404552909333,19.353259565306765,2024,bosque,dynamic_world,265.5,459.0,294.0,2178.0,1439.5,774.5,0.7621359,-0.6518771
-99.1734234618605,19.319572742152282,2024,bosque,dynamic_world,278.5,462.0,389.0,2206.0,1538.5,993.0,0.7001927,-0.6536732
-99.1967796592476,19.30888279027126,2024,bosque,dynamic_world,304.0,369.0,461.0,990.0,1539.0,1150.0,0.36457616,-0.45695364
-99.1193448817565,19.318315100754514,2024,bosque,dynamic_world,269.5,471.0,364.5,2995.0,1411.5,740.0,0.78300345,-0.72821695
-99.19327622963954,19.31795577464087,2024,bosque,dynamic_world,420.5,563.5,645.0,1484.5,1840.0,1276.0,0.394224,-0.44970703
-99.20028308885567,19.309152284856495,2024,bosque,dynamic_world,397.0,505.0,531.0,1221.0,1311.5,933.5,0.3938356,-0.414832
-99.14099428010378,19.35299007072153,2024,bosque,dynamic_world,377.0,623.5,439.0,3903.0,1746.0,854.5,0.79778904,-0.7245112
-99.13704169285366,19.355864679630713,2024,bosque,dynamic_world,434.0,729.5,606.0,4228.0,1900.0,1091.5,0.749276,-0.70569843
-99.13856882883665,19.35110360862488,2024,bosque,dynamic_world,268.5,458.0,307.0,2536.0,1419.0,712.0,0.784031,-0.6940548
-99.18519139208246,19.318315100754514,2024,bosque,dynamic_world,440.0,556.5,630.0,1312.5,1645.5,1243.0,0.35135135,-0.40449437
-99.17279464116162,19.319213416038636,2024,bosque,dynamic_world,399.0,568.5,564.0,1771.5,1026.5,636.5,0.5170199,-0.5141026
-99.19633050160554,19.30555902372002,2024,bosque,dynamic_world,348.5,449.5,563.0,1188.5,1657.0,1200.5,0.35712248,-0.45115995
-99.14153326927425,19.348947651942993,2024,bosque,dynamic_world,248.0,368.0,328.0,1448.5,1293.0,773.0,0.63073456,-0.5948252
-99.17288447269003,19.356044342687536,2024,bosque,dynamic_world,366.0,521.0,531.0,2298.0,1547.5,933.0,0.6246023,-0.6303654
-99.18941347391782,19.324243981629703,2024,bosque,dynamic_world,404.0,502.0,483.0,1183.0,1365.0,977.5,0.42016807,-0.4041543
-99.1914795990713,19.31615914407263,2024,bosque,dynamic_world,565.5,687.0,861.0,1518.0,2214.5,1653.0,0.27616647,-0.37687075
-99.1696505376672,19.355056195875004,2024,bosque,dynamic_world,235.5,417.5,304.5,2586.5,1396.0,802.5,0.7893462,-0.72203726
-99.1396468071776,19.35388838600565,2024,bosque,dynamic_world,241.5,378.0,261.0,1997.0,1270.0,606.0,0.76882195,-0.6816842
-99.17369295644573,19.354607038232945,2024,bosque,dynamic_world,363.5,525.0,589.0,2001.5,1638.0,1058.5,0.54526156,-0.5844053
-99.19354572422478,19.318045606169278,2024,bosque,dynamic_world,471.5,622.0,760.5,1475.5,1801.5,1312.5,0.31976745,-0.40691298
-99.13901798647872,19.347240852903163,2024,bosque,dynamic_world,376.5,668.0,407.5,4116.0,1663.5,804.0,0.81982976,-0.7207358
-99.1404552909333,19.35254091307947,2024,bosque,dynamic_world,273.5,444.5,377.5,2364.5,1419.0,735.0,0.72465354,-0.6835173
-99.18348459304264,19.314721839618038,2024,bosque,dynamic_world,502.0,631.5,770.0,1435.5,1931.5,1460.5,0.30174562,-0.3889695
-99.18968296850306,19.316877796299924,2024,bosque,dynamic_world,451.5,564.0,657.5,1331.5,1763.0,1297.5,0.33886376,-0.40490636
-99.19291690352588,19.314093018919152,2024,bosque,dynamic_world,463.5,605.0,726.5,1378.5,1815.5,1333.5,0.30973873,-0.38996723
-99.17746588063903,19.31481167114645,2024,bosque,dynamic_world,433.5,544.5,680.5,1268.0,1797.0,1389.5,0.301514,-0.39917243
-99.14000613329125,19.352810407664705,2024,bosque,dynamic_world,394.0,647.0,458.5,3551.5,1747.5,848.5,0.7713217,-0.6917947
-99.18501172902563,19.31993206826593,2024,bosque,dynamic_world,384.5,498.5,580.0,1339.5,1633.0,1236.5,0.39567596,-0.45756257
-99.1696505376672,19.353259565306765,2024,bosque,dynamic_world,241.0,417.5,290.0,2206.0,1179.0,640.5,0.7676282,-0.6817229
-99.19085077837241,19.311487904595207,2024,bosque,dynamic_world,426.0,531.0,667.0,1293.5,1751.0,1342.5,0.31956133,-0.4179227
-99.1982169637022,19.3061878444189,2024,bosque,dynamic_world,357.5,465.0,513.0,1465.0,1393.5,934.0,0.48129424,-0.5181347
-99.1388383234219,19.354607038232945,2024,bosque,dynamic_world,313.5,512.5,413.5,2712.0,1800.0,865.0,0.73540235,-0.6821213
-99.19947460509997,19.309062453328085,2024,bosque,dynamic_world,477.5,589.0,768.0,1396.0,1850.0,1401.5,0.29020333,-0.40654913
-99.17737604911062,19.314003187390743,2024,bosque,dynamic_world,462.0,676.0,873.0,1913.0,2168.0,1503.5,0.37329504,-0.47779065
