lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.33745583274072,19.265494162048288,2016,bosque,dynamic_world,698.5,687.0,620.0,1826.5,1382.0,760.0,0.49315348,-0.45335189
-99.33440156077471,19.256061851565033,2016,bosque,dynamic_world,681.0,632.0,556.0,1730.0,1525.0,960.0,0.51356083,-0.4648603
-99.32505908181987,19.334754270453903,2016,bosque,dynamic_world,661.5,614.5,452.0,2114.5,1452.0,801.0,0.64776933,-0.54965186
-99.32964048976888,19.2573194929628,2016,bosque,dynamic_world,773.5,768.5,757.5,1837.5,1774.0,1072.5,0.41618496,-0.4102072
-99.32056750539927,19.288491033321748,2016,bosque,dynamic_world,605.0,565.0,351.5,2122.0,1053.0,480.5,0.71578735,-0.5794566
-99.29433669910298,19.322986340231935,2016,bosque,dynamic_world,672.0,589.0,453.5,1884.0,1473.5,766.5,0.6119786,-0.5236555
-99.34985258366157,19.27564512475884,2016,bosque,dynamic_world,594.5,522.5,340.5,1769.0,749.0,314.0,0.6771747,-0.5439668
-99.35227803492869,19.308164138043963,2016,bosque,dynamic_world,621.5,592.5,373.5,2158.0,1010.0,458.5,0.704918,-0.5691692
-99.333593077019,19.290197832361574,2016,bosque,dynamic_world,810.5,811.0,769.0,2024.5,1356.5,778.5,0.4494362,-0.42796686
-99.36386630209384,19.27851973366802,2016,bosque,dynamic_world,626.5,551.0,390.5,1864.5,925.5,444.0,0.6536585,-0.54377973
-99.33404223466107,19.304840371492723,2016,bosque,dynamic_world,579.5,470.5,325.0,1296.0,1046.5,526.0,0.599013,-0.46730822
-99.32550823946193,19.31624897560104,2016,bosque,dynamic_world,943.0,1007.5,886.5,2253.5,1448.5,994.5,0.43535033,-0.38209137
-99.31607592897868,19.31301504057821,2016,bosque,dynamic_world,615.0,508.5,332.0,1624.0,939.0,416.5,0.6605317,-0.52309495
-99.32964048976888,19.29271311515711,2016,bosque,dynamic_world,571.5,501.5,349.5,1506.0,1003.0,524.5,0.62328213,-0.5003736
-99.32425059806417,19.31427268197598,2016,bosque,dynamic_world,625.5,534.5,373.0,1283.0,918.5,455.0,0.5495169,-0.41182944
-99.33808465343961,19.278160407554374,2016,bosque,dynamic_world,630.0,583.5,407.5,2201.0,1061.5,496.0,0.6875599,-0.58089423
-99.33395240313266,19.281574005634027,2016,bosque,dynamic_world,631.5,586.5,491.0,1757.5,1189.0,671.0,0.56326437,-0.49957338
-99.30861991212048,19.305469192191605,2016,bosque,dynamic_world,615.5,551.0,354.0,1987.5,1099.0,524.5,0.69762975,-0.56588537
-99.3155369398082,19.31570998643057,2016,bosque,dynamic_world,673.5,630.0,507.0,2145.0,1181.0,568.5,0.61764705,-0.54594594
-99.32182514679704,19.338437363118793,2016,bosque,dynamic_world,701.5,681.5,524.0,2156.0,1428.5,660.0,0.6089552,-0.5196476
-99.31463862452408,19.306726833589373,2016,bosque,dynamic_world,604.5,532.0,348.5,1775.0,1166.5,570.0,0.6717683,-0.538795
