lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.15276221032575,19.405092357200463,2016,bosque,dynamic_world,1342.0,1252.0,1338.0,1477.5,1524.0,1273.0,0.04954715,-0.08261587
-99.17162683129226,19.415872140609896,2016,bosque,dynamic_world,917.0,785.0,703.5,1421.5,1025.0,670.5,0.33788234,-0.2884659
-99.15339103102463,19.404373704973164,2016,bosque,dynamic_world,921.5,842.0,744.0,1589.0,900.0,777.5,0.3621946,-0.30728096
-99.15258254726892,19.405900840956168,2016,bosque,dynamic_world,867.5,781.0,604.5,1405.5,996.5,639.0,0.39850748,-0.28561628
-99.15752328133158,19.41003309126312,2016,bosque,dynamic_world,834.5,739.0,572.5,1570.0,1095.0,655.0,0.4655776,-0.35989606
-99.16857255932625,19.41272803711548,2016,bosque,dynamic_world,847.5,809.5,621.0,2214.0,1167.0,591.5,0.5619048,-0.46452788
-99.16857255932625,19.412997531700714,2016,bosque,dynamic_world,846.0,747.5,558.0,2066.5,1046.0,528.5,0.5747762,-0.4687278
-99.15348086255304,19.406080504012994,2016,bosque,dynamic_world,996.0,969.0,813.0,1475.5,1194.0,906.0,0.28949094,-0.20719984
-99.15680462910429,19.409763596677884,2016,bosque,dynamic_world,797.0,713.5,538.0,1698.5,1067.0,557.0,0.5188911,-0.4083748
-99.16938104308196,19.413087363229124,2016,bosque,dynamic_world,842.0,789.5,561.0,2056.0,1212.5,629.0,0.5712648,-0.44508874
-99.15716395521792,19.410302585848356,2016,bosque,dynamic_world,828.0,723.5,584.5,1588.0,1149.0,602.5,0.46191025,-0.37399957
-99.15716395521792,19.41012292279153,2016,bosque,dynamic_world,833.5,761.5,553.5,2223.0,1191.5,666.0,0.6012966,-0.48969677
-99.16839289626942,19.41335685781436,2016,bosque,dynamic_world,838.0,782.5,564.0,2739.0,1251.5,626.5,0.65849227,-0.5555871
-99.15294187338257,19.406260167069817,2016,bosque,dynamic_world,937.5,871.0,759.5,1528.5,1073.0,694.0,0.3361014,-0.27401543
-99.16228435233741,19.429616364456923,2016,bosque,dynamic_world,988.5,897.0,866.5,1470.5,958.5,689.0,0.258451,-0.24223866
-99.15410968325192,19.4046431995584,2016,bosque,dynamic_world,933.0,902.0,736.0,1451.0,942.0,674.0,0.32693186,-0.23331916
-99.15752328133158,19.409763596677884,2016,bosque,dynamic_world,840.5,721.0,548.5,1644.0,1067.5,609.5,0.49965793,-0.39027485
-99.17072851600814,19.415872140609896,2016,bosque,dynamic_world,814.5,768.0,567.0,1995.0,1147.5,542.5,0.55737704,-0.44408253
-99.15554698770651,19.41003309126312,2016,bosque,dynamic_world,793.5,710.0,501.0,2022.0,1192.5,579.0,0.6028538,-0.48023427
-99.16938104308196,19.412458542530242,2016,bosque,dynamic_world,1776.0,1679.0,1693.0,2057.0,716.0,387.0,0.09706666,-0.10117773
-99.15330119949621,19.405361851785695,2016,bosque,dynamic_world,1352.0,1239.0,1294.5,1434.0,1300.0,973.0,0.051126994,-0.07295174
-99.15249271574051,19.4046431995584,2016,bosque,dynamic_world,831.0,739.5,571.5,1520.0,967.5,582.5,0.45350227,-0.3454304
-99.15419951478033,19.406170335541404,2016,bosque,dynamic_world,1039.5,997.5,882.5,1407.5,1001.0,869.0,0.22925764,-0.17047817
-99.15527749312128,19.41012292279153,2016,bosque,dynamic_world,828.5,750.5,541.5,1775.0,1152.0,578.0,0.53248435,-0.40566224
-99.15437917783716,19.406349998598227,2016,bosque,dynamic_world,874.0,778.0,613.0,1356.0,938.0,658.5,0.3773489,-0.27085286
-99.1689318854399,19.41380601545642,2016,bosque,dynamic_world,841.0,776.5,532.0,2195.0,1262.5,581.0,0.60982764,-0.47736832
-99.15294187338257,19.406349998598227,2016,bosque,dynamic_world,911.5,872.0,747.0,1439.0,1073.0,694.0,0.31655994,-0.24534833
-99.17117767365019,19.4151534883826,2016,bosque,dynamic_world,814.5,744.5,498.5,2268.5,1205.5,552.5,0.639682,-0.5058082
-99.15437917783716,19.404463536501577,2016,bosque,dynamic_world,1074.0,1028.0,958.5,1535.5,1039.0,722.0,0.23135525,-0.19797152
-99.15384018866669,19.405361851785695,2016,bosque,dynamic_world,1153.5,991.0,1093.5,1450.0,1185.5,955.0,0.1401612,-0.1880377
-99.17117767365019,19.415243319911013,2016,bosque,dynamic_world,821.5,698.5,502.5,1949.0,1140.5,513.0,0.5900469,-0.4723324
-99.15608597687698,19.408595786808526,2016,bosque,dynamic_world,860.5,796.0,703.5,1570.0,1010.5,713.0,0.38113043,-0.3271344
-99.16866239085466,19.41236871100183,2016,bosque,dynamic_world,858.5,795.5,606.5,2407.5,1258.5,601.5,0.5975448,-0.5032782
-99.15384018866669,19.405272020257286,2016,bosque,dynamic_world,1071.5,944.0,978.0,1473.0,1066.0,922.0,0.20195839,-0.21886636
-99.17162683129226,19.41434500462689,2016,bosque,dynamic_world,811.5,699.0,540.0,1727.5,1150.5,591.0,0.5237045,-0.42386153
