lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.1178177457735,19.57568242965476,2016,bosque,dynamic_world,863.0,852.0,835.0,1718.0,1383.0,975.5,0.3458676,-0.336965
-99.11970420787014,19.560680564409964,2016,bosque,dynamic_world,1063.5,886.5,938.5,1665.0,1781.0,1192.0,0.27904743,-0.30511463
-99.12401612123392,19.57343664144446,2016,bosque,dynamic_world,801.0,664.0,606.0,1073.5,1280.0,890.5,0.27835664,-0.23568346
-99.12473477346121,19.585114740138014,2016,bosque,dynamic_world,880.0,792.5,834.5,1462.0,1722.5,1089.0,0.27324188,-0.29696164
-99.11539229450638,19.55816528161443,2016,bosque,dynamic_world,2065.5,1505.5,1156.0,2275.0,1638.0,889.5,0.32614398,-0.2035445
-99.12284831136456,19.585563897780073,2016,bosque,dynamic_world,776.5,711.0,597.0,1975.5,1496.5,846.0,0.53586006,-0.47068676
-99.12042286009745,19.592031767825734,2016,bosque,dynamic_world,758.0,652.0,562.5,1430.0,1436.0,854.5,0.4353827,-0.37367916
-99.11772791424508,19.560680564409964,2016,bosque,dynamic_world,834.0,724.0,933.5,1410.5,1542.0,864.5,0.20349829,-0.321621
-99.11539229450638,19.578287543978703,2016,bosque,dynamic_world,759.5,657.5,545.5,1467.0,1173.5,718.0,0.4578882,-0.38103083
-99.12284831136456,19.589426653501786,2016,bosque,dynamic_world,693.0,598.5,438.5,1513.5,1004.5,508.0,0.55071723,-0.43323863
-99.13659253521159,19.496001863953357,2016,bosque,dynamic_world,1076.5,1101.0,1179.0,2489.0,1905.0,1237.5,0.35714287,-0.38662952
-99.11961437634173,19.562926352620263,2016,bosque,dynamic_world,969.0,968.5,911.0,1353.5,1346.5,908.0,0.19540738,-0.16580534
-99.1216805014952,19.566699276813562,2016,bosque,dynamic_world,832.5,699.0,686.0,1070.5,1472.0,1074.5,0.21890122,-0.20994632
-99.12069235468267,19.552505895324476,2016,bosque,dynamic_world,1770.0,1565.0,1668.0,2237.5,2477.0,2035.0,0.14581999,-0.17685734
-99.12500426804645,19.582958783456128,2016,bosque,dynamic_world,776.0,668.5,652.0,1486.0,1289.0,780.0,0.39008418,-0.37943837
-99.1238364581771,19.585114740138014,2016,bosque,dynamic_world,769.0,717.0,567.5,1918.5,1461.0,733.5,0.54344326,-0.45589072
-99.1148533053359,19.491689950589585,2016,bosque,dynamic_world,825.5,696.0,611.0,1139.5,1121.0,831.0,0.30191374,-0.24162354
-99.10910408751754,19.495462874782884,2016,bosque,dynamic_world,822.0,709.5,601.5,1090.5,1381.5,897.5,0.2890071,-0.21166667
-99.1170990935462,19.577299397166172,2016,bosque,dynamic_world,813.5,733.0,728.0,1527.0,1369.5,826.0,0.35432371,-0.35132742
-99.11979403939856,19.588887664331317,2016,bosque,dynamic_world,738.5,626.0,525.5,1527.0,1425.0,856.5,0.48794153,-0.41848582
-99.13641287215476,19.501751081771722,2016,bosque,dynamic_world,810.0,736.5,589.0,2288.0,1457.0,959.5,0.5905457,-0.51297736
