lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.0914971079488,19.404373704973164,2016,bosque,dynamic_world,1024.0,940.5,1020.0,1438.5,1508.0,1118.5,0.17022575,-0.20933165
-99.08727502611343,19.40419404191634,2016,bosque,dynamic_world,1246.5,1300.0,1568.5,2852.0,2451.5,1715.5,0.29035178,-0.37379575
-99.08718519458502,19.40356522121746,2016,bosque,dynamic_world,998.5,950.5,1043.0,1819.0,1891.0,1312.5,0.27113906,-0.31359452
-99.0960785158978,19.39539055213197,2016,bosque,dynamic_world,861.0,750.5,609.5,1653.0,1166.5,647.5,0.46121547,-0.37549406
-99.08655637388614,19.406260167069817,2016,bosque,dynamic_world,1174.5,1239.0,1362.5,2592.0,2518.5,1711.5,0.31091163,-0.3531715
-99.09634801048304,19.395749878245617,2016,bosque,dynamic_world,862.0,796.0,635.0,1957.5,1194.5,622.5,0.51012534,-0.42182678
-99.08673603694297,19.403026232046987,2016,bosque,dynamic_world,1081.0,939.0,1009.5,1607.5,1624.0,1156.5,0.22850592,-0.26251718
-99.09598868436939,19.396019372830853,2016,bosque,dynamic_world,843.5,773.0,597.5,2367.0,1332.0,719.5,0.5968966,-0.5076433
-99.08727502611343,19.39583970977403,2016,bosque,dynamic_world,967.5,908.0,867.0,1931.0,1473.5,955.0,0.3802716,-0.36033815
-99.08790384681231,19.40365505274587,2016,bosque,dynamic_world,1047.0,972.5,1014.0,1494.0,1531.0,1110.0,0.19138756,-0.2114332
-99.09625817895463,19.39628886741609,2016,bosque,dynamic_world,879.0,824.0,670.0,2141.5,1215.0,688.0,0.5233861,-0.44427583
-99.09176660253402,19.403924547331105,2016,bosque,dynamic_world,900.5,798.5,771.0,1422.0,1384.5,909.5,0.29685363,-0.28079262
-99.09562935825575,19.396019372830853,2016,bosque,dynamic_world,891.0,803.0,651.5,2119.0,1301.0,745.5,0.52968776,-0.45037645
-99.09113778183514,19.404373704973164,2016,bosque,dynamic_world,963.5,895.5,814.5,2072.5,1236.0,852.0,0.43574646,-0.39656335
-99.0848495748463,19.405272020257286,2016,bosque,dynamic_world,1244.0,1260.0,1446.5,2342.5,2118.5,1682.5,0.236474,-0.30048576
-99.08691569999978,19.40365505274587,2016,bosque,dynamic_world,960.5,836.0,866.5,1483.0,1886.0,1354.0,0.26239625,-0.27899957
-99.0908682872499,19.40410421038793,2016,bosque,dynamic_world,943.5,765.5,707.0,1033.0,1101.0,874.0,0.18735632,-0.14873506
