lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.01684710783846,19.323794823987644,2016,bosque,dynamic_world,735.0,569.5,484.0,417.5,418.5,417.0,-0.07376595,0.15400203
-99.0931140754602,19.379670034659878,2016,bosque,dynamic_world,989.0,948.5,795.0,1964.0,1728.0,1174.5,0.42370424,-0.34866953
-99.09095811877832,19.344905233164454,2016,bosque,dynamic_world,1036.0,979.0,1114.0,1691.0,1907.5,1351.0,0.2057041,-0.26666668
-99.00166557953685,19.328555894993478,2016,bosque,dynamic_world,859.5,745.5,739.0,931.0,1079.5,901.5,0.11497006,-0.11064718
-99.03050150015707,19.37922087701782,2016,bosque,dynamic_world,974.5,919.0,965.0,1443.0,1775.0,1336.0,0.19850498,-0.2218459
-99.0110978900201,19.32810673735142,2016,bosque,dynamic_world,859.0,738.5,728.5,881.0,937.0,811.0,0.09474992,-0.08799012
-99.00337237857667,19.327567748180947,2016,bosque,dynamic_world,917.5,801.0,789.5,938.5,790.0,699.5,0.08622685,-0.079045705
-99.0923055917045,19.344456075522395,2016,bosque,dynamic_world,1029.5,999.5,1003.5,1530.0,1621.5,1218.0,0.20781527,-0.20972525
-99.01549963491229,19.32595078066953,2016,bosque,dynamic_world,1028.0,998.5,1097.5,1545.0,1514.0,1116.0,0.16934721,-0.21486141
-99.01496064574181,19.323884655516057,2016,bosque,dynamic_world,864.0,700.0,680.0,1021.5,1079.0,832.0,0.20070526,-0.18675573
-99.0127148575315,19.325681286084297,2016,bosque,dynamic_world,976.0,901.5,1011.0,1315.0,1332.0,1034.0,0.13069648,-0.18655539
-99.09131744489197,19.340952645914328,2016,bosque,dynamic_world,1094.0,1044.5,1145.5,1755.0,2150.5,1576.5,0.21013619,-0.25379533
-99.00480968303125,19.327567748180947,2016,bosque,dynamic_world,922.5,755.5,706.0,668.0,612.5,534.5,-0.027656477,0.061468214
-99.08736485764184,19.34292893953939,2016,bosque,dynamic_world,852.5,709.5,659.5,1207.0,1245.0,975.0,0.29332978,-0.2595878
