lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.20037292038408,19.415692477553073,2016,bosque,dynamic_world,1085.5,1064.0,1085.0,2069.0,2143.0,1446.0,0.31198478,-0.32077882
-99.20989506239574,19.403475389689046,2016,bosque,dynamic_world,934.0,832.5,759.5,1466.5,1555.0,1121.0,0.31761006,-0.27577206
-99.1810591417755,19.4196450648032,2016,bosque,dynamic_world,883.0,806.5,688.0,2009.5,1556.5,990.5,0.48989806,-0.42720172
-99.18150829941757,19.423417988996498,2016,bosque,dynamic_world,763.5,682.5,476.5,2050.0,1049.0,538.0,0.6227983,-0.50045747
-99.20396618152056,19.46842358473089,2016,bosque,dynamic_world,1089.0,1018.5,982.5,1639.5,1487.0,1096.5,0.2505721,-0.23363431
-99.1809693102471,19.426023103320446,2016,bosque,dynamic_world,793.5,703.0,562.0,1847.5,1139.5,626.5,0.5335132,-0.44873554
-99.20513399138991,19.412458542530242,2016,bosque,dynamic_world,1427.0,1412.5,1494.0,2348.0,1943.0,1327.0,0.22228006,-0.24877012
-99.2320834499135,19.419016244104313,2016,bosque,dynamic_world,944.5,845.0,869.0,1704.0,1301.0,772.0,0.3245239,-0.3369949
-99.18617953889499,19.41695011895084,2016,bosque,dynamic_world,761.5,677.5,496.5,1971.0,1060.0,488.0,0.5975684,-0.48838964
-99.21205101907763,19.409314439035825,2016,bosque,dynamic_world,912.5,869.5,869.0,1863.5,1810.0,1108.5,0.36395243,-0.3637029
-99.25211588074936,19.398804150211625,2016,bosque,dynamic_world,837.0,748.5,594.5,2383.5,1305.5,696.0,0.60073876,-0.52203065
-99.21465613340158,19.409134775979,2016,bosque,dynamic_world,842.0,735.0,662.0,1770.5,1473.0,842.0,0.455704,-0.41329077
-99.18591004430975,19.420902706200966,2016,bosque,dynamic_world,761.0,651.0,508.5,1505.0,1019.5,562.5,0.49490938,-0.3961039
-99.18591004430975,19.420453548558903,2016,bosque,dynamic_world,800.0,702.0,555.5,2051.5,1142.0,590.0,0.57383966,-0.4901035
-99.22265113943024,19.397456677285444,2016,bosque,dynamic_world,1003.0,990.0,1118.5,1803.5,1935.5,1263.0,0.23442848,-0.29121175
-99.19372538728159,19.422609505240793,2016,bosque,dynamic_world,1059.5,1041.5,1110.0,1861.5,1389.0,1069.0,0.25290257,-0.2824664
-99.21115270379352,19.409404270564234,2016,bosque,dynamic_world,912.0,794.0,752.0,1674.5,1440.5,895.5,0.3801772,-0.35669434
-99.18186762553121,19.417219613536076,2016,bosque,dynamic_world,789.5,711.0,452.0,2691.0,1248.5,540.0,0.7123767,-0.58201057
-99.20702045348656,19.464291334423937,2016,bosque,dynamic_world,1047.0,932.5,834.0,1708.0,1406.0,961.0,0.34382376,-0.29369438
-99.20594247514562,19.46393200831029,2016,bosque,dynamic_world,1002.5,937.5,896.5,1666.5,1713.0,1344.5,0.3004292,-0.27995393
-99.22624440056673,19.39763634034227,2016,bosque,dynamic_world,845.0,818.0,744.5,2326.5,1585.5,911.5,0.51514167,-0.4797265
-99.21232051366287,19.400780443836688,2016,bosque,dynamic_world,1139.5,1087.0,1194.0,2200.0,2266.0,1592.0,0.29640543,-0.33860663
-99.18573038125294,19.41784843423496,2016,bosque,dynamic_world,809.0,747.5,587.0,2115.0,1100.0,645.5,0.56550705,-0.47772926
-99.216273100913,19.406709324711876,2016,bosque,dynamic_world,802.5,678.0,592.0,1389.5,1245.0,705.0,0.40247288,-0.34413543
-99.20495432833309,19.41227887947342,2016,bosque,dynamic_world,1301.0,1296.5,1328.0,2124.0,1846.0,1368.0,0.23059095,-0.24192369
-99.21250017671969,19.412099216416593,2016,bosque,dynamic_world,1104.0,1131.5,1241.5,1855.5,1759.0,1275.5,0.19825637,-0.24238366
-99.19354572422478,19.421172200786202,2016,bosque,dynamic_world,823.0,719.5,600.0,1699.5,1077.0,578.5,0.47814742,-0.4051261
-99.18815583252005,19.425573945678387,2016,bosque,dynamic_world,813.0,749.5,552.5,2238.0,1172.5,767.0,0.6040136,-0.49824268
-99.19956443662838,19.458991274247634,2016,bosque,dynamic_world,930.5,865.0,791.5,1743.0,1226.5,775.0,0.37541923,-0.33665645
-99.22408844388484,19.399253307853684,2016,bosque,dynamic_world,1015.0,1034.0,1232.0,2087.5,2032.0,1265.0,0.25771955,-0.337498
-99.18007099496297,19.421172200786202,2016,bosque,dynamic_world,914.5,811.0,678.0,1769.0,1288.5,775.5,0.44585207,-0.37131783
-99.2192375413506,19.423058662882852,2016,bosque,dynamic_world,957.5,850.0,872.0,1716.5,1467.5,904.5,0.32625073,-0.33761933
-99.23154446074302,19.420363717030494,2016,bosque,dynamic_world,924.5,839.5,676.0,1727.0,1122.0,633.5,0.43736994,-0.34580168
-99.1944440395089,19.422250179127143,2016,bosque,dynamic_world,845.0,750.5,589.0,1773.0,1207.0,732.5,0.5012701,-0.4051912
-99.18797616946323,19.415782309081482,2016,bosque,dynamic_world,881.5,830.0,700.0,1601.5,1226.0,877.5,0.39170107,-0.31729385
-99.22543591681101,19.399612633967333,2016,bosque,dynamic_world,888.0,815.0,757.5,1805.5,1428.0,863.0,0.40889582,-0.3779813
-99.18573038125294,19.41928573868955,2016,bosque,dynamic_world,945.0,874.5,746.0,1798.5,1148.0,686.0,0.41363725,-0.34567901
-99.18043032107663,19.419465401746372,2016,bosque,dynamic_world,783.5,709.5,516.0,2141.0,1171.0,644.5,0.611592,-0.5021926
-99.19363555575319,19.421980684541907,2016,bosque,dynamic_world,872.0,806.5,759.0,1719.5,1163.0,725.0,0.38753277,-0.36144102
-99.22049518274835,19.418746749519077,2016,bosque,dynamic_world,873.0,758.5,733.5,1641.5,1600.0,927.0,0.38231578,-0.36791667
-99.18519139208246,19.421351863843025,2016,bosque,dynamic_world,885.0,840.0,747.5,2155.0,1262.5,809.0,0.4849268,-0.4390651
-99.21312899741858,19.412458542530242,2016,bosque,dynamic_world,825.0,738.0,612.5,1677.0,1563.5,994.5,0.46494868,-0.38881987
-99.21995619357789,19.400241454666215,2016,bosque,dynamic_world,833.0,752.0,643.5,1699.0,1237.0,704.0,0.45058697,-0.38637292
-99.21762057383917,19.405092357200463,2016,bosque,dynamic_world,793.5,665.5,521.5,1207.0,1076.0,644.5,0.39658663,-0.28918558
-99.18815583252005,19.41416534157007,2016,bosque,dynamic_world,914.0,788.0,649.0,1302.0,1048.5,577.0,0.33470017,-0.24593301
-99.18644903348023,19.419375570217962,2016,bosque,dynamic_world,778.0,698.0,480.0,1909.0,1074.5,514.0,0.59815824,-0.4645186
-99.1840235822131,19.416231466723545,2016,bosque,dynamic_world,780.5,728.5,501.0,2144.0,1101.0,505.5,0.621172,-0.49277633
-99.18653886500864,19.418567086462254,2016,bosque,dynamic_world,757.0,654.0,479.0,1593.5,1051.0,562.0,0.5377563,-0.41802
-99.19156943059971,19.42287899982603,2016,bosque,dynamic_world,808.5,753.0,497.5,2271.0,1275.0,625.5,0.6405996,-0.5019841
-99.22265113943024,19.40131943300716,2016,bosque,dynamic_world,907.5,840.0,884.0,1722.0,1731.5,1153.0,0.32156563,-0.3442623
-99.20702045348656,19.415333151439423,2016,bosque,dynamic_world,879.5,778.0,681.0,1901.0,1754.0,1081.0,0.47250193,-0.41918626
-99.23343092283967,19.397905834927506,2016,bosque,dynamic_world,760.0,693.0,496.5,2180.0,1308.0,670.5,0.6289931,-0.51757747
-99.19040162073036,19.423238325939675,2016,bosque,dynamic_world,943.0,814.5,739.5,1617.0,1338.5,1108.5,0.3723743,-0.3300432
-99.1974983114749,19.422609505240793,2016,bosque,dynamic_world,1078.5,952.5,924.0,978.5,1029.0,853.0,0.028646518,-0.013464526
-99.18159813094599,19.425394282621564,2016,bosque,dynamic_world,1003.0,974.0,940.5,1823.5,1754.5,1308.0,0.31946453,-0.303664
-99.21160186143557,19.40455336802999,2016,bosque,dynamic_world,914.0,855.5,818.5,1539.0,1648.5,1075.5,0.30562037,-0.2854458
-99.18114897330392,19.425034956507915,2016,bosque,dynamic_world,845.5,741.5,531.5,2325.0,1309.5,724.0,0.62786627,-0.51638675
