lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-99.2027983716512,19.151767447078758,2024,bosque,dynamic_world,429.0,660.0,664.0,2278.0,1560.0,916.0,0.5486064,-0.5507148
-99.23522755340792,19.126345124538172,2024,bosque,dynamic_world,256.0,425.0,325.0,2244.0,1432.0,780.0,0.7469833,-0.6815287
-99.21097304073669,19.1611099260336,2024,bosque,dynamic_world,171.5,264.5,218.0,1395.0,1302.0,702.0,0.7296962,-0.6812293
-99.2080086002991,19.244743078985127,2024,bosque,dynamic_world,268.5,382.0,336.5,1808.0,1270.0,624.0,0.6861739,-0.6511415
-99.13937731259236,19.180783030755816,2024,bosque,dynamic_world,264.5,420.5,415.0,1774.5,1756.5,1135.5,0.62091804,-0.6168565
-99.17746588063903,19.218512272688837,2024,bosque,dynamic_world,212.0,400.0,343.0,2227.0,1641.0,935.0,0.73307395,-0.6954701
-99.27241780617047,19.17961522088646,2024,bosque,dynamic_world,196.0,326.0,231.0,2112.0,912.0,426.0,0.8028169,-0.73256767
-99.16354199373518,19.26145174326975,2024,bosque,dynamic_world,251.5,421.0,439.0,1853.0,1514.5,969.0,0.61692846,-0.62972736
-99.23226311297033,19.1956950644722,2024,bosque,dynamic_world,205.0,305.0,334.0,1345.0,1023.5,599.5,0.6021441,-0.630303
-99.21654259549823,19.16721846996561,2024,bosque,dynamic_world,214.0,297.0,275.0,1195.0,1189.0,705.0,0.6258503,-0.6018767
-99.18878465321893,19.25040246527508,2024,bosque,dynamic_world,324.0,479.0,541.0,2056.0,1538.0,955.0,0.58336544,-0.62209076
-99.15294187338257,19.219410587972956,2024,bosque,dynamic_world,342.0,522.0,617.0,2156.0,2351.0,1616.0,0.5549946,-0.61015683
-99.25328369061872,19.132723163055424,2024,bosque,dynamic_world,179.0,302.0,273.0,1484.0,1323.0,745.0,0.689243,-0.6618141
-99.18914397933258,19.28947918013428,2024,bosque,dynamic_world,380.0,504.5,693.0,1631.0,1523.5,1008.0,0.40361446,-0.5275111
-99.23900047760122,19.19874933643821,2024,bosque,dynamic_world,348.0,510.0,564.5,1831.5,1657.5,1046.0,0.528798,-0.5643818
-99.17036918989449,19.185454270233237,2024,bosque,dynamic_world,233.0,404.0,409.0,1866.0,1307.0,723.0,0.64043957,-0.64405286
-99.17881335356522,19.109816123310374,2024,bosque,dynamic_world,302.0,471.5,442.5,1611.5,1596.5,1086.5,0.5691334,-0.5472876
-99.23693435244775,19.166769312323552,2024,bosque,dynamic_world,335.0,527.0,524.0,1933.0,1503.0,888.0,0.57346356,-0.5715447
-99.15914024884299,19.108019492742134,2024,bosque,dynamic_world,190.0,344.0,247.0,2031.0,1400.0,726.0,0.7831431,-0.71031576
-99.18671852806547,19.247707519422722,2024,bosque,dynamic_world,324.0,468.0,427.0,1883.0,1297.0,744.0,0.630303,-0.60187155
-99.18644903348023,19.10236010645218,2024,bosque,dynamic_world,264.0,480.0,332.0,2138.0,1251.0,661.0,0.7311741,-0.6333079
-99.23396991201015,19.206924005523696,2024,bosque,dynamic_world,99.0,166.5,118.0,1303.5,752.5,389.0,0.8339782,-0.7734694
-99.20818826335592,19.24393459522942,2024,bosque,dynamic_world,295.0,390.0,384.5,1668.5,1361.5,751.0,0.62542623,-0.6210833
-99.17513026090032,19.19695270586997,2024,bosque,dynamic_world,304.0,450.0,500.0,1512.0,1643.0,1107.0,0.5029821,-0.5412844
-99.20540348597515,19.15383357223223,2024,bosque,dynamic_world,179.0,336.0,277.0,1487.0,1259.0,694.0,0.68594104,-0.63137686
-99.27708904564788,19.19758152656885,2024,bosque,dynamic_world,301.0,447.0,508.0,1763.0,1262.0,732.0,0.55262,-0.59547514
-99.27457376285236,19.193539107790315,2024,bosque,dynamic_world,278.0,457.0,479.0,1948.0,1301.0,774.0,0.605274,-0.6199584
-99.15518766159286,19.28399945690115,2024,bosque,dynamic_world,238.5,473.0,274.0,2972.0,1157.0,552.0,0.8311768,-0.72539914
-99.24232424415246,19.124548493969936,2024,bosque,dynamic_world,225.0,367.0,294.0,1634.0,1290.0,724.0,0.69502074,-0.6331834
-99.26433296861339,19.163086219658663,2024,bosque,dynamic_world,159.0,234.5,192.0,1500.0,1090.5,612.0,0.77304965,-0.7296051
-99.20288820317961,19.138292717816963,2024,bosque,dynamic_world,186.0,364.0,296.0,1875.0,1154.0,578.0,0.7273146,-0.6748549
-99.17000986378083,19.09445493195193,2024,bosque,dynamic_world,317.0,469.0,445.0,1537.0,1628.0,1073.0,0.55095863,-0.5324028
-99.26612959918162,19.190395004295894,2024,bosque,dynamic_world,165.5,284.0,249.5,1472.0,1142.0,667.5,0.71013653,-0.6765376
