lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.2094459047537,19.353349396835178,Álvaro Obregón,bosque,deforestado,0.25817192,0.2583719,2078.5,2311.0,True,True,False
-99.29766046565422,19.288491033321748,Álvaro Obregón,bosque,deforestado,0.5406117,0.634931,1901.5,1245.0,True,True,False
-99.28454506250608,19.31274554599297,Álvaro Obregón,bosque,deforestado,0.27265066,0.25360385,1510.0,2348.0,True,True,False
-99.25229554380618,19.364308843301437,Álvaro Obregón,bosque,deforestado,0.46756908,0.3645216,1951.5,1611.5,True,True,False
-99.31832171718898,19.27295017890648,Álvaro Obregón,bosque,deforestado,0.47234043,0.5157233,2335.5,2651.0,True,True,False
-99.2118713560208,19.36835126207997,Álvaro Obregón,bosque,deforestado,0.14451106,0.23154044,1384.0,2272.5,True,True,False
-99.32245396749592,19.25309741112744,Álvaro Obregón,bosque,deforestado,0.43678358,0.44607636,2099.5,1723.0,True,True,False
-99.29236040547792,19.27115354833824,Álvaro Obregón,bosque,deforestado,0.5783509,0.5639247,2019.5,1578.0,True,True,False
-99.23271227061238,19.39350409003532,Álvaro Obregón,bosque,deforestado,0.5422729,0.37232792,1961.0,1460.5,True,True,False
-99.32137598915496,19.258666965888978,Álvaro Obregón,bosque,deforestado,0.43273738,0.35647583,2063.5,1670.5,True,True,False
-99.23774283620344,19.388653187501077,Álvaro Obregón,bosque,deforestado,0.26926407,0.3705981,1466.0,1226.0,True,True,False
-99.24241407568088,19.3452645592781,Álvaro Obregón,bosque,deforestado,0.36768052,0.36837396,1652.5,1529.5,True,True,False
-99.3230827881948,19.26235005855387,Álvaro Obregón,bosque,deforestado,0.43600795,0.4369039,2165.5,1958.5,True,True,False
-99.2742144367387,19.320201562851167,Álvaro Obregón,bosque,deforestado,0.48688784,0.4804693,2353.0,2681.5,True,True,False
-99.27681955106264,19.286065582054626,Álvaro Obregón,bosque,deforestado,0.55712605,0.4711852,1983.0,2029.5,True,True,False
-99.2350478903511,19.34948664111346,Álvaro Obregón,bosque,deforestado,0.57467467,0.34671533,2027.0,1660.5,True,True,False
-99.20980523086732,19.353529059892,Álvaro Obregón,bosque,deforestado,0.25817192,0.24346511,2078.5,1439.0,True,True,False
-99.27690938259106,19.28624524511145,Álvaro Obregón,bosque,deforestado,0.55712605,0.45741203,1983.0,1895.0,True,True,False
-99.24924127184018,19.353529059892,Álvaro Obregón,bosque,deforestado,0.4798719,0.41415292,1617.5,1863.5,True,True,False
-99.28517388320496,19.31157773612362,Álvaro Obregón,bosque,deforestado,0.2907769,0.4059517,1420.5,2504.0,True,True,False
-99.29236040547792,19.271063716809827,Álvaro Obregón,bosque,deforestado,0.5783509,0.5720845,2019.5,1712.0,True,True,False
-99.32083699998452,19.255163536280914,Álvaro Obregón,bosque,deforestado,0.62504816,0.37554413,2108.5,1738.0,True,True,False
-99.27457376285236,19.31993206826593,Álvaro Obregón,bosque,deforestado,0.48688784,0.41490287,2353.0,2440.0,True,True,False
-99.29784012871104,19.288491033321748,Álvaro Obregón,bosque,deforestado,0.5406117,0.37733498,1901.5,1106.0,True,True,False
-99.31948952705832,19.2648653413494,Álvaro Obregón,bosque,deforestado,0.38323918,0.43290734,2203.5,1794.0,True,True,False
-99.252475206863,19.364398674829847,Álvaro Obregón,bosque,deforestado,0.46756908,0.3377689,1951.5,1508.0,True,True,False
-99.22669355820878,19.369519071949327,Álvaro Obregón,bosque,deforestado,0.421709,0.3700991,1539.0,1590.0,True,True,False
-99.21411714423112,19.35119344015329,Álvaro Obregón,bosque,deforestado,0.2644434,0.32704595,1346.0,1090.5,True,True,False
-99.22777153654972,19.38712605151807,Álvaro Obregón,bosque,deforestado,0.29887995,0.28637668,1652.5,1456.5,True,True,False
-99.20459500221943,19.35478670128977,Álvaro Obregón,bosque,deforestado,0.43515292,0.7485885,1853.5,2632.5,True,True,False
-99.23091564004416,19.35065445098282,Álvaro Obregón,bosque,deforestado,0.38740495,0.53791416,1779.0,1729.0,True,True,False
-99.20549331750355,19.35478670128977,Álvaro Obregón,bosque,deforestado,0.31939238,0.5670911,1672.0,2000.0,True,True,False
-99.24744464127194,19.346342537619044,Álvaro Obregón,bosque,deforestado,0.31764257,0.37418205,1721.5,2310.0,True,True,False
-99.21276967130493,19.35110360862488,Álvaro Obregón,bosque,deforestado,0.22427101,0.30143768,1427.5,1380.5,True,True,False
-99.25274470144824,19.34804933665887,Álvaro Obregón,bosque,deforestado,0.71186686,0.7683906,2932.0,2752.5,True,True,False
-99.2660397676532,19.339784836044974,Álvaro Obregón,bosque,deforestado,0.37416106,0.45571798,1638.0,1693.0,True,True,False
-99.2531938590903,19.34508489622128,Álvaro Obregón,bosque,deforestado,0.31448275,0.4641931,1906.0,1835.0,True,True,False
-99.2470853151583,19.33556275420961,Álvaro Obregón,bosque,deforestado,0.4298833,0.6636864,1868.5,2419.0,True,True,False
-99.20998489392416,19.360176592994485,Álvaro Obregón,bosque,deforestado,0.6381863,0.7758861,2655.5,3181.5,True,True,False
-99.25121756546524,19.34238995036892,Álvaro Obregón,bosque,deforestado,0.414245,0.5885714,1861.5,2015.5,True,True,False
-99.2299274932316,19.392066785580727,Álvaro Obregón,bosque,deforestado,0.29779887,0.40167275,1503.5,1634.0,True,True,False
-99.23495805882268,19.389012513614723,Álvaro Obregón,bosque,deforestado,0.28849232,0.4672695,1408.0,1866.0,True,True,False
-99.24088693969787,19.34616287456222,Álvaro Obregón,bosque,deforestado,0.052603893,0.059149724,1000.5,859.5,True,True,False
-99.24097677122629,19.34616287456222,Álvaro Obregón,bosque,deforestado,0.052603893,0.059149724,1000.5,859.5,True,True,False
-99.24088693969787,19.34625270609063,Álvaro Obregón,bosque,agua,0.052603893,0.051586207,1000.5,953.0,True,True,False
-99.213218828947,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.09572706,1796.0,682.5,True,True,False
-99.21348832353222,19.35999692993766,Álvaro Obregón,bosque,agua,0.19494344,0.120835684,1796.0,992.5,True,True,False
-99.21339849200382,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.03112723,1796.0,801.5,True,True,False
-99.2133086604754,19.360176592994485,Álvaro Obregón,bosque,agua,0.19494344,-0.13024142,1796.0,684.5,True,True,False
-99.213218828947,19.35999692993766,Álvaro Obregón,bosque,agua,0.19494344,0.0384185,1796.0,696.0,True,True,False
-99.2133086604754,19.35999692993766,Álvaro Obregón,bosque,agua,0.19494344,0.1642616,1796.0,948.0,True,True,False
-99.21339849200382,19.35999692993766,Álvaro Obregón,bosque,agua,0.19494344,0.16516854,1796.0,1037.0,True,True,False
-99.21366798658904,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.050120775,1796.0,786.5,True,True,False
-99.21348832353222,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.021224985,1796.0,807.0,True,True,False
-99.21339849200382,19.360176592994485,Álvaro Obregón,bosque,agua,0.19494344,-0.1393784,1796.0,671.5,True,True,False
-99.2410666027547,19.34625270609063,Álvaro Obregón,bosque,agua,0.052603893,0.036391914,1000.5,833.0,True,True,False
-99.2133086604754,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.0034066273,1796.0,804.5,True,True,False
-99.21312899741858,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.047351807,1796.0,679.0,True,True,False
-99.213218828947,19.360176592994485,Álvaro Obregón,bosque,agua,0.19494344,-0.12854318,1796.0,661.0,True,True,False
-99.21357815506065,19.360086761466075,Álvaro Obregón,bosque,agua,0.19494344,-0.050120775,1796.0,786.5,True,True,False
-99.24097677122629,19.34625270609063,Álvaro Obregón,bosque,agua,0.052603893,0.051586207,1000.5,953.0,True,True,False
