lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.21339849200382,19.4865695534701,Azcapotzalco,bosque,pastizal,0.1726797,0.27193475,2129.0,2261.5,True,True,False
-99.20540348597515,19.484952585958688,Azcapotzalco,bosque,pastizal,0.26699927,0.31611934,2222.0,2625.0,True,True,False
-99.21564428021412,19.488725510151987,Azcapotzalco,bosque,pastizal,0.19734947,0.27027786,2078.0,2263.0,True,True,False
-99.2058526436172,19.48549157512916,Azcapotzalco,bosque,pastizal,0.36159766,0.48210374,2079.5,2029.0,True,True,False
-99.21133236685034,19.48800685792469,Azcapotzalco,bosque,pastizal,0.16617386,0.33205006,1479.0,2076.0,True,True,False
-99.20477466527626,19.48468309137345,Azcapotzalco,bosque,pastizal,0.26665857,0.2571078,2609.0,3073.0,True,True,False
-99.20441533916262,19.484952585958688,Azcapotzalco,bosque,pastizal,0.19101124,0.32358047,2491.0,2669.0,True,True,False
-99.21456630187316,19.486749216526924,Azcapotzalco,bosque,pastizal,0.29660842,0.47275406,1577.0,1500.0,True,True,False
-99.21447647034476,19.486659384998514,Azcapotzalco,bosque,pastizal,0.29660842,0.45714286,1577.0,1530.0,True,True,False
-99.21223068213446,19.49977478814666,Azcapotzalco,bosque,pastizal,0.32647115,0.45467678,1707.5,2014.0,True,True,False
-99.20549331750355,19.48450342831663,Azcapotzalco,bosque,pastizal,0.40685225,0.40303272,1642.5,1758.0,True,True,False
-99.20522382291831,19.48459325984504,Azcapotzalco,bosque,pastizal,0.26989204,0.34745762,2382.0,2226.0,True,True,False
-99.20558314903197,19.48477292290186,Azcapotzalco,bosque,pastizal,0.3161876,0.3081026,1740.0,2575.0,True,True,False
-99.20540348597515,19.48603056429963,Azcapotzalco,bosque,pastizal,0.24198672,0.33172497,2150.5,2208.0,True,True,False
-99.20531365444674,19.48459325984504,Azcapotzalco,bosque,pastizal,0.3401833,0.33696347,2413.0,2087.0,True,True,False
-99.18043032107664,19.49995445120348,Azcapotzalco,bosque,pastizal,0.36716646,0.37746555,1778.0,3823.5,True,True,False
-99.20693062195816,19.484952585958688,Azcapotzalco,bosque,pastizal,0.38177058,0.31904286,2111.0,2646.0,True,True,False
-99.21151202990715,19.48818652098152,Azcapotzalco,bosque,pastizal,0.16617386,0.18151815,1479.0,1074.0,True,True,False
-99.21465613340158,19.488635678623577,Azcapotzalco,bosque,pastizal,0.21499677,0.2531141,2349.5,2515.0,True,True,False
-99.21124253532192,19.48800685792469,Azcapotzalco,bosque,pastizal,0.29557896,0.33938548,1538.5,1918.0,True,True,False
-99.21510529104364,19.48701871111216,Azcapotzalco,bosque,pastizal,0.20025228,0.2645364,1903.0,2414.0,True,True,False
-99.2058526436172,19.48468309137345,Azcapotzalco,bosque,pastizal,0.31174392,0.3411389,1762.0,2520.0,True,True,False
-99.21196118754922,19.4993256305046,Azcapotzalco,bosque,pastizal,0.09774436,0.100573614,1387.0,1439.0,True,True,False
-99.21492562798682,19.488635678623577,Azcapotzalco,bosque,pastizal,0.15068494,0.24789116,1974.0,2293.0,True,True,False
-99.20603230667405,19.48459325984504,Azcapotzalco,bosque,pastizal,0.4414708,0.3984375,1548.5,2327.0,True,True,False
-99.2110628722651,19.49977478814666,Azcapotzalco,bosque,pastizal,0.44794765,0.35552913,2434.0,2280.0,True,True,False
-99.20540348597515,19.48459325984504,Azcapotzalco,bosque,pastizal,0.41322854,0.35285714,2158.0,1894.0,True,True,False
-99.2118713560208,19.499505293561423,Azcapotzalco,bosque,pastizal,0.22747122,0.2574124,1546.0,1866.0,True,True,False
-99.21142219837876,19.48791702639628,Azcapotzalco,bosque,pastizal,0.16617386,0.1694291,1479.0,2540.0,True,True,False
-99.18052015260504,19.4993256305046,Azcapotzalco,bosque,pastizal,0.23290645,0.22573914,2840.0,3524.0,True,True,False
-99.20567298056038,19.48459325984504,Azcapotzalco,bosque,pastizal,0.25841734,0.26557583,1467.0,2011.0,True,True,False
-99.20558314903197,19.486300058884865,Azcapotzalco,bosque,pastizal,0.26202375,0.30359614,2020.5,1885.0,True,True,False
-99.21142219837876,19.48800685792469,Azcapotzalco,bosque,pastizal,0.16617386,0.28103495,1479.0,2327.0,True,True,False
-99.20675095890132,19.484952585958688,Azcapotzalco,bosque,pastizal,0.39673358,0.26367056,2052.5,2854.0,True,True,False
-99.21501545951524,19.48692887958375,Azcapotzalco,bosque,pastizal,0.3068182,0.3344,1725.0,1668.0,True,True,False
-99.21232051366287,19.49977478814666,Azcapotzalco,bosque,pastizal,0.34558967,0.43987823,1720.0,1892.0,True,True,False
-99.21474596493,19.488635678623577,Azcapotzalco,bosque,pastizal,0.3788892,0.5028355,2371.0,2385.0,True,True,False
-99.20531365444674,19.48450342831663,Azcapotzalco,bosque,pastizal,0.35820284,0.26104024,2494.0,2570.0,True,True,False
-99.21205101907763,19.49977478814666,Azcapotzalco,bosque,pastizal,0.3684986,0.32684508,2322.0,2454.0,True,True,False
-99.21196118754922,19.49959512508984,Azcapotzalco,bosque,pastizal,0.38135594,0.3747495,2119.0,2401.0,True,True,False
-99.2058526436172,19.485671238185983,Azcapotzalco,bosque,pastizal,0.3903413,0.41997355,1914.5,2147.0,True,True,False
-99.20612213820245,19.48468309137345,Azcapotzalco,bosque,pastizal,0.33588248,0.37986207,1659.5,2501.0,True,True,False
-99.21348832353222,19.4865695534701,Azcapotzalco,bosque,pastizal,0.16599624,0.217118,2174.0,2517.0,True,True,False
-99.20737977960022,19.48594073277122,Azcapotzalco,bosque,pastizal,0.26551303,0.37699413,1810.0,1640.0,True,True,False
-99.21151202990715,19.49968495661825,Azcapotzalco,bosque,pastizal,0.25484237,0.30252355,1652.0,2142.0,True,True,False
-99.21133236685034,19.48791702639628,Azcapotzalco,bosque,pastizal,0.16617386,0.16079105,1479.0,2700.0,True,True,False
-99.21133236685034,19.49977478814666,Azcapotzalco,bosque,pastizal,0.33548197,0.23339272,2279.0,2423.0,True,True,False
-99.1803404895482,19.49977478814666,Azcapotzalco,bosque,pastizal,0.41986385,0.35970494,2294.5,3686.5,True,True,False
-99.20531365444674,19.48477292290186,Azcapotzalco,bosque,pastizal,0.36272264,0.34953848,1932.0,2193.0,True,True,False
-99.21169169296398,19.48791702639628,Azcapotzalco,bosque,pastizal,0.22666667,0.21620989,1495.0,2596.0,True,True,False
-99.21501545951524,19.488635678623577,Azcapotzalco,bosque,pastizal,0.21757771,0.21608938,2272.0,2721.0,True,True,False
-99.21573411174252,19.488905173208813,Azcapotzalco,bosque,pastizal,0.20387137,0.1878274,1928.0,2381.0,True,True,False
-99.21232051366287,19.49968495661825,Azcapotzalco,bosque,pastizal,0.43326566,0.4323144,1941.0,1968.0,True,True,False
-99.21169169296398,19.49914596744777,Azcapotzalco,bosque,pastizal,0.30745658,0.27412215,1600.0,2159.0,True,True,False
-99.20567298056038,19.48603056429963,Azcapotzalco,bosque,pastizal,0.23202805,0.3019453,2108.0,2309.0,True,True,False
-99.21115270379352,19.49959512508984,Azcapotzalco,bosque,pastizal,0.47262388,0.4051724,2266.0,2282.0,True,True,False
-99.20468483374783,19.48468309137345,Azcapotzalco,bosque,pastizal,0.26665857,0.33660933,2609.0,2720.0,True,True,False
-99.21546461715728,19.4888153416804,Azcapotzalco,bosque,pastizal,0.2262796,0.2647059,2006.5,2150.0,True,True,False
-99.1803404895482,19.49995445120348,Azcapotzalco,bosque,pastizal,0.36716646,0.40671742,1778.0,3926.5,True,True,False
-99.20540348597515,19.48585090124281,Azcapotzalco,bosque,pastizal,0.21989529,0.32352942,2097.0,2565.0,True,True,False
-99.21465613340158,19.486749216526924,Azcapotzalco,bosque,pastizal,0.29660842,0.47398567,1577.0,1544.0,True,True,False
-99.21160186143555,19.49977478814666,Azcapotzalco,bosque,pastizal,0.26502824,0.35118848,1904.5,2018.0,True,True,False
-99.21582394327092,19.4888153416804,Azcapotzalco,bosque,pastizal,0.23830673,0.2193775,2230.5,2429.0,True,True,False
-99.21097304073668,19.49968495661825,Azcapotzalco,bosque,pastizal,0.29913917,0.2553395,1811.0,1969.0,True,True,False
-99.21115270379352,19.48791702639628,Azcapotzalco,bosque,pastizal,0.29557896,0.25227273,1538.5,2204.0,True,True,False
-99.21537478562888,19.488635678623577,Azcapotzalco,bosque,pastizal,0.23638692,0.41868013,1930.0,1967.0,True,True,False
-99.21151202990715,19.49977478814666,Azcapotzalco,bosque,pastizal,0.3393188,0.25705793,2349.5,2538.0,True,True,False
-99.21232051366287,19.49959512508984,Azcapotzalco,bosque,pastizal,0.36317852,0.39727804,1827.0,2156.0,True,True,False
-99.21169169296398,19.49995445120348,Azcapotzalco,bosque,pastizal,0.3318574,0.3888,1504.0,1736.0,True,True,False
-99.20639163278769,19.48477292290186,Azcapotzalco,bosque,pastizal,0.3435769,0.2121509,1880.0,2474.0,True,True,False
-99.20567298056038,19.48612039582804,Azcapotzalco,bosque,pastizal,0.23202805,0.3019453,2108.0,2309.0,True,True,False
