lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.1170990935462,19.57729939716617,Gustavo A. Madero,bosque,pastizal,0.35432371,0.38994002,1527.0,1506.0,True,True,False
-99.06481714401043,19.463123524554582,Gustavo A. Madero,bosque,pastizal,0.24723713,0.31073767,1975.0,2301.0,True,True,False
-99.12033302856904,19.58825884363243,Gustavo A. Madero,bosque,pastizal,0.46217713,0.4252462,1585.0,1592.0,True,True,False
-99.12186016455205,19.57388579908652,Gustavo A. Madero,bosque,pastizal,0.27525288,0.22172524,2364.0,1912.0,True,True,False
-99.12203982760886,19.58592322389372,Gustavo A. Madero,bosque,pastizal,0.45553076,0.25850555,2283.0,1979.0,True,True,False
-99.12123134385315,19.59005547420067,Gustavo A. Madero,bosque,pastizal,0.39055383,0.35174417,1450.0,1860.0,True,True,False
-99.13713152438208,19.497349336879537,Gustavo A. Madero,bosque,pastizal,0.19683307,0.22744037,2721.0,2496.0,True,True,False
-99.07523760130624,19.46141672551476,Gustavo A. Madero,bosque,pastizal,0.36683416,0.506008,1700.0,1692.0,True,True,False
-99.06472731248203,19.4617760516284,Gustavo A. Madero,bosque,pastizal,0.24439116,0.37311286,1816.5,1910.0,True,True,False
-99.12203982760886,19.56714843445562,Gustavo A. Madero,bosque,pastizal,0.14625272,0.2499394,1181.5,1289.0,True,True,False
-99.1223093221941,19.577748554808235,Gustavo A. Madero,bosque,pastizal,0.38090286,0.31494376,1659.5,1227.5,True,True,False
-99.13228062184784,19.580533332189,Gustavo A. Madero,bosque,pastizal,0.3314633,0.39305484,1424.0,1384.0,True,True,False
-99.11656010437572,19.577389228694585,Gustavo A. Madero,bosque,pastizal,0.3696498,0.34220907,1408.0,1361.0,True,True,False
-99.11458381075066,19.5684959073818,Gustavo A. Madero,bosque,pastizal,0.13302825,0.299431,1795.0,1827.0,True,True,False
-99.13677219826842,19.577748554808235,Gustavo A. Madero,bosque,pastizal,0.24483234,0.25733444,1355.0,1125.0,True,True,False
-99.12347713206344,19.58780968599037,Gustavo A. Madero,bosque,pastizal,0.42002413,0.40771812,1471.5,1678.0,True,True,False
-99.07299181309592,19.4564759914521,Gustavo A. Madero,bosque,pastizal,0.36043957,0.29455513,2166.5,2437.0,True,True,False
-99.11494313686433,19.578287543978703,Gustavo A. Madero,bosque,pastizal,0.4578882,0.21019109,1467.0,1235.0,True,True,False
-99.07254265545389,19.4624947038557,Gustavo A. Madero,bosque,pastizal,0.36807725,0.5528826,2408.5,1872.0,True,True,False
-99.12203982760886,19.58601305542213,Gustavo A. Madero,bosque,pastizal,0.45272303,0.3689649,2174.0,1921.0,True,True,False
-99.11539229450638,19.574245125200168,Gustavo A. Madero,bosque,pastizal,0.29733622,0.2170139,1351.5,1402.0,True,True,False
-99.1260822463874,19.588797832802904,Gustavo A. Madero,bosque,pastizal,0.37469587,0.2795622,1412.5,1344.5,True,True,False
-99.12859752918293,19.58259945734248,Gustavo A. Madero,bosque,pastizal,0.21862012,0.26292628,1466.0,1148.0,True,True,False
-99.11350583240971,19.564183994018027,Gustavo A. Madero,bosque,pastizal,0.22222222,0.21517615,2178.0,2242.0,True,True,False
-99.12482460498964,19.579006196206,Gustavo A. Madero,bosque,pastizal,0.21436588,0.24299066,1082.0,1064.0,True,True,False
-99.074968106721,19.46150655704317,Gustavo A. Madero,bosque,agua,0.26931566,0.32724157,1437.5,1162.0,True,True,False
-99.0748782751926,19.46141672551476,Gustavo A. Madero,bosque,agua,0.26931566,0.2879747,1437.5,1628.0,True,True,False
-99.07460878060736,19.461326893986342,Gustavo A. Madero,bosque,agua,0.28594133,0.5643045,2225.0,1788.0,True,True,False
-99.07119518252767,19.462854029969343,Gustavo A. Madero,bosque,agua,0.39041507,0.44304892,1733.5,1666.0,True,True,False
