lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.01684710783846,19.323794823987644,Iztapalapa,bosque,pastizal,-0.07376595,0.033218786,417.5,902.0,True,True,False
-99.09095811877832,19.344905233164454,Iztapalapa,bosque,pastizal,0.2057041,0.18947648,1691.0,2238.0,True,True,False
-99.00166557953683,19.32855589499348,Iztapalapa,bosque,pastizal,0.11497006,0.2963705,931.0,1455.5,True,True,False
-99.0110978900201,19.32810673735142,Iztapalapa,bosque,pastizal,0.09474992,0.22245108,881.0,1780.5,True,True,False
-99.00337237857669,19.327567748180947,Iztapalapa,bosque,pastizal,0.08622685,0.22686476,938.5,1982.0,True,True,False
-99.01549963491227,19.32595078066953,Iztapalapa,bosque,pastizal,0.16934721,0.2645111,1545.0,1623.0,True,True,False
-99.0127148575315,19.325681286084297,Iztapalapa,bosque,pastizal,0.13069648,0.16804408,1315.0,1696.0,True,True,False
-99.09131744489196,19.340952645914328,Iztapalapa,bosque,pastizal,0.21013619,0.18589838,1755.0,2001.5,True,True,False
-99.00480968303124,19.327567748180947,Iztapalapa,bosque,pastizal,-0.027656477,0.112024665,668.0,1082.0,True,True,False
-99.08736485764184,19.34292893953939,Iztapalapa,bosque,pastizal,0.29332978,0.2701544,1207.0,1481.0,True,True,False
-99.00642665054268,19.32631010678318,Iztapalapa,bosque,pastizal,0.07251766,0.14687102,721.0,1347.0,True,True,False
-99.08952081432372,19.34059331980068,Iztapalapa,bosque,pastizal,0.21085024,0.23463888,1328.0,1718.0,True,True,False
-99.0914971079488,19.332688145300427,Iztapalapa,bosque,pastizal,0.26419213,0.24804433,1737.0,1914.5,True,True,False
-99.017835254651,19.324154150101293,Iztapalapa,bosque,pastizal,-0.04400978,0.29302326,782.0,1529.0,True,True,False
-99.0938327276875,19.3459832115054,Iztapalapa,bosque,pastizal,0.1819983,0.24796928,2088.0,2112.5,True,True,False
-99.00400119927556,19.329723704862836,Iztapalapa,bosque,pastizal,0.17675439,0.27607766,1341.5,1939.0,True,True,False
-99.00238423176414,19.328825389578714,Iztapalapa,bosque,pastizal,0.26707414,0.38445878,1192.0,2040.0,True,True,False
-99.019362390634,19.323525329402408,Iztapalapa,bosque,pastizal,0.02719372,0.13886537,916.0,1345.0,True,True,False
-99.0930242439318,19.343198434124627,Iztapalapa,bosque,pastizal,0.23206607,0.26071224,1790.5,1655.0,True,True,False
-99.01747592853737,19.324154150101293,Iztapalapa,bosque,pastizal,-0.00025900026,0.189811,965.0,1448.0,True,True,False
-99.01316401517356,19.32828640040824,Iztapalapa,bosque,pastizal,0.20990433,0.28807166,1075.0,2732.0,True,True,False
