lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.21519512257206,19.407966966109644,Miguel Hidalgo,bosque,pastizal,0.33534744,0.32567707,1878.5,1933.5,True,True,False
-99.20773910571386,19.412817868643888,Miguel Hidalgo,bosque,pastizal,0.2819045,0.30770484,2127.0,2007.0,True,True,False
-99.21851888912327,19.4068889877687,Miguel Hidalgo,bosque,pastizal,0.32385466,0.30983514,1676.0,1728.0,True,True,False
-99.21205101907763,19.40374488427428,Miguel Hidalgo,bosque,pastizal,0.27807486,0.3557708,1673.0,2064.5,True,True,False
-99.21070354615144,19.412997531700714,Miguel Hidalgo,bosque,pastizal,0.45898005,0.36888888,1974.0,1540.0,True,True,False
-99.2170815846687,19.40140926453557,Miguel Hidalgo,bosque,pastizal,0.30037862,0.3272116,1545.5,2565.5,True,True,False
-99.19740847994647,19.421531526899848,Miguel Hidalgo,bosque,pastizal,0.22166023,0.29310557,2053.0,2630.5,True,True,False
-99.18294560387216,19.418207760348608,Miguel Hidalgo,bosque,pastizal,0.39238223,0.40843695,1544.5,1444.0,True,True,False
-99.18887448474734,19.41416534157007,Miguel Hidalgo,bosque,pastizal,0.49572778,0.36322257,2494.5,2995.0,True,True,False
-99.2200460251063,19.40581100942776,Miguel Hidalgo,bosque,pastizal,0.30837172,0.2763466,1703.5,1635.0,True,True,False
-99.18294560387216,19.418117928820195,Miguel Hidalgo,bosque,pastizal,0.41705167,0.44757876,1687.0,1539.5,True,True,False
-99.2118713560208,19.454589529355445,Miguel Hidalgo,bosque,pastizal,0.156778,0.16632888,2208.0,2158.0,True,True,False
-99.18977280003146,19.4151534883826,Miguel Hidalgo,bosque,pastizal,0.5586354,0.6821354,2193.0,2410.5,True,True,False
-99.2013610671966,19.418117928820195,Miguel Hidalgo,bosque,pastizal,0.2873474,0.46630093,1661.0,1871.0,True,True,False
-99.219327372879,19.40599067248458,Miguel Hidalgo,bosque,pastizal,0.34592304,0.26339144,1906.5,1993.0,True,True,False
-99.21061371462304,19.41245854253024,Miguel Hidalgo,bosque,pastizal,0.3753878,0.32743704,1995.0,1726.0,True,True,False
-99.20836792641276,19.41191955335977,Miguel Hidalgo,bosque,pastizal,0.19032082,0.2661543,2189.0,2224.0,True,True,False
-99.2096255678105,19.415692477553076,Miguel Hidalgo,bosque,pastizal,0.439471,0.33456066,2122.5,1993.5,True,True,False
-99.21097304073668,19.412638205587065,Miguel Hidalgo,bosque,pastizal,0.35169008,0.3700361,1779.5,1518.0,True,True,False
-99.21043405156622,19.451445425861028,Miguel Hidalgo,bosque,pastizal,0.19109349,0.24008091,1952.5,1992.5,True,True,False
-99.2161832693846,19.4031160635754,Miguel Hidalgo,bosque,pastizal,0.27369505,0.24469821,1854.5,1907.5,True,True,False
-99.2163629324414,19.401139769950337,Miguel Hidalgo,bosque,pastizal,0.25005442,0.26555347,1436.0,2349.5,True,True,False
-99.21564428021412,19.40221774829128,Miguel Hidalgo,bosque,pastizal,0.2733361,0.27563286,1521.0,2255.0,True,True,False
-99.2094459047537,19.40500252567205,Miguel Hidalgo,bosque,pastizal,0.15447514,0.18568143,2612.0,2964.5,True,True,False
-99.20172039331024,19.41883658104749,Miguel Hidalgo,bosque,pastizal,0.30234423,0.44119358,1625.0,1859.5,True,True,False
-99.18968296850306,19.41479416226895,Miguel Hidalgo,bosque,pastizal,0.48326114,0.41761532,1883.0,2366.0,True,True,False
-99.19758814300332,19.42350782052491,Miguel Hidalgo,bosque,pastizal,0.4562276,0.3622034,3148.0,4018.5,True,True,False
-99.18959313697464,19.419914559388435,Miguel Hidalgo,bosque,pastizal,0.56333333,0.42144907,1876.0,1981.5,True,True,False
-99.20333736082168,19.41605180366672,Miguel Hidalgo,bosque,pastizal,0.27988297,0.32529083,2187.0,2307.0,True,True,False
-99.21546461715728,19.402577074404928,Miguel Hidalgo,bosque,pastizal,0.35594752,0.27750248,1499.0,1933.5,True,True,False
-99.21887821523694,19.40904494445059,Miguel Hidalgo,bosque,pastizal,0.36521167,0.35495898,1556.0,1817.0,True,True,False
-99.20055258344092,19.45962009494652,Miguel Hidalgo,bosque,pastizal,0.3971053,0.21181683,2099.5,2051.0,True,True,False
-99.20477466527626,19.414883993797364,Miguel Hidalgo,bosque,pastizal,0.31362006,0.34501424,2199.0,2360.5,True,True,False
-99.2027085401228,19.41416534157007,Miguel Hidalgo,bosque,pastizal,0.3240252,0.3034687,1944.0,1869.5,True,True,False
-99.1974983114749,19.42171118995667,Miguel Hidalgo,bosque,pastizal,0.22166023,0.28750148,2053.0,2701.5,True,True,False
-99.18896431627576,19.41434500462689,Miguel Hidalgo,bosque,pastizal,0.49572778,0.45037547,2494.5,1786.5,True,True,False
-99.21366798658904,19.406080504012994,Miguel Hidalgo,bosque,pastizal,0.35135135,0.30557892,1575.0,2328.5,True,True,False
-99.21232051366287,19.40401437885952,Miguel Hidalgo,bosque,pastizal,0.22167969,0.2739096,1876.5,2008.0,True,True,False
-99.21887821523694,19.40706865082553,Miguel Hidalgo,bosque,pastizal,0.35101977,0.23830962,2202.5,3025.5,True,True,False
-99.18312526692898,19.418567086462254,Miguel Hidalgo,bosque,pastizal,0.3004569,0.54690856,2063.5,1620.0,True,True,False
-99.22319012860072,19.40419404191634,Miguel Hidalgo,bosque,pastizal,0.43166697,0.26150766,1883.0,1891.0,True,True,False
-99.19767797453171,19.423597652053324,Miguel Hidalgo,bosque,pastizal,0.4562276,0.41886455,3148.0,3967.5,True,True,False
-99.18914397933258,19.414434836155305,Miguel Hidalgo,bosque,pastizal,0.49572778,0.38224348,2494.5,1950.0,True,True,False
-99.18366425609946,19.41847725493384,Miguel Hidalgo,bosque,pastizal,0.45618618,0.28709394,1533.0,1466.0,True,True,False
-99.22013585663473,19.405900840956168,Miguel Hidalgo,bosque,pastizal,0.30837172,0.2866547,1703.5,1612.5,True,True,False
-99.21079337767986,19.412997531700714,Miguel Hidalgo,bosque,pastizal,0.45898005,0.33565217,1974.0,1536.0,True,True,False
-99.216273100913,19.403295726632223,Miguel Hidalgo,bosque,pastizal,0.27369505,0.36813584,1854.5,1893.5,True,True,False
-99.21842905759488,19.405900840956168,Miguel Hidalgo,bosque,pastizal,0.36969697,0.23740692,1695.0,1412.5,True,True,False
-99.2163629324414,19.403295726632223,Miguel Hidalgo,bosque,pastizal,0.27369505,0.3213587,1854.5,1857.5,True,True,False
-99.21097304073668,19.4129077001723,Miguel Hidalgo,bosque,pastizal,0.35169008,0.38857603,1779.5,1726.0,True,True,False
-99.18267610928692,19.418297591877018,Miguel Hidalgo,bosque,pastizal,0.39238223,0.4914915,1544.5,1490.0,True,True,False
-99.21232051366287,19.40374488427428,Miguel Hidalgo,bosque,pastizal,0.27807486,0.46266446,1673.0,1973.5,True,True,False
-99.21052388309462,19.41236871100183,Miguel Hidalgo,bosque,pastizal,0.3753878,0.36662453,1995.0,1621.5,True,True,False
-99.19722881688966,19.421801021485084,Miguel Hidalgo,bosque,pastizal,0.22166023,0.46163812,2053.0,2538.5,True,True,False
-99.20459500221943,19.41479416226895,Miguel Hidalgo,bosque,pastizal,0.31362006,0.24578178,2199.0,2215.0,True,True,False
-99.21609343785616,19.403385558160632,Miguel Hidalgo,bosque,pastizal,0.27369505,0.30769232,1854.5,2023.0,True,True,False
-99.19731864841808,19.42171118995667,Miguel Hidalgo,bosque,pastizal,0.22166023,0.28753302,2053.0,2680.0,True,True,False
-99.1832150984574,19.418117928820195,Miguel Hidalgo,bosque,pastizal,0.41705167,0.26356414,1687.0,1391.5,True,True,False
-99.2238189492996,19.40419404191634,Miguel Hidalgo,bosque,pastizal,0.50116885,0.34004107,2087.0,1631.5,True,True,False
-99.2035170238785,19.41605180366672,Miguel Hidalgo,bosque,pastizal,0.27988297,0.49061662,2187.0,2085.0,True,True,False
-99.20702045348656,19.41748910812131,Miguel Hidalgo,bosque,pastizal,0.37552238,0.29747832,1728.0,1646.5,True,True,False
-99.21061371462304,19.41254837405865,Miguel Hidalgo,bosque,pastizal,0.3753878,0.33050692,1995.0,1804.5,True,True,False
-99.21968669899265,19.40176859064922,Miguel Hidalgo,bosque,pastizal,0.4012144,0.2949109,1500.0,2016.5,True,True,False
-99.2163629324414,19.40320589510381,Miguel Hidalgo,bosque,pastizal,0.27369505,0.3603694,1854.5,1694.0,True,True,False
-99.20055258344092,19.45970992647493,Miguel Hidalgo,bosque,pastizal,0.3971053,0.25088757,2099.5,2114.0,True,True,False
-99.19767797453171,19.42162135842826,Miguel Hidalgo,bosque,pastizal,0.22166023,0.25551912,2053.0,2872.0,True,True,False
-99.2133086604754,19.40679915624029,Miguel Hidalgo,bosque,pastizal,0.2916574,0.23158425,1451.5,2441.0,True,True,False
-99.21564428021412,19.401499096063983,Miguel Hidalgo,bosque,pastizal,0.45507488,0.3522232,1749.0,1551.0,True,True,False
-99.21546461715728,19.402487242876514,Miguel Hidalgo,bosque,pastizal,0.35594752,0.27942887,1499.0,1926.5,True,True,False
-99.21968669899265,19.40545168331411,Miguel Hidalgo,bosque,pastizal,0.40893728,0.23821656,1876.0,2673.0,True,True,False
-99.2148357964584,19.409404270564234,Miguel Hidalgo,bosque,pastizal,0.53270006,0.3409786,2097.5,1754.0,True,True,False
-99.2155544486857,19.402577074404928,Miguel Hidalgo,bosque,pastizal,0.35594752,0.29517397,1499.0,2596.5,True,True,False
-99.19722881688966,19.421441695371435,Miguel Hidalgo,bosque,pastizal,0.22166023,0.3202669,2053.0,2374.5,True,True,False
-99.19713898536124,19.423328157468088,Miguel Hidalgo,bosque,pastizal,0.4139996,0.35021096,1712.0,3280.0,True,True,False
-99.2004627519125,19.45970992647493,Miguel Hidalgo,bosque,pastizal,0.3971053,0.25088757,2099.5,2114.0,True,True,False
-99.20854758946956,19.412638205587065,Miguel Hidalgo,bosque,pastizal,0.42564347,0.42316017,1495.5,1972.5,True,True,False
-99.2186087206517,19.4068889877687,Miguel Hidalgo,bosque,pastizal,0.32385466,0.28161532,1676.0,1809.0,True,True,False
-99.20764927418544,19.41254837405865,Miguel Hidalgo,bosque,pastizal,0.2819045,0.22955713,2127.0,2575.0,True,True,False
-99.21573411174252,19.40203808523445,Miguel Hidalgo,bosque,pastizal,0.2733361,0.191063,1521.0,2585.5,True,True,False
-99.20845775794116,19.41218904794501,Miguel Hidalgo,bosque,pastizal,0.19032082,0.2967328,2189.0,2173.0,True,True,False
-99.22345962318596,19.404283873444754,Miguel Hidalgo,bosque,pastizal,0.50116885,0.27147335,2087.0,2028.0,True,True,False
