lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.04065246286764,19.0814293603322,Milpa Alta,bosque,deforestado,0.46405894,0.543943,1441.0,1300.0,True,True,False
-99.13461624158651,19.10164145422489,Milpa Alta,bosque,deforestado,0.51591784,0.59765536,1678.5,1703.5,True,True,False
-99.00166557953683,19.10855848191261,Milpa Alta,bosque,deforestado,0.47039175,0.3144705,2421.0,1626.0,True,True,False
-99.09068862419308,19.068403788712462,Milpa Alta,bosque,deforestado,0.4556962,0.4778098,2012.5,1923.0,True,True,False
-99.13578405145589,19.104785557719307,Milpa Alta,bosque,deforestado,0.43369696,0.5349544,1478.5,1515.0,True,True,False
-99.10074975537522,19.17557280210792,Milpa Alta,bosque,deforestado,0.33231708,0.3007306,1966.5,2181.0,True,True,False
-99.04226943037904,19.16218790437454,Milpa Alta,bosque,deforestado,0.42706355,0.5814134,1690.0,2042.0,True,True,False
-98.96330751690492,19.1588641378233,Milpa Alta,bosque,deforestado,0.5598007,0.29739442,1878.0,2166.0,True,True,False
-99.10560065790948,19.0896938609461,Milpa Alta,bosque,deforestado,0.40017667,0.34858045,1585.0,1282.5,True,True,False
-99.07137484558451,19.08888537719039,Milpa Alta,bosque,deforestado,0.3735234,0.46379045,1686.0,2137.5,True,True,False
-99.08008850384049,19.12382984174264,Milpa Alta,bosque,deforestado,0.39161882,0.5423542,1635.5,1402.0,True,True,False
-99.06535613318091,19.095982067934933,Milpa Alta,bosque,deforestado,0.5525784,0.53207546,1535.5,1827.0,True,True,False
-99.07847153632906,19.206834173995283,Milpa Alta,bosque,deforestado,0.50569826,0.28782895,2213.0,1566.0,True,True,False
-99.10003110314793,19.093107459025752,Milpa Alta,bosque,deforestado,0.41625673,0.43196672,1511.5,1205.0,True,True,False
-99.10694813083563,19.193539107790315,Milpa Alta,bosque,deforestado,0.42602435,0.54864556,2079.5,2029.5,True,True,False
-99.00049776966748,19.106582188287543,Milpa Alta,bosque,deforestado,0.5505618,0.34261242,2035.5,1254.0,True,True,False
-99.02493194539554,19.08663958898009,Milpa Alta,bosque,deforestado,0.37387186,0.37455717,2321.5,2134.0,True,True,False
-99.0877241837555,19.157337001840297,Milpa Alta,bosque,deforestado,0.4988188,0.51085883,2062.0,1530.5,True,True,False
-99.05233056156118,19.168116785249733,Milpa Alta,bosque,deforestado,0.44910604,0.50390214,2046.5,1782.5,True,True,False
-99.01514030879864,19.10460589466248,Milpa Alta,bosque,deforestado,0.386899,0.4335651,2149.0,1907.0,True,True,False
-99.06867989973216,19.131914679299715,Milpa Alta,bosque,deforestado,0.46111408,0.45828867,2052.5,1700.0,True,True,False
-99.01846407534988,19.11188224846385,Milpa Alta,bosque,deforestado,0.3703397,0.47433063,2067.5,1500.5,True,True,False
-99.11054139197212,19.08304632784361,Milpa Alta,bosque,deforestado,0.39647475,0.44972485,1485.5,1449.0,True,True,False
-99.09257508628974,19.08565144216756,Milpa Alta,bosque,deforestado,0.30229864,0.33868808,1685.5,1500.0,True,True,False
-99.105061668739,19.08789723037786,Milpa Alta,bosque,deforestado,0.37980872,0.4002006,1623.0,1396.0,True,True,False
-99.13937731259236,19.115475509600326,Milpa Alta,bosque,deforestado,0.39270338,0.5013639,1536.5,1376.0,True,True,False
-99.0930242439318,19.085381947582324,Milpa Alta,bosque,deforestado,0.35695583,0.3499769,1943.5,1460.0,True,True,False
-99.10416335345488,19.11053477553767,Milpa Alta,bosque,deforestado,0.4752688,0.46636334,2229.5,2256.0,True,True,False
-99.1037141958128,19.11233140610591,Milpa Alta,bosque,deforestado,0.4473342,0.49040258,1669.5,2193.5,True,True,False
-99.06257135580016,19.124009504799464,Milpa Alta,bosque,deforestado,0.42279202,0.42991534,1248.5,1520.0,True,True,False
-99.13308910560352,19.10137195963965,Milpa Alta,bosque,deforestado,0.40168688,0.4984756,1329.5,1474.5,True,True,False
-99.07308164462434,19.12149422200393,Milpa Alta,bosque,deforestado,0.42820513,0.4389273,1949.5,1717.0,True,True,False
-99.08134614523824,19.12634512453817,Milpa Alta,bosque,deforestado,0.4675768,0.56388754,1612.5,1585.0,True,True,False
-99.09544969519892,19.090232850116568,Milpa Alta,bosque,deforestado,0.37210932,0.3369591,1468.5,1413.5,True,True,False
-99.08583772165883,19.073434354303533,Milpa Alta,bosque,deforestado,0.5308194,0.52319634,2111.0,2011.0,True,True,False
-99.02376413552618,19.116822982526507,Milpa Alta,bosque,deforestado,0.4369911,0.5502318,1853.0,2006.0,True,True,False
-99.09113778183514,19.084932789940265,Milpa Alta,bosque,deforestado,0.42167643,0.30227813,2489.0,1915.0,True,True,False
-99.06481714401043,19.085561610639147,Milpa Alta,bosque,deforestado,0.3948552,0.5065164,1938.5,2138.5,True,True,False
-99.10497183721058,19.141975810481853,Milpa Alta,bosque,deforestado,0.26251236,0.31005046,1595.5,1688.0,True,True,False
-99.06284085038538,19.097419372389524,Milpa Alta,bosque,deforestado,0.46372348,0.48958334,2138.5,2359.5,True,True,False
-99.00076726425272,19.106222862173897,Milpa Alta,bosque,deforestado,0.48013732,0.56033057,2263.5,1888.0,True,True,False
-99.13111281197848,19.09885667684412,Milpa Alta,bosque,deforestado,0.44236177,0.49075976,1539.0,1452.0,True,True,False
-99.09491070602844,19.11736197169698,Milpa Alta,bosque,deforestado,0.4276194,0.34034207,1928.0,2135.5,True,True,False
-98.95288705960915,19.16946425817591,Milpa Alta,bosque,deforestado,0.56746763,0.45443064,2120.0,1727.5,True,True,False
-99.14548585652436,19.135058782794133,Milpa Alta,bosque,deforestado,0.36547232,0.40233722,1572.0,1260.0,True,True,False
-99.07757322104494,19.12742310287912,Milpa Alta,bosque,deforestado,0.31004524,0.32550654,1809.5,1750.0,True,True,False
-99.07604608506192,19.100204149770292,Milpa Alta,bosque,deforestado,0.46823984,0.38199514,2271.0,1846.0,True,True,False
-99.06337983955584,19.0896938609461,Milpa Alta,bosque,deforestado,0.4194716,0.50218636,1961.0,2233.0,True,True,False
-99.06131371440236,19.15598952891412,Milpa Alta,bosque,deforestado,0.4302614,0.55035335,1874.0,1755.0,True,True,False
-99.0389456638278,19.082507338673143,Milpa Alta,bosque,deforestado,0.42762795,0.47988507,1945.5,2060.0,True,True,False
-99.12410595276232,19.11960775990728,Milpa Alta,bosque,deforestado,0.25438437,0.12817387,1734.5,1388.5,True,True,False
-99.0195420536908,19.11331955291844,Milpa Alta,bosque,deforestado,0.48714098,0.683703,1980.5,1746.0,True,True,False
-99.0532288768453,19.157965822539182,Milpa Alta,bosque,deforestado,0.56622887,0.6328012,2087.0,1687.5,True,True,False
-99.04092195745288,19.169194763590674,Milpa Alta,bosque,deforestado,0.379485,0.38343558,1634.0,1804.0,True,True,False
-99.0645476494252,19.210068109018117,Milpa Alta,bosque,deforestado,0.4107057,0.27807134,2194.0,1935.0,True,True,False
