lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.19498302867936,19.128321418163235,Tlalpan,bosque,deforestado,0.4712182,0.5361752,2198.0,1964.0,True,True,False
-99.24430053777752,19.132453668470188,Tlalpan,bosque,deforestado,0.58246624,0.53835195,1787.0,1619.5,True,True,False
-99.27223814311364,19.17458465529539,Tlalpan,bosque,deforestado,0.30782813,0.50738686,1666.5,1632.5,True,True,False
-99.22139349803248,19.11053477553767,Tlalpan,bosque,deforestado,0.4697,0.53307766,1825.0,1599.0,True,True,False
-99.23846148843074,19.25255842195697,Tlalpan,bosque,deforestado,0.42765015,0.3328899,1771.0,2004.0,True,True,False
-99.24924127184018,19.12535697772564,Tlalpan,bosque,deforestado,0.5807805,0.3948072,1883.5,1826.5,True,True,False
-99.28445523097768,19.1776389272614,Tlalpan,bosque,deforestado,0.45502248,0.5917978,1941.0,1669.0,True,True,False
-99.16381148832042,19.09885667684412,Tlalpan,bosque,deforestado,0.48218182,0.43559653,1528.5,1284.5,True,True,False
-99.22426810694166,19.17251853014192,Tlalpan,bosque,deforestado,0.5319149,0.5391411,2142.0,1568.0,True,True,False
-99.16183519469536,19.09804819308841,Tlalpan,bosque,deforestado,0.48710737,0.5660377,1586.0,1494.0,True,True,False
-99.225435916811,19.116283993356035,Tlalpan,bosque,deforestado,0.53278166,0.33516988,2408.0,2181.0,True,True,False
-99.1869880226507,19.148982669697983,Tlalpan,bosque,deforestado,0.384078,0.48946545,2377.5,2138.5,True,True,False
-99.17315396727524,19.152036941663997,Tlalpan,bosque,deforestado,0.3005004,0.4708439,2469.0,2030.5,True,True,False
-99.22570541139623,19.110983933179728,Tlalpan,bosque,deforestado,0.29256862,0.5025093,1448.0,1721.5,True,True,False
-99.18537105513929,19.26306871078117,Tlalpan,bosque,deforestado,0.27515543,0.3713405,1384.5,1335.0,True,True,False
-99.25472099507331,19.147455533714982,Tlalpan,bosque,deforestado,0.4566474,0.45134383,1764.0,1566.0,True,True,False
-99.25858375079504,19.14592839773198,Tlalpan,bosque,deforestado,0.48101005,0.43812233,1803.5,2022.0,True,True,False
-99.20953573628208,19.17413549765333,Tlalpan,bosque,deforestado,0.4682379,0.49302116,1993.5,1658.0,True,True,False
-99.20773910571386,19.122751863401696,Tlalpan,bosque,deforestado,0.5741683,0.40354535,2011.0,2019.0,True,True,False
-99.23154446074302,19.115475509600326,Tlalpan,bosque,deforestado,0.5400697,0.4125046,1768.0,1909.0,True,True,False
-99.1854608866677,19.149341995811632,Tlalpan,bosque,deforestado,0.45322147,0.50694907,2295.0,2277.0,True,True,False
-99.24286323332294,19.108109324270547,Tlalpan,bosque,deforestado,0.5383068,0.39671052,2294.0,2123.0,True,True,False
-99.26648892529528,19.14359277799327,Tlalpan,bosque,deforestado,0.50235164,0.31649518,1677.0,2111.0,True,True,False
-99.25139722852208,19.1220332111744,Tlalpan,bosque,deforestado,0.5594634,0.3994911,2150.5,1650.0,True,True,False
-99.25256503839142,19.12796209204959,Tlalpan,bosque,deforestado,0.59352165,0.52210677,2017.0,1575.0,True,True,False
-99.17108784212178,19.095622741821288,Tlalpan,bosque,deforestado,0.36297494,0.30396476,1686.0,1332.0,True,True,False
-99.22732237890769,19.115475509600326,Tlalpan,bosque,deforestado,0.45158666,0.33150256,1784.0,1697.0,True,True,False
-99.2500497555959,19.119877254492515,Tlalpan,bosque,deforestado,0.5692308,0.42334494,2142.0,1634.0,True,True,False
-99.21824939453806,19.116283993356035,Tlalpan,bosque,deforestado,0.48065174,0.3463035,1817.5,1903.0,True,True,False
-99.2658601045964,19.138382549345376,Tlalpan,bosque,deforestado,0.3591005,0.3930984,1934.0,1907.5,True,True,False
-99.16093687941124,19.0972397093327,Tlalpan,bosque,deforestado,0.4427718,0.5072175,1509.5,1514.0,True,True,False
-99.23648519480568,19.1115229223502,Tlalpan,bosque,deforestado,0.5306389,0.54435855,1761.0,2498.0,True,True,False
-99.2164527639698,19.30331323550972,Tlalpan,bosque,deforestado,0.22561237,0.24158879,1426.0,1328.5,True,True,False
-99.26091937053374,19.150330142624163,Tlalpan,bosque,deforestado,0.5648686,0.40093338,1951.0,1651.0,True,True,False
-99.19615083854872,19.275465461702016,Tlalpan,bosque,deforestado,0.32732955,0.27706346,1805.5,1539.5,True,True,False
-99.21762057383916,19.300258963543712,Tlalpan,bosque,deforestado,0.2869045,0.31224945,1506.0,1473.0,True,True,False
-99.24052761358422,19.26136191174134,Tlalpan,bosque,deforestado,0.47191012,0.3140461,1768.5,2350.5,True,True,False
-99.22139349803248,19.20297141827357,Tlalpan,bosque,deforestado,0.37824112,0.56850827,1289.0,1419.5,True,True,False
-99.26945336573289,19.148623343584337,Tlalpan,bosque,deforestado,0.54165906,0.6481763,2114.0,2169.0,True,True,False
-99.2831975895799,19.188688205256067,Tlalpan,bosque,deforestado,0.46237865,0.44150364,1807.5,1879.0,True,True,False
-99.18743718029276,19.20090529312009,Tlalpan,bosque,deforestado,0.4564715,0.39109346,1890.5,1577.5,True,True,False
-99.26855505044875,19.144311430220565,Tlalpan,bosque,deforestado,0.3756004,0.32914925,1790.0,1906.0,True,True,False
-99.21339849200382,19.12068573824822,Tlalpan,bosque,deforestado,0.5079236,0.47712418,1855.5,1808.0,True,True,False
-99.24798363044242,19.13434013056684,Tlalpan,bosque,deforestado,0.4973262,0.5826548,1960.0,2089.5,True,True,False
-99.24133609733993,19.261182248684516,Tlalpan,bosque,deforestado,0.44018832,0.3744474,1682.5,1554.5,True,True,False
-99.23190378685668,19.181950840625174,Tlalpan,bosque,deforestado,0.38743064,0.40164745,2312.5,2127.0,True,True,False
-99.24519885306164,19.12526714619723,Tlalpan,bosque,deforestado,0.57020456,0.39192003,2245.0,1671.0,True,True,False
-99.22444776999848,19.10218044339536,Tlalpan,bosque,deforestado,0.44734472,0.35913977,1608.0,1896.0,True,True,False
-99.21851888912327,19.172788024727154,Tlalpan,bosque,deforestado,0.44942227,0.66151273,1787.5,1988.0,True,True,False
-99.24205474956725,19.256690672263915,Tlalpan,bosque,deforestado,0.5070061,0.30121458,1909.0,2410.5,True,True,False
-99.20082207802614,19.097868530031583,Tlalpan,bosque,deforestado,0.474375,0.402746,2359.0,1839.0,True,True,False
-99.21950703593582,19.199557820193917,Tlalpan,bosque,deforestado,0.23141739,0.291414,1023.0,2023.0,True,True,False
-99.29810962329628,19.205127374955456,Tlalpan,bosque,deforestado,0.4116478,0.5451713,1775.5,1736.0,True,True,False
-99.2252562537542,19.1731473508408,Tlalpan,bosque,deforestado,0.4319818,0.5421029,1889.5,1694.0,True,True,False
-99.2388208145444,19.10604319911707,Tlalpan,bosque,deforestado,0.52241206,0.33023566,1893.5,2004.0,True,True,False
-99.22256130790184,19.17269819319874,Tlalpan,bosque,deforestado,0.44790256,0.42706037,1872.5,1619.0,True,True,False
-99.24250390720928,19.149341995811632,Tlalpan,bosque,deforestado,0.50586754,0.56219864,1796.5,1620.0,True,True,False
-99.19138976754289,19.26199073244022,Tlalpan,bosque,deforestado,0.29124236,0.3030822,1585.0,1522.0,True,True,False
-99.25481082660173,19.12975872261783,Tlalpan,bosque,deforestado,0.5787242,0.40188324,2048.0,1861.0,True,True,False
-99.2314546292146,19.11835011850951,Tlalpan,bosque,deforestado,0.5002045,0.39798957,1834.0,1877.5,True,True,False
-99.2447496954196,19.12814175510641,Tlalpan,bosque,deforestado,0.58607423,0.46967795,2061.5,1757.0,True,True,False
-99.15186389504164,19.0949939211224,Tlalpan,bosque,deforestado,0.527745,0.6379079,1617.5,1832.0,True,True,False
-99.23783266773188,19.18374747119341,Tlalpan,bosque,deforestado,0.39703575,0.35301062,2003.0,1719.0,True,True,False
-99.16192502622376,19.10011431824188,Tlalpan,bosque,deforestado,0.48687515,0.48241705,1628.5,1496.5,True,True,False
-99.22256130790184,19.16155908367566,Tlalpan,bosque,deforestado,0.4161435,0.45407638,1579.0,1409.0,True,True,False
-99.22570541139623,19.12742310287912,Tlalpan,bosque,deforestado,0.605606,0.4460285,2033.5,1775.0,True,True,False
-99.1501570960018,19.283370636202267,Tlalpan,bosque,deforestado,0.699771,0.76727486,4082.0,4552.5,True,True,False
-99.24052761358422,19.157157338783477,Tlalpan,bosque,deforestado,0.3916984,0.60364085,1919.5,1938.0,True,True,False
-99.18734734876436,19.1039770739636,Tlalpan,bosque,deforestado,0.55182177,0.61648446,2055.0,1922.0,True,True,False
-99.21070354615144,19.17853724254552,Tlalpan,bosque,deforestado,0.41867602,0.48328936,1618.0,1686.5,True,True,False
-99.25175655463572,19.123560347157404,Tlalpan,bosque,deforestado,0.60333025,0.36869794,2166.5,1561.0,True,True,False
-99.20297803470802,19.276094282400894,Tlalpan,bosque,deforestado,0.49335277,0.5269168,2050.0,1872.0,True,True,False
-99.2253460852826,19.15329458306176,Tlalpan,bosque,deforestado,0.38968483,0.47889024,1697.5,1839.0,True,True,False
-99.22741221043609,19.147455533714982,Tlalpan,bosque,deforestado,0.4173167,0.439373,1817.0,1561.0,True,True,False
-99.2365750263341,19.17413549765333,Tlalpan,bosque,deforestado,0.34412956,0.50296295,1909.0,2029.0,True,True,False
-99.20243904553756,19.184376291892296,Tlalpan,bosque,deforestado,0.47544864,0.45550162,1870.5,1799.0,True,True,False
-99.17764554369586,19.155360708215238,Tlalpan,bosque,deforestado,0.45056522,0.5995091,2021.0,1955.0,True,True,False
-99.24969042948224,19.155809865857293,Tlalpan,bosque,deforestado,0.4964,0.48300463,1870.5,1767.0,True,True,False
-99.14512653041074,19.217434294347893,Tlalpan,bosque,deforestado,0.41319126,0.48870564,1923.0,2076.0,True,True,False
-99.2508582393516,19.128321418163235,Tlalpan,bosque,deforestado,0.56240714,0.48966214,2103.0,1477.0,True,True,False
-99.2012712356682,19.10559404147501,Tlalpan,bosque,deforestado,0.5671442,0.3472322,2051.0,1874.0,True,True,False
-99.2447496954196,19.1325434999986,Tlalpan,bosque,deforestado,0.60155237,0.56551594,1857.0,2052.0,True,True,False
-99.21528495410048,19.22992087679716,Tlalpan,bosque,deforestado,0.25493914,0.25483504,1985.0,2206.0,True,True,False
-99.22363928624276,19.26765011873017,Tlalpan,bosque,deforestado,0.28133586,0.2908481,1515.5,1347.0,True,True,False
-99.23334109131126,19.25067195986032,Tlalpan,bosque,deforestado,0.36899978,0.16925351,1618.5,2373.0,True,True,False
-99.22067484580518,19.23890402963835,Tlalpan,bosque,deforestado,0.38286778,0.29949826,1856.5,1683.5,True,True,False
-99.1568944606327,19.23369380099045,Tlalpan,bosque,deforestado,0.42725936,0.5215311,1942.5,1590.0,True,True,False
-99.19336606116796,19.295677555594704,Tlalpan,bosque,deforestado,0.29057798,0.40260834,1630.0,1667.0,True,True,False
-99.23594620563522,19.26360769995164,Tlalpan,bosque,deforestado,0.3977978,0.3035144,1745.5,2040.0,True,True,False
-99.14656383486532,19.177908421846634,Tlalpan,bosque,deforestado,0.3483146,0.23920368,1680.0,2023.0,True,True,False
-99.23307159672603,19.254265220996796,Tlalpan,bosque,deforestado,0.36383846,0.23435582,1840.5,2012.0,True,True,False
