lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.05161190933389,19.43931816952541,Venustiano Carranza,bosque,pastizal,0.26239917,0.22721232,1839.0,2309.0,True,True,False
-99.05134241474865,19.43895884341177,Venustiano Carranza,bosque,pastizal,0.2169697,0.25295508,2510.0,2120.0,True,True,False
-99.0532288768453,19.438060528127647,Venustiano Carranza,bosque,pastizal,0.34390864,0.24315152,1588.5,2564.0,True,True,False
-99.054037360601,19.43779103354241,Venustiano Carranza,bosque,pastizal,0.32457983,0.3976834,1891.5,1810.0,True,True,False
-99.05179157239073,19.437611370485588,Venustiano Carranza,bosque,pastizal,0.21440993,0.30412203,2444.0,2009.0,True,True,False
-99.05268988767484,19.438240191184477,Venustiano Carranza,bosque,pastizal,0.26011914,0.26925448,2062.5,2060.0,True,True,False
-99.05143224627706,19.43797069659924,Venustiano Carranza,bosque,pastizal,0.4445538,0.27973422,2201.5,1926.0,True,True,False
-99.05116275169183,19.43913850646859,Venustiano Carranza,bosque,pastizal,0.22001705,0.24472573,2505.0,2360.0,True,True,False
-99.05161190933389,19.439228337997005,Venustiano Carranza,bosque,pastizal,0.22920427,0.2343934,1873.0,2096.0,True,True,False
-99.05197123544754,19.43815035965606,Venustiano Carranza,bosque,pastizal,0.29401484,0.25636008,2221.5,1926.0,True,True,False
-99.05125258322025,19.439228337997005,Venustiano Carranza,bosque,pastizal,0.28342673,0.26780626,1603.0,1780.0,True,True,False
-99.05340853990212,19.43797069659924,Venustiano Carranza,bosque,pastizal,0.27236843,0.36144578,1934.0,1808.0,True,True,False
-99.05161190933389,19.437880865070824,Venustiano Carranza,bosque,pastizal,0.3340568,0.4030433,1844.0,1798.0,True,True,False
-99.0524203930896,19.438419854241296,Venustiano Carranza,bosque,pastizal,0.27400994,0.22812583,1986.5,2323.0,True,True,False
-99.05179157239073,19.43868934882653,Venustiano Carranza,bosque,pastizal,0.3159923,0.20499717,1707.5,2122.0,True,True,False
-99.05233056156118,19.43797069659924,Venustiano Carranza,bosque,pastizal,0.29510534,0.26078147,2044.0,2178.0,True,True,False
-99.10533116332424,19.41012292279153,Venustiano Carranza,bosque,pastizal,0.43117523,0.52191556,1884.5,1875.0,True,True,False
-99.05134241474865,19.43949783258224,Venustiano Carranza,bosque,pastizal,0.2080669,0.19378239,2456.0,2304.0,True,True,False
-99.1058701524947,19.409853428206294,Venustiano Carranza,bosque,pastizal,0.4417683,0.68601465,2364.5,1844.5,True,True,False
-99.0532288768453,19.43779103354241,Venustiano Carranza,bosque,pastizal,0.2751169,0.30504835,2522.5,2430.0,True,True,False
-99.05268988767484,19.43859951729812,Venustiano Carranza,bosque,pastizal,0.2583849,0.20666666,2185.5,2534.0,True,True,False
-99.05134241474865,19.44003682175271,Venustiano Carranza,bosque,pastizal,0.27630058,0.25968435,1656.0,1756.0,True,True,False
-99.05224073003276,19.437701202014,Venustiano Carranza,bosque,pastizal,0.22761331,0.27182046,2498.5,2040.0,True,True,False
-99.05125258322025,19.43949783258224,Venustiano Carranza,bosque,pastizal,0.2080669,0.19378239,2456.0,2304.0,True,True,False
-99.05134241474865,19.437611370485588,Venustiano Carranza,bosque,pastizal,0.4607309,0.24690594,2748.0,2015.0,True,True,False
-99.05331870837372,19.43752153895717,Venustiano Carranza,bosque,pastizal,0.23089963,0.3728055,2541.5,1994.0,True,True,False
-99.05304921378848,19.437611370485588,Venustiano Carranza,bosque,pastizal,0.23459959,0.32279757,2405.0,1967.0,True,True,False
-99.0538576975442,19.437072381315115,Venustiano Carranza,bosque,pastizal,0.33442864,0.465964,1827.5,1669.0,True,True,False
-99.05143224627706,19.44003682175271,Venustiano Carranza,bosque,pastizal,0.26166666,0.2184049,1892.5,1986.0,True,True,False
-99.05215089850437,19.43895884341177,Venustiano Carranza,bosque,pastizal,0.18743518,0.25873128,2003.5,1766.0,True,True,False
-99.05188140391913,19.439228337997005,Venustiano Carranza,bosque,pastizal,0.26321122,0.19911923,1870.5,1906.0,True,True,False
-99.05331870837372,19.437701202014,Venustiano Carranza,bosque,pastizal,0.30677867,0.29533985,2255.5,2182.0,True,True,False
-99.05277971920324,19.43859951729812,Venustiano Carranza,bosque,pastizal,0.17444244,0.21410806,2435.5,2685.0,True,True,False
-99.05233056156118,19.437880865070824,Venustiano Carranza,bosque,pastizal,0.28101063,0.26655152,2383.0,2200.0,True,True,False
-99.05224073003276,19.437611370485588,Venustiano Carranza,bosque,pastizal,0.16019924,0.19260883,2504.0,1904.0,True,True,False
-99.05152207780549,19.43931816952541,Venustiano Carranza,bosque,pastizal,0.29047447,0.23007518,1781.5,2045.0,True,True,False
-99.05224073003276,19.43797069659924,Venustiano Carranza,bosque,pastizal,0.31257364,0.22900976,1949.5,2203.0,True,True,False
-99.08035799842573,19.446594523326784,Venustiano Carranza,bosque,pastizal,0.58962643,0.69036835,3478.5,4291.0,True,True,False
-99.05161190933389,19.439408001053827,Venustiano Carranza,bosque,pastizal,0.28050053,0.2881035,1842.0,2041.0,True,True,False
-99.05340853990212,19.437701202014,Venustiano Carranza,bosque,pastizal,0.2984234,0.3583798,2306.0,2314.0,True,True,False
-99.05161190933389,19.43752153895717,Venustiano Carranza,bosque,pastizal,0.2713158,0.30871955,2456.5,2499.0,True,True,False
-99.05340853990212,19.43752153895717,Venustiano Carranza,bosque,pastizal,0.25145534,0.37513915,2203.5,1853.0,True,True,False
-99.05152207780549,19.438060528127647,Venustiano Carranza,bosque,pastizal,0.34684148,0.33125728,1977.5,1710.0,True,True,False
-99.050983088635,19.43913850646859,Venustiano Carranza,bosque,pastizal,0.23652332,0.26556018,2041.5,1830.0,True,True,False
-99.0524203930896,19.438060528127647,Venustiano Carranza,bosque,pastizal,0.28596595,0.24060357,2190.0,2261.0,True,True,False
-99.05134241474865,19.4399469902243,Venustiano Carranza,bosque,pastizal,0.2393488,0.28858522,1789.0,1603.0,True,True,False
-99.0532288768453,19.438330022712883,Venustiano Carranza,bosque,pastizal,0.28427264,0.21056457,2068.0,2498.0,True,True,False
-99.05286955073166,19.438330022712883,Venustiano Carranza,bosque,pastizal,0.29141966,0.24702059,2069.5,2302.0,True,True,False
-99.0517017408623,19.438779180354945,Venustiano Carranza,bosque,pastizal,0.30580974,0.23274574,1534.0,2063.0,True,True,False
-99.05134241474865,19.43725204437194,Venustiano Carranza,bosque,pastizal,0.25096413,0.2990373,2189.5,2159.0,True,True,False
-99.05340853990212,19.43815035965606,Venustiano Carranza,bosque,pastizal,0.3014836,0.24386327,2390.5,2711.0,True,True,False
-99.05053393099294,19.438419854241296,Venustiano Carranza,bosque,pastizal,0.24875037,0.23561208,2123.5,1943.0,True,True,False
