lon,lat,alcaldia,clase_base,clase_actual,NDVI_base,NDVI_actual,B08_base,B08_actual,cambio,perdida_bosque,ganancia_bosque
-99.11009223433008,19.2843587830148,Xochimilco,bosque,deforestado,0.54277086,0.31407064,2809.0,2967.5,True,True,False
-99.11341600088132,19.207912152336228,Xochimilco,bosque,deforestado,0.41609448,0.303235,2578.0,1833.0,True,True,False
-99.14548585652436,19.227136099416384,Xochimilco,bosque,deforestado,0.56602067,0.42436412,2161.5,1596.0,True,True,False
-99.07766305257336,19.275465461702016,Xochimilco,bosque,deforestado,0.2146151,0.4518229,856.0,1115.0,True,True,False
-99.13677219826842,19.224441153564022,Xochimilco,bosque,deforestado,0.32369038,0.28927886,1693.0,2351.0,True,True,False
-99.09796497799444,19.313733692805503,Xochimilco,bosque,deforestado,0.4235608,0.4242483,1867.0,3671.0,True,True,False
-99.07793254715858,19.279687543537374,Xochimilco,bosque,deforestado,0.37295586,0.35543656,1952.0,1645.5,True,True,False
-99.12590258333056,19.167398133022434,Xochimilco,bosque,deforestado,0.34530202,0.3328626,2004.5,2359.5,True,True,False
-99.14288074220045,19.21770378893313,Xochimilco,bosque,deforestado,0.40577313,0.46254826,1911.5,1894.0,True,True,False
-99.11377532699495,19.21464951696712,Xochimilco,bosque,deforestado,0.57529545,0.4096481,2066.0,1782.5,True,True,False
-99.09544969519892,19.31274554599297,Xochimilco,bosque,deforestado,0.51600754,0.4353516,2415.0,2056.5,True,True,False
-99.13856882883664,19.260373764928808,Xochimilco,bosque,deforestado,0.2934516,0.24983256,1713.5,1866.0,True,True,False
-99.0960785158978,19.311398073066798,Xochimilco,bosque,deforestado,0.49924052,0.31920528,1480.5,1245.0,True,True,False
-99.12859752918293,19.16524217634055,Xochimilco,bosque,deforestado,0.38547322,0.32026497,2360.5,2441.5,True,True,False
-99.0976056518808,19.3106794208395,Xochimilco,bosque,deforestado,0.49785516,0.30741295,1484.0,1530.0,True,True,False
-99.14809097084832,19.227675088586857,Xochimilco,bosque,deforestado,0.5019111,0.27433005,1866.5,1807.0,True,True,False
-99.13578405145589,19.24743802483749,Xochimilco,bosque,deforestado,0.34904048,0.2645215,1775.0,1513.0,True,True,False
-99.13075348586482,19.24537189968401,Xochimilco,bosque,deforestado,0.25870335,0.30457982,1509.5,1467.0,True,True,False
-99.13039415975116,19.219230924916133,Xochimilco,bosque,deforestado,0.35075757,0.304012,1783.0,1519.5,True,True,False
-99.07883086244271,19.27941804895214,Xochimilco,bosque,deforestado,0.08686211,0.17549326,500.5,283.0,True,True,False
-99.0794596831416,19.28858086485016,Xochimilco,bosque,deforestado,0.40359238,0.42218912,1914.5,1910.0,True,True,False
-99.09769548340924,19.313554029748683,Xochimilco,bosque,deforestado,0.3061555,0.49207053,1209.5,3363.5,True,True,False
-99.07829187327224,19.277801081440725,Xochimilco,bosque,deforestado,0.33481154,0.17798164,1204.0,321.0,True,True,False
-99.10640914166518,19.20270192368833,Xochimilco,bosque,deforestado,0.31321716,0.31081295,2317.5,2076.0,True,True,False
-99.11206852795512,19.21500884308077,Xochimilco,bosque,deforestado,0.5276438,0.38181096,2058.5,1743.5,True,True,False
-99.11296684323924,19.21455968543871,Xochimilco,bosque,deforestado,0.50158876,0.39758506,1654.0,1591.5,True,True,False
-99.1508757482291,19.228932729984624,Xochimilco,bosque,deforestado,0.47203407,0.4715808,1901.5,1657.0,True,True,False
-99.07820204174382,19.280226532707847,Xochimilco,bosque,deforestado,0.29316217,0.38500252,1234.0,688.0,True,True,False
-99.13551455687065,19.22363266980832,Xochimilco,bosque,deforestado,0.55644757,0.4392631,2326.5,2500.0,True,True,False
-99.09482087450004,19.215727495308062,Xochimilco,bosque,deforestado,0.5070017,0.31703132,1964.0,1535.0,True,True,False
-99.07892069397111,19.274926472531543,Xochimilco,bosque,deforestado,0.42632425,0.5104364,2221.5,1791.0,True,True,False
-99.13425691547287,19.22821407775733,Xochimilco,bosque,deforestado,0.3585542,0.26305187,1409.5,1881.0,True,True,False
-99.11081088655736,19.28534692982733,Xochimilco,bosque,deforestado,0.61376673,0.269132,3587.0,3706.5,True,True,False
-99.097425988824,19.31023026319744,Xochimilco,bosque,deforestado,0.43583173,0.53099436,1681.0,2105.5,True,True,False
-99.09733615729556,19.31049975778268,Xochimilco,bosque,deforestado,0.43380964,0.39276597,1329.5,1636.5,True,True,False
-99.11296684323924,19.213481707097767,Xochimilco,bosque,deforestado,0.5159066,0.36172944,1703.5,1590.5,True,True,False
-99.1344365785297,19.228663235399388,Xochimilco,bosque,deforestado,0.45441285,0.28348812,1495.5,2038.5,True,True,False
-99.07829187327224,19.27456714641789,Xochimilco,bosque,deforestado,0.20538488,0.3799938,873.0,1114.0,True,True,False
-99.14593501416644,19.227944583172093,Xochimilco,bosque,deforestado,0.46166277,0.35787922,2035.0,1844.0,True,True,False
-99.1312924750353,19.177459264204572,Xochimilco,bosque,deforestado,0.3383612,0.34313098,1641.5,2102.0,True,True,False
-99.11063122350052,19.212852886398885,Xochimilco,bosque,deforestado,0.5033772,0.35030437,2114.5,1830.0,True,True,False
-99.12976533905228,19.2182427781036,Xochimilco,bosque,deforestado,0.50686145,0.35085875,2553.0,1927.0,True,True,False
-99.1118888648983,19.21581732683648,Xochimilco,bosque,deforestado,0.55868196,0.3353604,2105.0,1866.5,True,True,False
-99.09347340157386,19.310320094725853,Xochimilco,bosque,deforestado,0.42218438,0.40361965,1670.0,2443.0,True,True,False
-99.09643784201144,19.310320094725853,Xochimilco,bosque,deforestado,0.46850574,0.3576923,1597.0,1235.5,True,True,False
-99.08161563982348,19.26648230886082,Xochimilco,bosque,deforestado,0.38130528,0.40279183,1444.5,1733.5,True,True,False
-99.09949211397746,19.295228397952645,Xochimilco,bosque,deforestado,0.39646202,0.41308066,2013.0,2684.5,True,True,False
-99.09482087450004,19.301247110356243,Xochimilco,bosque,deforestado,0.5141454,0.71791863,2234.5,2195.5,True,True,False
-99.10155823913094,19.291455473759346,Xochimilco,bosque,deforestado,0.48350695,0.6363166,1709.0,1581.5,True,True,False
-99.07101551947086,19.26243989008228,Xochimilco,bosque,deforestado,0.48359177,0.55185115,2057.0,2001.5,True,True,False
-99.06463748095362,19.28175366869085,Xochimilco,bosque,deforestado,0.31921417,0.28960592,2367.0,2438.0,True,True,False
-99.10074975537522,19.29513856642423,Xochimilco,bosque,deforestado,0.44106814,0.48380497,1565.0,1088.0,True,True,False
-99.09518020061368,19.21159524500112,Xochimilco,bosque,deforestado,0.5306354,0.3469875,2023.5,1693.5,True,True,False
-99.10290571205712,19.2858859189978,Xochimilco,bosque,deforestado,0.5280172,0.54039824,2127.0,1682.5,True,True,False
-99.09652767353988,19.296486039350413,Xochimilco,bosque,deforestado,0.44415128,0.66081303,2052.5,2553.5,True,True,False
-99.12671106708628,19.211954571114763,Xochimilco,bosque,deforestado,0.5805132,0.46961847,2125.0,1560.0,True,True,False
-99.0975158203524,19.31301504057821,Xochimilco,bosque,deforestado,0.48183343,0.33165485,1325.5,1454.5,True,True,False
-99.0976056518808,19.312386219879325,Xochimilco,bosque,deforestado,0.5434506,0.36557484,1820.5,1553.0,True,True,False
-99.0983243041081,19.31049975778268,Xochimilco,bosque,deforestado,0.50385785,0.42056075,1608.0,1710.0,True,True,False
-99.09796497799444,19.31094891542473,Xochimilco,bosque,deforestado,0.50385785,0.38960755,1608.0,1584.5,True,True,False
-99.09769548340924,19.312835377521388,Xochimilco,bosque,deforestado,0.48183343,0.31222144,1325.5,1398.5,True,True,False
-99.09706666271032,19.31301504057821,Xochimilco,bosque,deforestado,0.48183343,0.30548424,1325.5,1398.5,True,True,False
-99.0961683474262,19.31121841000997,Xochimilco,bosque,deforestado,0.49924052,0.33839583,1480.5,1410.0,True,True,False
-99.09778531493762,19.31274554599297,Xochimilco,bosque,deforestado,0.48183343,0.30940878,1325.5,1423.0,True,True,False
-99.0975158203524,19.31265571446456,Xochimilco,bosque,deforestado,0.5434506,0.34381056,1820.5,1560.5,True,True,False
-99.09841413563652,19.31229638835092,Xochimilco,bosque,deforestado,0.45427158,0.46238053,1689.5,2104.0,True,True,False
-99.09571918978416,19.31121841000997,Xochimilco,bosque,deforestado,0.49924052,0.46336514,1480.5,1802.5,True,True,False
-99.09733615729556,19.31310487210662,Xochimilco,bosque,deforestado,0.48183343,0.33546472,1325.5,1462.0,True,True,False
-99.09787514646604,19.311038746953148,Xochimilco,bosque,deforestado,0.49785516,0.38183346,1484.0,1643.0,True,True,False
-99.09769548340924,19.312206556822503,Xochimilco,bosque,deforestado,0.5434506,0.34691197,1820.5,1537.5,True,True,False
-99.09850396716492,19.31229638835092,Xochimilco,bosque,deforestado,0.45427158,0.4304917,1689.5,2022.0,True,True,False
-99.09787514646604,19.310769252367912,Xochimilco,bosque,deforestado,0.50385785,0.36119667,1608.0,1547.0,True,True,False
-99.09778531493762,19.31301504057821,Xochimilco,bosque,deforestado,0.48183343,0.37940082,1325.5,1577.0,True,True,False
-99.09787514646604,19.31229638835092,Xochimilco,bosque,deforestado,0.5434506,0.35891438,1820.5,1452.0,True,True,False
-99.0960785158978,19.31112857848156,Xochimilco,bosque,deforestado,0.49924052,0.34930044,1480.5,1422.5,True,True,False
-99.09778531493762,19.312386219879325,Xochimilco,bosque,deforestado,0.5434506,0.35670805,1820.5,1393.0,True,True,False
-99.09769548340924,19.313194703635038,Xochimilco,bosque,deforestado,0.48183343,0.43873042,1325.5,1790.5,True,True,False
-99.09805480952286,19.31058958931109,Xochimilco,bosque,deforestado,0.50385785,0.42344338,1608.0,1606.0,True,True,False
-99.09796497799444,19.312386219879325,Xochimilco,bosque,deforestado,0.5434506,0.36874205,1820.5,1346.5,True,True,False
-99.0975158203524,19.31274554599297,Xochimilco,bosque,deforestado,0.48183343,0.32010353,1325.5,1530.0,True,True,False
-99.0961683474262,19.311038746953148,Xochimilco,bosque,deforestado,0.49924052,0.4098973,1480.5,1510.0,True,True,False
-99.09769548340924,19.31229638835092,Xochimilco,bosque,deforestado,0.5434506,0.3418139,1820.5,1424.0,True,True,False
-99.0976056518808,19.29558772406629,Xochimilco,bosque,agua,0.48355147,0.5,2097.0,1131.0,True,True,False
-99.09931245092064,19.288491033321748,Xochimilco,bosque,agua,0.4609499,0.32879817,2530.0,439.5,True,True,False
-99.09796497799444,19.29558772406629,Xochimilco,bosque,agua,0.4201482,0.50803804,2252.0,2181.0,True,True,False
-99.0961683474262,19.294330082668523,Xochimilco,bosque,agua,0.50903213,0.69121933,1984.0,2032.0,True,True,False
