lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.20522382291831,19.48441359678821,2024,bosque,dynamic_world,847.0,1049.0,1172.0,2298.0,2154.0,1745.0,0.32449567,-0.37317,Azcapotzalco,1.0
-99.20764927418544,19.4977984945216,2024,bosque,dynamic_world,232.0,435.0,292.0,2345.0,1221.0,611.0,0.7785362,-0.68705034,Azcapotzalco,1.0
-99.21016455698098,19.48782719486787,2024,bosque,dynamic_world,550.0,623.0,675.0,1028.0,1506.0,1246.0,0.20728126,-0.24530588,Azcapotzalco,1.0
-99.1786336905084,19.497439168407947,2024,bosque,dynamic_world,339.0,452.0,526.0,1622.0,1325.0,856.0,0.5102421,-0.56412727,Azcapotzalco,1.0
-99.2148357964584,19.4888153416804,2024,bosque,dynamic_world,846.0,1066.0,1154.0,2130.0,2000.0,1610.0,0.29719853,-0.33291614,Azcapotzalco,1.0
-99.20737977960022,19.4977984945216,2024,bosque,dynamic_world,260.0,448.0,300.0,2403.0,1232.0,649.0,0.77802444,-0.6857243,Azcapotzalco,1.0
-99.2117815244924,19.49914596744777,2024,bosque,dynamic_world,578.0,772.0,952.0,1994.0,2236.0,1599.0,0.35369992,-0.4417932,Azcapotzalco,1.0
-99.21205101907763,19.488456015566754,2024,bosque,dynamic_world,466.0,626.0,692.0,1703.0,2001.0,1472.0,0.42212942,-0.46243024,Azcapotzalco,1.0
-99.21223068213446,19.49851714674889,2024,bosque,dynamic_world,420.0,654.0,766.0,2196.0,2080.0,1463.0,0.48278192,-0.54105264,Azcapotzalco,1.0
-99.20486449680467,19.4843237652598,2024,bosque,dynamic_world,599.0,698.0,785.0,1839.0,1504.0,1174.0,0.40167683,-0.44974378,Azcapotzalco,1.0
-99.17998116343456,19.49851714674889,2024,bosque,dynamic_world,253.0,406.0,363.0,1805.0,1368.0,830.0,0.6651291,-0.6327454,Azcapotzalco,1.0
-99.20782893724228,19.49797815757842,2024,bosque,dynamic_world,264.0,487.0,352.0,2532.0,1283.0,699.0,0.7558946,-0.6773766,Azcapotzalco,1.0
-99.17989133190616,19.49977478814666,2024,bosque,dynamic_world,470.5,632.0,681.0,2329.5,1499.0,1055.5,0.54758346,-0.57318926,Azcapotzalco,1.0
-99.20818826335592,19.497618831464774,2024,bosque,dynamic_world,272.0,468.0,307.0,2458.0,1391.0,779.0,0.77793854,-0.6801094,Azcapotzalco,1.0
-99.20459500221943,19.485671238185983,2024,bosque,dynamic_world,480.0,665.0,671.0,2059.0,1952.0,1507.0,0.50842494,-0.5117474,Azcapotzalco,1.0
-99.17746588063903,19.49941546203301,2024,bosque,dynamic_world,327.0,435.0,515.0,1563.5,2084.5,1512.0,0.5044503,-0.5646735,Azcapotzalco,1.0
-99.17962183732092,19.500583271902368,2024,bosque,dynamic_world,267.0,446.0,421.5,2427.0,1534.0,827.5,0.7040548,-0.68952316,Azcapotzalco,1.0
-99.17791503828109,19.497439168407947,2024,bosque,dynamic_world,293.0,446.0,440.0,1736.0,1236.0,800.0,0.5955882,-0.5912007,Azcapotzalco,1.0
-99.20450517069104,19.48603056429963,2024,bosque,dynamic_world,866.0,1074.0,1146.0,2480.0,1985.0,1524.0,0.36789852,-0.39561057,Azcapotzalco,1.0
-99.20513399138991,19.48549157512916,2024,bosque,dynamic_world,578.0,720.0,807.0,1958.0,1599.0,1208.0,0.41627488,-0.46228528,Azcapotzalco,1.0
-99.20540348597515,19.48549157512916,2024,bosque,dynamic_world,602.0,767.0,828.0,2088.0,1783.0,1393.0,0.43209878,-0.46269703,Azcapotzalco,1.0
-99.17791503828109,19.500493440373955,2024,bosque,dynamic_world,423.0,576.0,635.5,1729.0,1487.5,1067.0,0.46246564,-0.5002169,Azcapotzalco,1.0
-99.17737604911062,19.49959512508984,2024,bosque,dynamic_world,340.0,466.0,499.5,1550.0,1621.0,1168.5,0.51256406,-0.5376984,Azcapotzalco,1.0
-99.1803404895482,19.49968495661825,2024,bosque,dynamic_world,769.5,1178.0,1466.0,3099.5,3455.5,2368.0,0.35779214,-0.449211,Azcapotzalco,1.0
-99.1787235220368,19.464650660537583,2024,bosque,dynamic_world,301.0,465.0,354.0,2554.0,1097.0,582.0,0.7565337,-0.691951,Azcapotzalco,1.0
-99.20764927418544,19.497349336879537,2024,bosque,dynamic_world,236.0,342.0,295.0,1442.0,982.0,577.0,0.66033393,-0.61659193,Azcapotzalco,1.0
-99.17962183732092,19.5008527664876,2024,bosque,dynamic_world,279.5,476.5,391.5,2676.5,1352.0,758.5,0.7447849,-0.6977482,Azcapotzalco,1.0
-99.17908284815044,19.4993256305046,2024,bosque,dynamic_world,237.5,354.5,373.5,1471.0,1281.5,815.5,0.5950122,-0.6116133,Azcapotzalco,1.0
-99.17710655452538,19.50040360884554,2024,bosque,dynamic_world,366.0,508.5,535.0,1685.0,1430.0,929.0,0.518018,-0.5363574,Azcapotzalco,1.0
-99.1802506580198,19.49968495661825,2024,bosque,dynamic_world,406.0,587.0,596.5,2082.5,1936.5,1217.5,0.5546846,-0.56021726,Azcapotzalco,1.0
-99.20459500221943,19.48549157512916,2024,bosque,dynamic_world,396.0,585.0,520.0,1914.0,1724.0,1205.0,0.5727198,-0.5318127,Azcapotzalco,1.0
-99.21133236685034,19.499235798976187,2024,bosque,dynamic_world,394.0,572.0,658.0,1577.0,1625.0,1061.0,0.41118568,-0.46765938,Azcapotzalco,1.0
-99.21250017671969,19.49941546203301,2024,bosque,dynamic_world,413.0,558.0,582.0,1876.0,1940.0,1312.0,0.52644426,-0.5414955,Azcapotzalco,1.0
-99.16704542334324,19.465099818179645,2024,bosque,dynamic_world,344.0,533.0,434.0,2328.0,1204.0,661.0,0.685735,-0.627403,Azcapotzalco,1.0
-99.17899301662204,19.498606978277305,2024,bosque,dynamic_world,312.0,488.0,501.0,1709.0,1370.0,907.0,0.54660636,-0.5557579,Azcapotzalco,1.0
-99.16686576028644,19.46483032359441,2024,bosque,dynamic_world,344.0,518.0,451.0,1929.0,1139.0,660.0,0.6210084,-0.57662445,Azcapotzalco,1.0
-99.17773537522427,19.50022394578872,2024,bosque,dynamic_world,519.5,700.5,788.5,2046.5,1860.0,1390.0,0.44373897,-0.48998907,Azcapotzalco,1.0
-99.17890318509362,19.49842731522048,2024,bosque,dynamic_world,281.0,434.0,415.0,1556.0,1445.0,977.0,0.57889396,-0.5638191,Azcapotzalco,1.0
-99.21528495410048,19.4888153416804,2024,bosque,dynamic_world,1009.0,1122.0,1312.0,2120.0,2100.0,1706.0,0.23543124,-0.30783468,Azcapotzalco,1.0
-99.20935607322528,19.50112226107284,2024,bosque,dynamic_world,520.0,672.0,821.0,1725.0,1968.0,1356.0,0.35506678,-0.43929914,Azcapotzalco,1.0
-99.17953200579252,19.49914596744777,2024,bosque,dynamic_world,220.0,334.0,374.0,1237.0,1194.0,783.0,0.5356921,-0.5747931,Azcapotzalco,1.0
-99.21151202990715,19.49833748369207,2024,bosque,dynamic_world,460.0,636.0,740.0,2276.0,2292.0,1616.0,0.50928384,-0.5631868,Azcapotzalco,1.0
-99.2148357964584,19.488995004737223,2024,bosque,dynamic_world,679.0,786.0,928.0,1396.0,1561.0,1204.0,0.20137693,-0.27956003,Azcapotzalco,1.0
-99.20764927418544,19.49788832605001,2024,bosque,dynamic_world,258.0,456.0,310.0,2530.0,1221.0,611.0,0.7816901,-0.69457465,Azcapotzalco,1.0
-99.1794421742641,19.49851714674889,2024,bosque,dynamic_world,246.0,393.0,400.0,1450.0,1686.0,1258.0,0.5675676,-0.57352144,Azcapotzalco,1.0
-99.1787235220368,19.465099818179645,2024,bosque,dynamic_world,378.0,541.0,491.0,2499.0,1329.0,881.0,0.6715719,-0.64407897,Azcapotzalco,1.0
-99.17935234273568,19.49815782063524,2024,bosque,dynamic_world,334.0,489.0,493.0,1490.0,1320.0,844.0,0.5027736,-0.50581104,Azcapotzalco,1.0
-99.17818453286633,19.498067989106836,2024,bosque,dynamic_world,497.0,694.0,862.0,1796.0,2121.0,1598.0,0.35139203,-0.44257027,Azcapotzalco,1.0
-99.17782520675269,19.497708662993183,2024,bosque,dynamic_world,308.0,454.0,410.0,1901.0,1148.0,683.0,0.6451753,-0.61443734,Azcapotzalco,1.0
-99.17881335356522,19.497439168407947,2024,bosque,dynamic_world,296.0,385.0,423.0,1605.0,1204.0,727.0,0.58284026,-0.6130653,Azcapotzalco,1.0
-99.17836419592317,19.49851714674889,2024,bosque,dynamic_world,311.0,414.0,488.0,1462.0,1813.0,1283.0,0.4994872,-0.5586354,Azcapotzalco,1.0
-99.20746961112864,19.49815782063524,2024,bosque,dynamic_world,282.0,445.0,336.0,2308.0,1588.0,1007.0,0.74583966,-0.6767163,Azcapotzalco,1.0
-99.17854385897998,19.49842731522048,2024,bosque,dynamic_world,277.0,387.0,401.0,1474.0,1475.0,1056.0,0.57226664,-0.5840946,Azcapotzalco,1.0
-99.17755571216745,19.500583271902368,2024,bosque,dynamic_world,300.5,460.5,466.5,1790.0,1529.5,1025.0,0.5865278,-0.5907576,Azcapotzalco,1.0
-99.17782520675269,19.49959512508984,2024,bosque,dynamic_world,615.5,848.0,1155.0,2119.0,2583.0,1999.0,0.29444104,-0.42837882,Azcapotzalco,1.0
-99.21142219837876,19.499505293561423,2024,bosque,dynamic_world,446.0,558.0,667.0,1632.0,1950.0,1445.0,0.4197477,-0.49041095,Azcapotzalco,1.0
