lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.15725378674634,19.372932670028984,2024,bosque,dynamic_world,300.0,481.0,369.5,1939.0,1336.0,727.5,0.6798787,-0.60247934,Benito Juárez,1.0
-99.17710655452538,19.37571744740975,2024,bosque,dynamic_world,345.5,541.5,452.0,2164.0,1442.0,787.5,0.65443426,-0.5997043,Benito Juárez,1.0
-99.165248792775,19.359547772295603,2024,bosque,dynamic_world,282.5,457.5,355.0,1717.0,1030.0,614.0,0.65733594,-0.5792136,Benito Juárez,1.0
-99.16551828736024,19.35909861465354,2024,bosque,dynamic_world,348.0,518.5,411.5,2196.5,1201.0,743.5,0.6844325,-0.6180479,Benito Juárez,1.0
-99.17791503828109,19.37733441492117,2024,bosque,dynamic_world,315.0,468.5,442.0,1545.5,1110.0,727.0,0.5552201,-0.5347567,Benito Juárez,1.0
-99.16453014054773,19.35909861465354,2024,bosque,dynamic_world,285.0,446.0,361.5,1981.0,1192.0,719.5,0.6913554,-0.63246804,Benito Juárez,1.0
-99.16461997207612,19.359368109238776,2024,bosque,dynamic_world,552.0,720.0,693.0,2104.0,1311.5,807.0,0.5044691,-0.49008498,Benito Juárez,1.0
-99.16497929818978,19.35864945701148,2024,bosque,dynamic_world,317.5,463.5,395.5,2211.5,1211.5,687.0,0.69658613,-0.65345794,Benito Juárez,1.0
-99.1780048698095,19.378592056318936,2024,bosque,dynamic_world,303.0,452.5,382.5,1672.0,1114.5,685.0,0.6276466,-0.5740174,Benito Juárez,1.0
-99.17836419592317,19.37814289867688,2024,bosque,dynamic_world,283.5,445.5,360.5,1690.0,1242.5,728.0,0.64837843,-0.5827675,Benito Juárez,1.0
-99.16470980360454,19.35963760382401,2024,bosque,dynamic_world,342.5,546.5,422.0,3078.0,1405.5,863.0,0.75885713,-0.69844115,Benito Juárez,1.0
-99.1561758084054,19.37077671334709,2024,bosque,dynamic_world,263.5,464.5,328.5,2668.5,1335.0,728.0,0.7807808,-0.7034791,Benito Juárez,1.0
-99.17755571216745,19.389192176671543,2024,bosque,dynamic_world,267.5,471.0,307.0,3233.5,1244.0,639.0,0.82657814,-0.74571466,Benito Juárez,1.0
-99.16488946666136,19.35855962548307,2024,bosque,dynamic_world,336.0,491.0,383.0,1944.0,1218.0,818.0,0.6708208,-0.59671456,Benito Juárez,1.0
-99.15644530299063,19.37104620793233,2024,bosque,dynamic_world,256.0,455.0,361.0,2341.5,1345.0,743.5,0.73283994,-0.67459327,Benito Juárez,1.0
-99.17809470133793,19.379041213961,2024,bosque,dynamic_world,318.5,466.0,392.5,1745.0,1108.5,682.5,0.63274854,-0.5784713,Benito Juárez,1.0
-99.15662496604746,19.371225870989157,2024,bosque,dynamic_world,259.0,441.0,384.0,2148.5,1297.0,697.5,0.69674236,-0.6593937,Benito Juárez,1.0
-99.15734361827477,19.37284283850057,2024,bosque,dynamic_world,317.0,497.5,378.5,2070.0,1199.5,678.0,0.6908311,-0.6124635,Benito Juárez,1.0
-99.16488946666136,19.359278277710366,2024,bosque,dynamic_world,359.0,497.0,454.0,1902.5,1273.5,767.5,0.6146828,-0.585747,Benito Juárez,1.0
-99.17881335356522,19.37814289867688,2024,bosque,dynamic_world,383.5,537.0,562.5,1725.0,1417.5,870.0,0.5081967,-0.52519894,Benito Juárez,1.0
-99.15680462910429,19.37239368085851,2024,bosque,dynamic_world,243.5,470.5,306.5,2533.5,1306.0,759.0,0.78415495,-0.686751,Benito Juárez,1.0
-99.1787235220368,19.377064920335933,2024,bosque,dynamic_world,338.0,499.0,450.5,1918.0,1334.5,903.5,0.61959046,-0.58709145,Benito Juárez,1.0
-99.16426064596249,19.35909861465354,2024,bosque,dynamic_world,493.5,648.5,679.0,1957.0,1470.0,994.5,0.4848255,-0.50220686,Benito Juárez,1.0
-99.17782520675269,19.378502224790523,2024,bosque,dynamic_world,323.0,449.5,394.0,1491.5,1265.0,834.5,0.58207375,-0.5368367,Benito Juárez,1.0
-99.15662496604746,19.372124186273275,2024,bosque,dynamic_world,210.0,405.5,229.5,3022.0,1381.0,727.5,0.8588344,-0.7633844,Benito Juárez,1.0
-99.16506912971818,19.35855962548307,2024,bosque,dynamic_world,369.0,485.0,389.0,1912.0,1178.0,784.0,0.66188616,-0.5953275,Benito Juárez,1.0
-99.17674722841174,19.37571744740975,2024,bosque,dynamic_world,432.0,616.0,563.0,1893.5,1373.5,847.0,0.54162425,-0.50906557,Benito Juárez,1.0
-99.16479963513297,19.35891895159672,2024,bosque,dynamic_world,401.5,512.5,498.0,1869.0,1174.0,722.0,0.5792142,-0.569599,Benito Juárez,1.0
-99.17755571216745,19.378861550904173,2024,bosque,dynamic_world,348.0,493.5,520.0,1635.5,1236.5,811.0,0.51751333,-0.53640205,Benito Juárez,1.0
-99.17935234273568,19.37733441492117,2024,bosque,dynamic_world,360.5,513.5,496.0,1728.5,1207.0,817.5,0.5540571,-0.54192686,Benito Juárez,1.0
-99.15698429216113,19.372034354744866,2024,bosque,dynamic_world,305.0,479.0,400.0,2395.0,1285.5,731.0,0.7137746,-0.6666667,Benito Juárez,1.0
-99.15698429216113,19.37248351238692,2024,bosque,dynamic_world,301.5,530.0,394.5,2722.5,1350.0,762.0,0.746872,-0.6740968,Benito Juárez,1.0
-99.17854385897998,19.37796323562005,2024,bosque,dynamic_world,315.5,498.0,369.0,2047.0,1186.5,711.5,0.69453645,-0.6086444,Benito Juárez,1.0
-99.17809470133793,19.37796323562005,2024,bosque,dynamic_world,293.0,467.0,343.0,2015.5,1186.0,689.0,0.70913714,-0.62376636,Benito Juárez,1.0
-99.17935234273568,19.37751407797799,2024,bosque,dynamic_world,371.0,510.5,491.5,1567.5,1325.0,902.0,0.5225838,-0.50866216,Benito Juárez,1.0
-99.15707412368953,19.372932670028984,2024,bosque,dynamic_world,328.5,568.0,437.5,2648.5,1463.0,783.0,0.7164614,-0.6468211,Benito Juárez,1.0
-99.1764777338265,19.375986941994988,2024,bosque,dynamic_world,541.5,707.5,686.0,2252.0,1391.0,795.0,0.53301567,-0.5218787,Benito Juárez,1.0
-99.1562656399338,19.37185469168804,2024,bosque,dynamic_world,221.0,391.0,285.0,2281.0,1245.0,719.0,0.7778644,-0.70733535,Benito Juárez,1.0
-99.15644530299063,19.37194452321645,2024,bosque,dynamic_world,227.0,396.0,279.5,2387.5,1224.0,749.0,0.7904012,-0.71546614,Benito Juárez,1.0
-99.17881335356522,19.37742424644958,2024,bosque,dynamic_world,394.5,529.0,574.0,1523.0,1255.5,900.5,0.45255128,-0.48440546,Benito Juárez,1.0
