lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.15258254726892,19.405900840956168,2024,bosque,dynamic_world,380.5,438.5,453.5,1346.0,1101.0,821.0,0.4959711,-0.5085458,Cuauhtémoc,1.0
-99.15752328133158,19.41003309126312,2024,bosque,dynamic_world,329.5,497.0,365.0,2256.5,1297.5,813.5,0.7215335,-0.6390049,Cuauhtémoc,1.0
-99.16857255932624,19.41272803711548,2024,bosque,dynamic_world,354.0,504.0,405.0,2165.0,1195.0,596.0,0.6848249,-0.6223305,Cuauhtémoc,1.0
-99.16857255932624,19.412997531700714,2024,bosque,dynamic_world,284.0,418.0,274.0,2542.0,1061.0,544.0,0.80539775,-0.71756756,Cuauhtémoc,1.0
-99.15348086255304,19.406080504012994,2024,bosque,dynamic_world,589.0,687.5,763.5,1685.0,1346.5,1006.5,0.37635288,-0.42044258,Cuauhtémoc,1.0
-99.15680462910429,19.409763596677884,2024,bosque,dynamic_world,272.0,417.0,327.0,2483.0,1239.5,618.5,0.7672598,-0.7124138,Cuauhtémoc,1.0
-99.16938104308196,19.413087363229124,2024,bosque,dynamic_world,298.0,504.0,314.0,2971.0,1266.0,596.0,0.808828,-0.70992804,Cuauhtémoc,1.0
-99.15716395521792,19.41030258584836,2024,bosque,dynamic_world,329.0,445.5,412.5,1929.5,1321.0,794.0,0.64773697,-0.6248421,Cuauhtémoc,1.0
-99.15716395521792,19.41012292279153,2024,bosque,dynamic_world,322.0,504.5,381.0,2417.0,1462.5,903.0,0.7276626,-0.65462947,Cuauhtémoc,1.0
-99.16839289626942,19.41335685781436,2024,bosque,dynamic_world,300.0,468.0,323.0,3355.0,1304.0,654.0,0.8243611,-0.7551661,Cuauhtémoc,1.0
-99.15294187338256,19.406260167069817,2024,bosque,dynamic_world,531.5,690.5,679.0,1722.0,1186.0,857.0,0.43440235,-0.42756477,Cuauhtémoc,1.0
-99.15410968325192,19.4046431995584,2024,bosque,dynamic_world,397.5,558.5,460.5,1646.5,1059.5,708.5,0.56288564,-0.49342403,Cuauhtémoc,1.0
-99.15752328133158,19.409763596677884,2024,bosque,dynamic_world,277.5,435.0,325.0,2171.0,1114.0,609.5,0.7395833,-0.66615504,Cuauhtémoc,1.0
-99.17072851600814,19.415872140609896,2024,bosque,dynamic_world,334.0,550.0,368.0,3063.0,1270.0,655.0,0.78548527,-0.6955439,Cuauhtémoc,1.0
-99.15554698770651,19.41003309126312,2024,bosque,dynamic_world,256.0,422.0,298.5,2416.5,1240.5,624.0,0.7801105,-0.70265985,Cuauhtémoc,1.0
-99.16938104308196,19.41245854253024,2024,bosque,dynamic_world,2032.0,2592.0,2514.0,2985.0,792.0,428.0,0.085651934,-0.07046799,Cuauhtémoc,1.0
-99.1533011994962,19.405361851785692,2024,bosque,dynamic_world,1008.0,1169.0,1260.5,1641.0,1515.0,1352.0,0.13113907,-0.16797154,Cuauhtémoc,1.0
-99.15527749312128,19.41012292279153,2024,bosque,dynamic_world,373.5,563.5,439.5,2901.5,1307.0,694.0,0.7369051,-0.67474747,Cuauhtémoc,1.0
