lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.13237045337624,19.5323836329602,2024,bosque,dynamic_world,1115.0,1361.0,1479.5,2754.0,2884.0,2296.5,0.30105114,-0.3385176,Gustavo A. Madero,1.0
-99.1208720177395,19.586102886950545,2024,bosque,dynamic_world,423.0,557.0,509.0,1868.0,1649.0,1118.0,0.57172906,-0.54061854,Gustavo A. Madero,1.0
-99.1178177457735,19.57568242965476,2024,bosque,dynamic_world,587.5,743.0,891.0,1669.5,1708.0,1171.0,0.3040422,-0.38404146,Gustavo A. Madero,1.0
-99.12096184926791,19.559333091483783,2024,bosque,dynamic_world,464.0,553.0,663.0,1278.0,1810.0,1415.0,0.316847,-0.39595848,Gustavo A. Madero,1.0
-99.10542099485264,19.503727375396785,2024,bosque,dynamic_world,530.0,698.0,741.0,1717.0,1923.0,1399.0,0.3970708,-0.42194617,Gustavo A. Madero,1.0
-99.14234175302995,19.50525451137979,2024,bosque,dynamic_world,588.0,698.0,805.0,1687.0,1620.0,1162.0,0.3539326,-0.41467506,Gustavo A. Madero,1.0
-99.11970420787014,19.560680564409964,2024,bosque,dynamic_world,421.0,560.0,609.0,1650.0,1544.0,1083.0,0.4608234,-0.49321267,Gustavo A. Madero,1.0
-99.076495242704,19.457374306736217,2024,bosque,dynamic_world,868.0,1058.0,1280.0,2039.0,2178.0,1647.0,0.22868334,-0.31675816,Gustavo A. Madero,1.0
-99.11988387092696,19.564992477773732,2024,bosque,dynamic_world,497.5,624.0,723.0,1466.0,1956.0,1385.0,0.3394244,-0.4028708,Gustavo A. Madero,1.0
-99.11449397922226,19.4910611298907,2024,bosque,dynamic_world,594.0,740.0,852.0,1597.0,2092.0,1657.0,0.3042058,-0.36670947,Gustavo A. Madero,1.0
-99.11593128367684,19.56274668956344,2024,bosque,dynamic_world,720.0,844.0,1072.0,1852.0,2357.0,1787.0,0.26675788,-0.37388724,Gustavo A. Madero,1.0
-99.10721762542089,19.501930744828545,2024,bosque,dynamic_world,728.0,818.0,994.0,1782.0,2260.0,1825.0,0.28386167,-0.37076923,Gustavo A. Madero,1.0
