lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.27430426826712,19.29001816930475,2024,bosque,dynamic_world,324.0,459.0,380.0,2066.0,1026.0,512.0,0.6892886,-0.6364356,La Magdalena Contreras,1.0
-99.26262616957356,19.23333447487681,2024,bosque,dynamic_world,192.5,294.5,311.5,1279.0,1141.5,651.5,0.60829926,-0.62567526,La Magdalena Contreras,1.0
-99.26702791446574,19.24213796466118,2024,bosque,dynamic_world,204.0,267.5,209.5,1341.5,740.5,345.5,0.7298517,-0.6674953,La Magdalena Contreras,1.0
-99.27520258355123,19.27663327157137,2024,bosque,dynamic_world,324.0,472.0,321.0,2595.0,1167.0,593.0,0.7798354,-0.6922074,La Magdalena Contreras,1.0
-99.25400234284602,19.287502886509216,2024,bosque,dynamic_world,370.0,544.5,417.0,2558.5,1528.0,752.5,0.71971095,-0.6490493,La Magdalena Contreras,1.0
-99.29936726469406,19.253366905712674,2024,bosque,dynamic_world,207.5,310.5,215.0,2103.5,817.0,368.0,0.81453526,-0.74275064,La Magdalena Contreras,1.0
-99.30700294460908,19.238275208939463,2024,bosque,dynamic_world,223.0,383.0,398.0,1521.0,1205.0,684.0,0.5852006,-0.5976891,La Magdalena Contreras,1.0
-99.28283826346625,19.2437549321726,2024,bosque,dynamic_world,209.5,334.0,259.5,1705.5,935.5,461.5,0.7358779,-0.6724687,La Magdalena Contreras,1.0
-99.28930613351191,19.2182427781036,2024,bosque,dynamic_world,241.0,402.0,434.0,1875.0,1238.0,706.0,0.6240797,-0.6469038,La Magdalena Contreras,1.0
-99.26091937053374,19.24564139426925,2024,bosque,dynamic_world,209.0,322.0,223.0,1743.0,920.0,425.0,0.7731434,-0.68813556,La Magdalena Contreras,1.0
-99.26316515874404,19.283909625372736,2024,bosque,dynamic_world,265.0,349.0,322.0,1500.0,1040.5,598.0,0.64654225,-0.62249863,La Magdalena Contreras,1.0
-99.28903663892667,19.25552286239456,2024,bosque,dynamic_world,130.0,198.5,152.0,1297.0,682.5,315.5,0.7902001,-0.73453695,La Magdalena Contreras,1.0
-99.2936180468757,19.231358181251743,2024,bosque,dynamic_world,262.5,402.0,377.5,1822.0,1331.5,746.0,0.6567402,-0.6384892,La Magdalena Contreras,1.0
-99.28409590486402,19.25246859042856,2024,bosque,dynamic_world,215.0,290.0,238.0,1816.0,833.0,394.0,0.7682571,-0.7245964,La Magdalena Contreras,1.0
-99.2853535462618,19.2437549321726,2024,bosque,dynamic_world,193.0,309.0,280.0,1531.0,972.0,530.0,0.69077855,-0.66413045,La Magdalena Contreras,1.0
-99.28948579656874,19.234592116274577,2024,bosque,dynamic_world,139.0,249.0,206.0,1614.0,809.5,408.5,0.7736264,-0.7326892,La Magdalena Contreras,1.0
-99.31230300478538,19.24959398151937,2024,bosque,dynamic_world,250.5,365.5,283.5,1863.0,980.5,517.5,0.7358491,-0.6719767,La Magdalena Contreras,1.0
-99.2936180468757,19.21941058797296,2024,bosque,dynamic_world,247.5,374.5,391.0,1692.0,1223.0,688.0,0.6245799,-0.6375514,La Magdalena Contreras,1.0
-99.30161305290434,19.223902164393557,2024,bosque,dynamic_world,210.0,340.5,325.0,1643.0,1129.0,625.5,0.66971546,-0.65666753,La Magdalena Contreras,1.0
-99.27574157272171,19.266302645804,2024,bosque,dynamic_world,198.0,303.0,266.0,1433.0,821.0,431.0,0.6868746,-0.65092164,La Magdalena Contreras,1.0
-99.28041281219912,19.245102405098773,2024,bosque,dynamic_world,167.0,232.5,181.5,1597.5,720.5,327.0,0.7959528,-0.74590164,La Magdalena Contreras,1.0
-99.28445523097768,19.266751803446056,2024,bosque,dynamic_world,297.0,530.5,359.0,2551.0,1735.5,1041.5,0.7532646,-0.65568715,La Magdalena Contreras,1.0
-99.28436539944926,19.246899035667013,2024,bosque,dynamic_world,144.0,223.0,196.0,1542.0,774.0,378.0,0.7744534,-0.7473088,La Magdalena Contreras,1.0
-99.28795866058572,19.23010053985398,2024,bosque,dynamic_world,379.0,563.0,608.0,1927.0,1664.0,1080.0,0.5203156,-0.5477912,La Magdalena Contreras,1.0
-99.32011834775722,19.240790491735,2024,bosque,dynamic_world,364.5,536.5,568.0,2065.0,1910.0,1149.5,0.568553,-0.58754563,La Magdalena Contreras,1.0
-99.274933088966,19.21959025102978,2024,bosque,dynamic_world,304.0,424.0,504.0,1553.0,1475.0,932.0,0.50996596,-0.5710673,La Magdalena Contreras,1.0
-99.25957189760756,19.238095545882643,2024,bosque,dynamic_world,212.0,308.5,235.0,1322.5,1066.0,562.0,0.6982344,-0.62170446,La Magdalena Contreras,1.0
-99.25355318520396,19.29783351227659,2024,bosque,dynamic_world,792.0,1012.0,1364.0,3527.0,2695.0,1981.0,0.44224086,-0.5540868,La Magdalena Contreras,1.0
-99.27403477368188,19.264416183707343,2024,bosque,dynamic_world,231.0,314.0,236.0,1596.0,759.0,361.0,0.7423581,-0.6712042,La Magdalena Contreras,1.0
-99.27098050171588,19.264416183707343,2024,bosque,dynamic_world,261.0,352.0,301.0,1684.0,930.0,469.0,0.6967254,-0.654224,La Magdalena Contreras,1.0
-99.31230300478538,19.24438375287148,2024,bosque,dynamic_world,237.5,371.5,302.0,1954.0,1152.0,608.0,0.7322695,-0.68049884,La Magdalena Contreras,1.0
-99.29101293255174,19.26127208021293,2024,bosque,dynamic_world,180.0,233.0,207.5,1557.0,739.5,350.0,0.7648059,-0.7396648,La Magdalena Contreras,1.0
-99.27816702398884,19.250312633746667,2024,bosque,dynamic_world,247.0,355.5,258.0,2141.0,813.0,377.0,0.7849104,-0.71520126,La Magdalena Contreras,1.0
-99.26630926223844,19.24357526911577,2024,bosque,dynamic_world,222.0,296.0,254.0,1593.0,732.0,332.0,0.7249594,-0.68660665,La Magdalena Contreras,1.0
-99.31338098312632,19.247887182479545,2024,bosque,dynamic_world,292.0,445.0,411.0,2053.0,1156.0,630.0,0.6663961,-0.64371496,La Magdalena Contreras,1.0
-99.25112773393684,19.249144823877312,2024,bosque,dynamic_world,213.0,302.0,213.0,1871.0,797.0,375.0,0.7955854,-0.7220433,La Magdalena Contreras,1.0
-99.2651414523691,19.245192236627187,2024,bosque,dynamic_world,241.0,309.0,228.0,1527.0,763.0,381.0,0.74017096,-0.6633987,La Magdalena Contreras,1.0
