lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.20037292038408,19.415692477553076,2024,bosque,dynamic_world,520.0,741.5,849.0,2398.5,2284.0,1572.0,0.47713625,-0.527707,Miguel Hidalgo,1.0
-99.20989506239574,19.40347538968905,2024,bosque,dynamic_world,491.0,589.5,605.0,1653.0,2042.5,1542.0,0.46412754,-0.4742475,Miguel Hidalgo,1.0
-99.1810591417755,19.4196450648032,2024,bosque,dynamic_world,264.5,429.5,313.5,2468.5,1513.0,875.0,0.77462256,-0.70358866,Miguel Hidalgo,1.0
-99.18150829941756,19.423417988996498,2024,bosque,dynamic_world,272.0,448.0,278.0,3075.0,1180.0,529.0,0.8341783,-0.74567133,Miguel Hidalgo,1.0
-99.20396618152056,19.46842358473089,2024,bosque,dynamic_world,410.0,532.0,502.0,1666.0,1452.0,998.0,0.53690034,-0.51592356,Miguel Hidalgo,1.0
-99.1809693102471,19.426023103320446,2024,bosque,dynamic_world,296.0,419.0,353.0,2158.0,1179.0,602.0,0.71883714,-0.67481565,Miguel Hidalgo,1.0
-99.20513399138991,19.41245854253024,2024,bosque,dynamic_world,1376.0,1688.0,2069.0,3010.0,2861.0,2160.5,0.1852727,-0.28139633,Miguel Hidalgo,1.0
-99.186179538895,19.41695011895084,2024,bosque,dynamic_world,364.5,523.0,538.5,1853.5,1468.5,937.0,0.54974914,-0.55985695,Miguel Hidalgo,1.0
-99.25211588074936,19.398804150211625,2024,bosque,dynamic_world,266.5,452.0,339.0,2577.0,1324.0,730.0,0.76748973,-0.7015517,Miguel Hidalgo,1.0
-99.21465613340158,19.409134775979,2024,bosque,dynamic_world,332.5,476.0,505.0,1818.0,1729.5,1105.0,0.5652174,-0.5850043,Miguel Hidalgo,1.0
-99.18591004430976,19.42090270620097,2024,bosque,dynamic_world,231.0,399.0,286.0,2146.0,1070.0,583.0,0.76480263,-0.686444,Miguel Hidalgo,1.0
-99.18591004430976,19.420453548558903,2024,bosque,dynamic_world,286.0,411.0,312.0,2395.0,1180.0,630.0,0.7694865,-0.7070563,Miguel Hidalgo,1.0
-99.2043255076342,19.46869307931612,2024,bosque,dynamic_world,425.0,571.0,639.0,1746.0,1663.0,1146.0,0.46415094,-0.50712126,Miguel Hidalgo,1.0
-99.18213712011644,19.425933271792037,2024,bosque,dynamic_world,593.0,807.0,844.0,2732.0,1671.0,1047.0,0.52796423,-0.543939,Miguel Hidalgo,1.0
-99.1818676255312,19.41721961353608,2024,bosque,dynamic_world,262.5,439.0,268.5,3414.0,1348.0,620.0,0.85417515,-0.7721256,Miguel Hidalgo,1.0
-99.20702045348656,19.464291334423937,2024,bosque,dynamic_world,507.0,665.0,693.0,1674.0,1509.0,1200.0,0.41444868,-0.43138093,Miguel Hidalgo,1.0
-99.18573038125294,19.41784843423496,2024,bosque,dynamic_world,289.0,468.5,406.5,2250.0,1224.5,764.5,0.6939582,-0.65532464,Miguel Hidalgo,1.0
-99.216273100913,19.40670932471188,2024,bosque,dynamic_world,380.5,494.0,565.5,1552.5,1689.5,1133.5,0.46600565,-0.51722455,Miguel Hidalgo,1.0
-99.2012712356682,19.4136263523996,2024,bosque,dynamic_world,568.0,755.0,915.5,1765.0,2076.5,1479.0,0.3169185,-0.40079364,Miguel Hidalgo,1.0
-99.2064814643161,19.4136263523996,2024,bosque,dynamic_world,747.0,1026.0,1264.0,2110.0,2202.0,1565.5,0.25074098,-0.34566328,Miguel Hidalgo,1.0
