lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-98.99025697542852,19.26423652065052,2024,bosque,dynamic_world,540.0,715.0,692.0,2130.0,1801.0,1312.0,0.5095677,-0.4973638,Tláhuac,1.0
-98.97525511018372,19.234681947802983,2024,bosque,dynamic_world,567.0,821.0,789.0,3200.0,1776.0,1272.0,0.60441214,-0.59164387,Tláhuac,1.0
-98.97040420764948,19.23288531723475,2024,bosque,dynamic_world,320.0,472.0,381.0,2072.0,1404.0,811.0,0.68935996,-0.6289308,Tláhuac,1.0
-99.02870486958884,19.26288904772434,2024,bosque,dynamic_world,610.0,655.5,742.0,1043.0,1389.0,1102.5,0.16862746,-0.22814249,Tláhuac,1.0
-98.97606359393944,19.27744175532708,2024,bosque,dynamic_world,419.5,541.5,556.0,2088.0,1731.5,1202.0,0.5794251,-0.58813465,Tláhuac,1.0
-98.94920396694428,19.220758060899136,2024,bosque,dynamic_world,381.0,560.0,570.0,2735.0,1574.0,902.0,0.6550681,-0.66009104,Tláhuac,1.0
-98.96160071786512,19.215547832251243,2024,bosque,dynamic_world,602.0,778.0,811.0,2138.0,2085.0,1571.0,0.44998303,-0.4663923,Tláhuac,1.0
-99.04442538706093,19.28085535340673,2024,bosque,dynamic_world,406.0,632.0,686.0,2470.0,1739.0,1117.0,0.5652725,-0.59252095,Tláhuac,1.0
-99.06257135580016,19.281574005634027,2024,bosque,dynamic_world,574.0,753.0,952.0,2185.5,2307.5,1756.0,0.3931474,-0.4874936,Tláhuac,1.0
-98.98702304040567,19.26324837383799,2024,bosque,dynamic_world,512.0,672.0,746.0,1869.0,1862.0,1193.0,0.4294455,-0.47107437,Tláhuac,1.0
-98.97588393088262,19.234592116274577,2024,bosque,dynamic_world,593.0,794.0,886.0,2548.0,1986.0,1390.0,0.4839837,-0.5248354,Tláhuac,1.0
-98.97390763725755,19.23414295863252,2024,bosque,dynamic_world,316.0,483.0,402.0,2072.0,1422.0,823.0,0.6750202,-0.6219178,Tláhuac,1.0
-98.97022454459264,19.23243615959269,2024,bosque,dynamic_world,514.0,687.0,874.0,2241.0,1852.0,1258.0,0.4388443,-0.5307377,Tláhuac,1.0
-98.96402616913224,19.21869193574566,2024,bosque,dynamic_world,328.0,526.0,433.0,2417.0,1624.0,1048.0,0.69614035,-0.64254165,Tláhuac,1.0
-99.02870486958884,19.26360769995164,2024,bosque,dynamic_world,234.0,375.0,373.5,2020.5,1636.5,951.0,0.6879699,-0.68691295,Tláhuac,1.0
-98.98055517036003,19.23072936055286,2024,bosque,dynamic_world,348.0,549.0,473.0,2121.0,1533.0,996.0,0.63531226,-0.5887641,Tláhuac,1.0
-99.02951335334454,19.263697531480048,2024,bosque,dynamic_world,409.5,635.0,639.0,2921.5,2145.5,1322.5,0.64106166,-0.6429074,Tláhuac,1.0
-98.97067370223472,19.23198700195063,2024,bosque,dynamic_world,403.0,587.0,672.0,2151.0,1837.0,1190.0,0.52391076,-0.57121986,Tláhuac,1.0
