lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.0631103449706,19.26765011873017,2024,bosque,dynamic_world,361.5,510.5,632.0,2204.0,1383.0,943.5,0.55430186,-0.6238718,Xochimilco,1.0
-99.12212965913729,19.17018291040321,2024,bosque,dynamic_world,282.5,444.0,380.0,2085.5,1659.0,980.5,0.6917461,-0.6489425,Xochimilco,1.0
-99.13847899730824,19.25794831366168,2024,bosque,dynamic_world,624.0,905.0,1226.0,2311.0,2574.0,1995.0,0.30675715,-0.43718904,Xochimilco,1.0
-99.10407352192648,19.293431767384405,2024,bosque,dynamic_world,329.0,419.5,353.0,2006.0,1057.0,609.5,0.70072067,-0.65409195,Xochimilco,1.0
-99.11961437634172,19.17943555782964,2024,bosque,dynamic_world,254.5,430.5,327.5,2203.5,1168.0,672.0,0.74120903,-0.67312074,Xochimilco,1.0
-99.09625817895464,19.294060588083287,2024,bosque,dynamic_world,604.0,825.0,832.0,2563.5,1749.5,1141.5,0.5099396,-0.5130589,Xochimilco,1.0
-99.12500426804644,19.17557280210792,2024,bosque,dynamic_world,303.5,489.0,381.5,2303.5,1486.5,825.0,0.71582866,-0.64977616,Xochimilco,1.0
-99.12194999608045,19.21321221251253,2024,bosque,dynamic_world,248.5,371.5,390.0,1511.0,1401.0,908.5,0.5896896,-0.6053121,Xochimilco,1.0
-99.13003483363752,19.174315160710155,2024,bosque,dynamic_world,261.5,418.5,380.0,2141.5,1574.5,934.5,0.6985921,-0.6730469,Xochimilco,1.0
-99.11530246297797,19.206474847881637,2024,bosque,dynamic_world,366.0,485.0,633.0,1619.0,1843.0,1276.0,0.43783304,-0.5389734,Xochimilco,1.0
-99.09167677100562,19.28642490816827,2024,bosque,dynamic_world,427.0,601.5,721.0,2051.5,1956.5,1329.5,0.4798918,-0.54655105,Xochimilco,1.0
-99.13614337756954,19.2204885663139,2024,bosque,dynamic_world,616.0,906.0,1156.0,2088.0,2575.0,1835.0,0.28729963,-0.39478958,Xochimilco,1.0
-99.05161190933389,19.267290792616528,2024,bosque,dynamic_world,319.5,382.0,446.5,1078.0,1034.0,775.0,0.41423416,-0.47671232,Xochimilco,1.0
-99.13434674700127,19.252378758900143,2024,bosque,dynamic_world,417.5,594.0,713.5,1755.5,1996.5,1417.0,0.42203322,-0.4943605,Xochimilco,1.0
-99.13470607311494,19.22057839784231,2024,bosque,dynamic_world,299.0,440.0,436.0,1969.0,1728.0,971.0,0.637422,-0.6347032,Xochimilco,1.0
-99.07928002008477,19.282921478560205,2024,bosque,dynamic_world,337.5,497.5,463.0,1813.0,1636.0,960.5,0.59314585,-0.5693573,Xochimilco,1.0
-99.13910781800712,19.24564139426925,2024,bosque,dynamic_world,379.5,503.5,684.0,1391.0,1983.5,1424.0,0.3407229,-0.46846133,Xochimilco,1.0
-99.13488573617175,19.222644522995783,2024,bosque,dynamic_world,545.0,688.0,939.0,2020.5,2310.0,1596.0,0.36543337,-0.49196973,Xochimilco,1.0
-99.14171293233107,19.2182427781036,2024,bosque,dynamic_world,376.0,551.0,577.0,1839.0,1618.0,918.0,0.52235097,-0.5389121,Xochimilco,1.0
-99.14171293233107,19.261900900911808,2024,bosque,dynamic_world,388.5,501.5,646.0,1518.0,1926.0,1338.0,0.4029575,-0.5033424,Xochimilco,1.0
-99.09733615729556,19.284089288429563,2024,bosque,dynamic_world,481.0,720.0,667.0,2945.0,2075.0,1212.0,0.63067555,-0.6070941,Xochimilco,1.0
-99.14889945460403,19.223093680637845,2024,bosque,dynamic_world,399.0,540.0,641.0,1698.0,1933.0,1318.0,0.4519025,-0.51742625,Xochimilco,1.0
-99.11593128367684,19.20440872272816,2024,bosque,dynamic_world,385.0,496.5,657.5,1565.0,1868.0,1298.0,0.40832397,-0.5183119,Xochimilco,1.0
-99.06364933414108,19.26791961331541,2024,bosque,dynamic_world,351.5,427.5,381.0,1809.0,790.5,580.5,0.6520548,-0.61770624,Xochimilco,1.0
-99.132100958791,19.153653909175407,2024,bosque,dynamic_world,223.0,368.0,358.0,1606.0,1320.0,802.0,0.6354379,-0.627153,Xochimilco,1.0
-99.08305294427808,19.27627394545772,2024,bosque,dynamic_world,469.0,689.0,650.0,2486.5,1833.0,1188.0,0.5855253,-0.5660526,Xochimilco,1.0
-99.12338730053504,19.21312238098412,2024,bosque,dynamic_world,326.5,473.0,570.5,1519.0,1680.5,1145.5,0.45393634,-0.5251004,Xochimilco,1.0
-99.08044782995412,19.271782369037123,2024,bosque,dynamic_world,299.0,384.0,377.5,918.0,1040.5,667.0,0.41721344,-0.41013825,Xochimilco,1.0
-99.07883086244271,19.28346046773068,2024,bosque,dynamic_world,697.5,995.5,1350.5,3239.5,2755.0,1788.5,0.41154683,-0.52987015,Xochimilco,1.0
-99.08592755318725,19.22183603924008,2024,bosque,dynamic_world,539.0,688.0,988.0,1863.0,2470.0,1825.0,0.30690986,-0.46060368,Xochimilco,1.0
-99.1455756880528,19.218871598802483,2024,bosque,dynamic_world,344.0,534.0,448.0,1930.0,1843.0,1200.0,0.62321275,-0.5665584,Xochimilco,1.0
-99.11431431616543,19.206834173995283,2024,bosque,dynamic_world,472.5,590.0,808.5,1750.5,2229.5,1590.0,0.36811253,-0.49583423,Xochimilco,1.0
-99.09077845572148,19.286604571225094,2024,bosque,dynamic_world,292.5,433.0,414.5,1807.5,1510.0,865.0,0.6269127,-0.61347914,Xochimilco,1.0
-99.12599241485898,19.166409986209903,2024,bosque,dynamic_world,283.0,470.5,425.0,1902.0,1960.0,1504.5,0.6347228,-0.603372,Xochimilco,1.0
-99.1321907903194,19.228663235399388,2024,bosque,dynamic_world,529.5,677.0,794.5,1551.5,1733.5,1464.0,0.3226769,-0.39241642,Xochimilco,1.0
-99.12105168079631,19.17997454700011,2024,bosque,dynamic_world,286.0,505.0,361.5,2852.5,1399.5,829.5,0.77504665,-0.69918096,Xochimilco,1.0
-99.07838170480063,19.292623283628696,2024,bosque,dynamic_world,401.0,586.0,697.5,1592.0,1830.0,1340.0,0.39069664,-0.46189165,Xochimilco,1.0
-99.07954951467,19.240790491735,2024,bosque,dynamic_world,510.0,714.0,926.0,1826.5,2416.0,1818.5,0.32715714,-0.43790594,Xochimilco,1.0
-99.1156617890916,19.21455968543871,2024,bosque,dynamic_world,266.5,420.0,373.0,1704.0,1418.0,879.5,0.64082813,-0.6045198,Xochimilco,1.0
-99.09482087450004,19.303403067038133,2024,bosque,dynamic_world,290.5,484.0,405.0,2253.0,1855.5,1126.0,0.6952596,-0.6463281,Xochimilco,1.0
-99.09877346175016,19.30762514887349,2024,bosque,dynamic_world,379.0,542.5,617.5,1957.5,1746.0,1303.0,0.52038836,-0.566,Xochimilco,1.0
-99.11323633782447,19.210696929716995,2024,bosque,dynamic_world,325.0,468.5,562.5,1698.0,1714.0,1111.0,0.5023225,-0.5675052,Xochimilco,1.0
-99.10083958690365,19.293880925026464,2024,bosque,dynamic_world,347.0,463.5,459.5,1783.0,1330.5,805.5,0.5901895,-0.5873581,Xochimilco,1.0
-99.0967073365967,19.27654344004296,2024,bosque,dynamic_world,325.0,549.0,468.0,2545.5,1419.0,882.0,0.6893977,-0.64517695,Xochimilco,1.0
-99.12239915372253,19.167308301494025,2024,bosque,dynamic_world,177.0,296.0,199.0,1902.0,1457.0,835.0,0.8105664,-0.73066425,Xochimilco,1.0
-99.14880962307562,19.22237502841055,2024,bosque,dynamic_world,410.0,564.0,628.0,2005.0,2038.0,1272.0,0.5229776,-0.5609186,Xochimilco,1.0
-99.11054139197212,19.198839167966614,2024,bosque,dynamic_world,426.0,619.0,620.0,2256.0,1699.0,1113.0,0.5688456,-0.5693913,Xochimilco,1.0
-99.09419205380117,19.2903774954184,2024,bosque,dynamic_world,492.5,725.5,832.0,2949.0,2353.5,1592.5,0.5599048,-0.60511637,Xochimilco,1.0
-99.14782147626308,19.22129705006961,2024,bosque,dynamic_world,424.0,578.0,567.5,2061.5,1922.0,1139.5,0.5682769,-0.56203824,Xochimilco,1.0
-99.13021449669436,19.226686941774325,2024,bosque,dynamic_world,504.5,577.5,612.5,955.0,1428.5,1063.5,0.2185008,-0.24632953,Xochimilco,1.0
-99.11853639800078,19.17413549765333,2024,bosque,dynamic_world,287.0,460.0,432.0,2006.0,1452.0,903.0,0.64561117,-0.6269262,Xochimilco,1.0
-99.08979030890896,19.269087423184764,2024,bosque,dynamic_world,263.5,402.0,343.5,2158.0,1606.5,894.5,0.7253648,-0.6859375,Xochimilco,1.0
-99.14395872054138,19.218781767274077,2024,bosque,dynamic_world,322.0,470.0,385.0,2004.0,1574.0,892.0,0.67768943,-0.6200485,Xochimilco,1.0
-99.11907538717126,19.181322019926288,2024,bosque,dynamic_world,257.0,406.0,397.0,1573.0,1666.0,1036.0,0.5969543,-0.58969176,Xochimilco,1.0
-99.08502923790311,19.2986419960323,2024,bosque,dynamic_world,419.0,550.0,597.0,1820.0,1851.0,1404.5,0.50599915,-0.53586495,Xochimilco,1.0
-99.1396468071776,19.261182248684516,2024,bosque,dynamic_world,626.0,828.0,1016.0,2064.0,1991.0,1372.0,0.34025973,-0.4273859,Xochimilco,1.0
-99.0637391656695,19.26836877095747,2024,bosque,dynamic_world,345.0,396.0,383.5,1579.0,844.0,636.5,0.609172,-0.59898734,Xochimilco,1.0
-99.11880589258602,19.18284915590929,2024,bosque,dynamic_world,562.0,787.0,928.0,2369.0,2398.0,1767.0,0.437064,-0.50126743,Xochimilco,1.0
-99.1306636543364,19.206834173995283,2024,bosque,dynamic_world,281.0,480.0,546.0,1660.0,1602.0,1118.0,0.5049864,-0.55140185,Xochimilco,1.0
